         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.0401276     -0.03571631     -0.000468508     0.01557992     0.0009116894     -0.0008339886     0.003002382     0.001504812     0     -0.005501575     0.004337444     -0.004032369     -0.007900733     -0.01092704     0.001748363     -0.001029227     -0.003443227     0.002562344     
F01       -0.0557025     0.1661115     -0.008402339     -0.106095     -0.007395319     -0.008511499     -0.01583456     0.000293536     0     0.01623486     -0.01443212     0.01389381     0.01872797     0.02481601     0.004448439     0.01328363     -0.008360673     0.01445255     
F02       0.007224087     -0.05428889     -0.002573714     0.02722993     -0.002511536     0.01282738     -0.02359713     0.07179281     0     0.01431418     0.08871787     0.04255623     -0.0002720647     0.0008468536     -0.005168282     0.01167629     -0.05931263     -0.09149582     
F03       0.01067359     0.08743451     -0.06256752     0.01260557     0.002869643     -0.01613725     0.002875769     -0.004934     0     0.004095362     0.0003780223     0.0001460357     0.002463302     -0.06083795     -0.000740148     0.01881811     -0.001412619     -0.003400309     
F04       -0.01606197     0.03113941     -0.001920052     0.0207604     -0.003621695     0.03032332     -0.01164064     -0.00590877     0     0.02278038     -0.03554437     0.02576236     0.003952092     0.008013306     -0.002189263     0.02619991     0.007573177     -0.1395124     
F05       -0.04695404     -0.1517344     0.01583979     0.1031045     0.01456896     0.004663066     0.003388756     -0.005540096     0     0.007936027     0.01118664     -0.01297457     0.09890366     -0.04858752     -0.006497917     -0.01111422     -0.002131065     -0.005055923     
F06       0.007925596     -0.08498056     0.006151911     0.04625815     -0.01034593     0.2828895     -0.009930046     -0.2403638     0     -0.0255165     -0.05000345     0.06866085     -0.006121585     0.003079855     -0.01645188     -0.01317219     -0.001793828     0.07816981     
F07       -0.01218451     0.01038333     -0.02168229     -0.07330702     -0.01195578     -0.01909925     0.2685864     -0.001290837     0     -0.09162707     0.01862021     -0.07466542     0.005653823     0.0100766     -0.002567482     0.01766252     -0.01094551     0.02659387     
F08       0.006234962     -0.0006760113     0.01941237     0.06482577     -0.1643042     -0.02907766     0.1149793     0.0007599607     0     -0.0009621059     0.01539354     -0.01896919     0.002832272     -0.0135008     0.001630689     -0.003649273     -0.00788727     -0.003666522     
F09       -0.04052547     0.0999904     0.1448603     -0.09988045     -0.006255568     0.001136422     -0.0261226     -0.01416308     0     -0.01604162     0.01060779     -9.077304E-05     0.01207667     -0.1161844     0.02590448     0.04798138     0.006984971     -0.004477278     
F10       0.008400803     -0.07413863     0.001725717     0.07636482     0.001836078     0.04541136     0.007231374     0.116834     0     -0.04426106     0.08536407     -0.1969508     -9.929918E-05     -0.003336417     -0.00712997     -0.02605279     0.02001558     -0.04465939     
F11       0.00848747     -0.2583309     -0.006189982     0.5779175     0.005846704     -0.3332586     -0.02007098     0.01187584     0     0.00297432     -0.01662122     0.02884462     0.002609098     -0.008105407     0.008320522     -0.01336418     -0.01850244     0.05499692     
F12       -0.007546495     0.05136625     0.004183036     -0.03986366     0.00410848     0.03713281     0.003733094     -0.02288747     0     -0.03042253     0.07585545     -0.04129695     0.000943027     -0.004895807     -0.00112473     0.1491166     -0.4052522     0.1999741     
F13       0.02525653     -0.1454456     0.003782138     -0.003051117     0.005918079     -0.009357661     0.003153073     -0.0173364     0     -0.00141989     0.00903358     0.03334888     -0.00275863     -0.0188415     0.006538645     0.3349073     -0.1422716     -0.05976682     
F14       0.01144965     -0.1174517     0.007669888     0.004779407     0.00493968     0.0532348     -0.002035308     -0.003945884     0     0.01211357     -0.003694937     -0.01102738     -0.002737361     -0.01715028     0.2235069     -0.2059329     0.02186416     0.02641313     
F15       0.001295493     0.01576265     0.002840908     0.02200912     -0.001488651     0.002946371     0.09484813     0.0168025     0     -0.454215     0.02270332     0.310001     -0.002896864     -0.004081     -0.006142176     0.002515341     0.03181377     -0.07151973     
F16       0.004293423     -0.01436263     0.001311824     -0.04553518     -0.001748907     0.04350765     -0.002408052     0.2516232     0     -0.04786348     -0.3655263     0.1333657     0.001314127     -0.01085983     0.006377121     -0.01127528     -0.05860516     0.1326239     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
