         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       42.27531     6.012276     18.79744     3.694322     12.95346     -1.008337     -1.59861     3.852526     -3.123775     -2.34655     2.148382     -2.677802     1.699627     0.7911212     -1.133515     0.06790884     -1.478603     0     
Fz       19.88737     11.13378     -0.6686003     5.411826     3.15482     -1.353001     -2.819172     4.25176     -5.486412     -3.504272     3.167899     -4.83448     0.5957326     0.5243026     -1.188285     0.4298603     -0.04167726     0     
F3       17.6537     9.876407     -0.6054444     4.689539     8.812086     -1.271241     -2.658413     4.129536     -4.607778     -3.137964     1.805244     -1.490501     2.439846     0.9010142     -1.315792     0.5453655     -0.03342003     0     
FCz       14.34803     12.60619     -0.5980734     5.21405     1.826002     -2.652992     -2.474839     4.085603     -5.030758     -2.636799     2.910026     -1.592066     -0.05455549     0.06282549     -1.05979     0.4327751     0.02314831     0     
FC3       11.799     11.69201     -0.3857753     4.61953     6.363563     -1.866766     -2.352583     3.931862     -4.152913     -2.115708     0.7468553     -0.8159068     3.894701     0.9159465     -0.867321     0.804652     -2.965448     0     
Cz       11.35679     12.78774     -0.4232277     4.939787     1.041938     -4.596317     -2.046588     3.138566     -2.068346     -2.068549     1.833574     -0.4207221     -0.4028017     -0.5006833     -0.9890743     0.4102484     -0.02628483     0     
C3       8.816954     11.66118     -0.1963178     3.937299     3.876     -3.631115     -1.174385     3.004624     -2.108482     -1.489872     -1.961093     -0.1232819     3.012574     0.6759725     -0.4608935     0.585946     0.442499     0     
CPz       9.352942     11.57829     -0.356288     4.410222     0.513567     -7.38818     -1.997634     1.090868     -1.169873     -1.75813     -0.1951881     -0.1593833     -0.6484538     -1.001515     -0.3808986     0.1804547     -0.07233711     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.635988     11.11787     -0.1456599     4.382853     2.460762     -5.62323     -1.153571     2.055401     -1.142511     -1.287804     -4.439957     0.1683914     0.293557     -0.1092043     -1.085465     0.4695349     0.009491336     0     
Pz       7.662496     9.738489     -0.01997991     6.299522     0.3816533     -8.656382     -1.155493     -1.335865     -0.7745533     -1.121729     -1.878251     -0.009936233     -0.4809117     -1.114121     -1.167616     0.6065736     -0.003307748     0     
P3       6.72468     9.586777     -0.05451757     6.803694     1.746554     -6.784769     -0.9112937     0.5013489     -0.6531326     -1.017465     -5.534649     0.3529308     -0.7403732     -0.5458544     0.4920516     0.7823097     -0.1748867     0     
Fp2       49.11434     5.309457     5.885179     4.257327     3.619804     -0.4672059     -2.880511     3.657309     -2.831745     4.671986     2.800033     -3.085497     1.368602     0.7443175     -1.776791     -0.01289481     -0.860673     0     
F4       23.4122     8.929915     -0.8713078     4.956844     -1.390193     -1.227373     -4.784184     3.346152     -3.845874     -4.543037     3.014309     -2.46021     1.501495     0.3424957     -1.473511     0.3039612     -0.397963     0     
FC4       16.61758     9.999829     -0.5923855     4.891294     -1.986986     -2.172953     -6.893393     2.628721     -2.986566     -3.143709     2.933733     -1.533289     1.235445     -0.4262223     -1.526974     0.2938332     0.6949722     0     
C4       12.93405     9.986122     -0.2435747     4.930237     -1.899097     -3.833021     -5.301301     1.224444     -1.539014     -2.223916     2.23196     -0.8183503     1.226301     -1.805439     -1.273     -2.6265     0.62381     0     
CP4       10.16145     9.773988     -0.3151627     4.003599     -1.495988     -5.377076     -3.976182     -1.938304     -0.6897394     -1.899351     0.7532162     -0.5092552     0.8045879     -4.061609     -0.7268429     -2.257474     0.4780889     0     
P4       8.293684     9.405369     -0.1931013     4.563802     -0.8974549     -6.545299     -2.689431     -5.052927     -0.4482365     -1.49922     -0.3876098     -0.04518921     -0.9086564     -2.268205     -0.4739291     -1.752278     0.09255833     0     
