         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       23.41835     3.775208     -6.764162     -0.2411711     0.419479     -0.2027391     -0.7101281     1.828788     1.562908     5.79953     0.5398806     -1.126905     2.688322     0.683612     0.4859995     0.7019275     -1.040464     0     
Fz       9.73867     11.18072     -1.787874     -1.353494     0.2787641     -2.07718     -0.7167978     2.077121     4.320069     -2.435207     3.809517     1.209182     -0.4378904     1.124692     -0.2947418     -2.514494     -1.114785     0     
F3       12.12975     8.251897     -7.270416     -1.037924     -0.2364612     -0.866599     -0.9145291     1.878968     1.878701     -5.445209     1.715304     -4.927879     -0.8337743     0.5979704     0.08022086     -1.298913     -0.8008083     0     
FCz       6.981526     10.33125     -2.014219     -3.037536     0.05144339     -3.531418     -1.556138     0.9557006     5.545123     -1.871894     2.876249     -0.2632374     4.400564     0.9981301     0.6001457     -1.778613     -0.3162734     0     
FC3       7.514874     8.744557     -8.895677     -1.792987     -0.1605878     -1.365211     -3.355251     0.9351617     2.661801     -2.609069     1.431442     -3.929159     1.104411     0.5927041     0.7122879     -0.5488767     -3.902462     0     
Cz       5.428636     6.497095     0.378587     -5.651929     -0.03367646     -4.534446     -3.191309     -0.1811924     7.820664     -1.407673     3.517634     -0.8988934     2.715405     0.7797722     0.3227044     -2.319233     -0.3941443     0     
C3       5.32424     8.249587     -9.578468     -3.201699     1.08254     -1.930648     -6.628201     0.4897116     3.72467     -0.9800122     3.070968     -1.867542     1.609602     0.03364717     0.1007672     -1.048213     2.077745     0     
CPz       4.461759     5.130046     0.7282994     -9.496228     0.007399183     -4.954791     -4.235343     -2.325178     4.16855     -0.7392833     6.990913     -1.230454     3.595444     -0.5601799     0.3234757     -1.966068     -0.4735677     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.656053     6.24349     -0.6804937     -5.124901     -0.2119451     -1.753378     -8.928067     -1.244429     2.66651     -1.153562     0.3098071     -1.801449     1.60679     -2.389199     0.553535     -0.8077384     -0.4087253     0     
Pz       3.546977     5.943659     -0.2303493     -12.54038     -0.5438835     -2.625641     -3.476725     -5.247183     3.293586     -0.7866338     0.4311557     -0.269898     1.150492     -1.623477     0.5974588     -0.7000322     -0.2642941     0     
P3       3.722507     6.064543     -2.016492     -6.470419     -0.2401576     -1.447714     -6.699715     -2.864228     3.228512     -0.8654748     0.6628097     -1.314114     1.09159     -7.131575     0.2107387     -0.9619154     -0.1115764     0     
Fp2       22.8604     2.412716     -11.26285     -0.3597319     0.2934622     -1.116626     -0.2406955     1.202486     1.769123     -5.109033     0.360347     6.315845     5.169812     0.4272367     0.7016113     0.2421651     -2.782521     0     
F4       11.5634     7.166333     -10.1993     -0.9359382     -17.84445     -3.087759     -0.5008394     1.108411     2.34789     -3.69616     0.66449     3.851429     0.7824591     1.423335     3.404439     -0.8825856     -0.3786324     0     
FC4       7.19739     6.532849     -1.0355     -2.124386     -0.5595565     -6.008671     -0.770367     -0.216158     3.046628     -1.91681     1.735584     1.616452     -0.1216664     0.3925757     6.284202     -2.878626     -0.9490708     0     
C4       5.341652     5.541156     0.1794283     -3.770129     -0.4739313     -9.130799     -1.848317     -2.313045     2.612362     -1.272402     0.6604417     1.016071     0.3667509     0.1325277     1.941509     -0.7162669     -0.4796227     0     
CP4       4.244001     4.637048     0.2491667     -5.496575     -0.8771155     -8.276564     -2.277563     -6.082023     1.370482     -0.8235731     -0.2111427     0.4055392     0.6067827     -0.4212314     0.2323066     -3.738475     -0.5389766     0     
P4       3.401279     4.834522     -0.02763361     -6.334805     -0.9571201     -4.525695     -2.072766     -11.49305     2.084658     -0.6442198     1.038526     -0.03482907     0.2466955     -0.9322455     0.8255932     -0.9133552     -0.2776053     0     
