         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       27.34875     3.553446     0.055318     -5.5979     -0.1597102     -0.6604468     -2.375992     1.177358     -1.690122     -0.682134     -1.661231     -1.600321     -0.9798368     0.3296816     0.1350206     0.3813303     -0.2434246     0     
Fz       10.51021     6.849474     -1.364718     -8.463872     -0.6943593     -0.4385098     1.424334     0.9776128     -1.567314     -1.096268     -1.54568     -1.20758     -1.192681     -0.07227417     0.7604816     0.244883     -0.3110362     0     
F3       11.15771     6.099949     -1.26306     -5.999727     0.1292742     -1.138436     -1.672693     0.8615969     -1.290263     -1.128197     -1.487887     -4.596727     -1.613771     0.01716763     0.7682036     0.5230216     -0.2807402     0     
FCz       6.836102     8.66591     -2.533577     -4.818384     -1.066172     -0.3251992     1.151241     0.7599677     -1.142025     -0.8752659     -1.292948     -0.9843935     -0.95893     -3.799305     0.8294432     0.4082803     -0.2891044     0     
FC3       7.213116     6.787778     -2.036546     -2.870449     0.136795     -1.751745     -1.517159     0.6367468     -0.8155691     -6.387285     -1.037613     -1.970879     -2.362534     0.1408825     1.433523     0.7255478     -0.1578404     0     
Cz       4.828566     8.687803     -4.658933     -2.015411     -1.654201     -0.9004228     0.9437181     0.1227928     -0.8050914     -0.5032218     -0.81152     -0.5112853     -0.7078415     0.284005     0.2748857     0.3423307     -0.1726436     0     
C3       5.019897     6.586629     -3.366179     -1.282987     -0.4661759     -3.748668     -1.057389     0.05344279     -0.4798753     -0.6978959     -0.7534543     -1.14342     -4.19991     0.2171462     0.6226994     1.074909     -0.2250862     0     
CPz       3.825724     7.001412     -6.857625     -1.163213     -2.237275     -1.85964     0.8994183     -0.9680219     -0.7437088     -0.6715971     -0.6939927     -0.5013385     -0.735839     0.09865749     -0.8873525     0.1025035     -0.148413     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.876221     5.876009     -4.647573     -0.6227952     -0.8793552     -5.71154     -0.5850851     -0.7215544     -0.4388479     -0.6896536     -0.8428888     -0.7775419     -1.32242     0.2586563     0.7387529     2.308472     -0.2563066     0     
Pz       3.154707     5.264723     -8.226097     -0.554646     -1.941579     -2.184615     0.8084751     -1.986791     -0.5788916     -0.2849234     -0.5149096     -0.2840277     -0.5217015     0.09623861     1.487625     -0.2858163     -0.1147465     0     
P3       3.133902     4.914894     -5.257074     -0.05812739     -0.8499413     -6.255538     -0.290423     -1.847206     -0.2543418     -0.4152341     -0.438463     -0.4662613     -0.5779181     0.09558529     1.088179     -1.00726     -0.1601989     0     
Fp2       28.60184     3.457314     0.2517894     -5.858047     -0.8816993     -0.2895081     4.84614     1.209666     -1.844565     -0.8038833     -1.389472     -1.767648     -0.9938304     0.4001094     0.1579556     0.3105048     -0.2424383     0     
F4       10.54202     5.273817     -1.043649     -5.387962     -2.563116     -0.2066997     4.208412     0.9275901     -5.16874     -0.9596072     -2.891885     -1.255969     -1.116462     0.007895198     0.7550288     -0.05439269     -0.4361493     0     
FC4       6.62913     5.611628     -1.940137     -3.415458     -4.317068     -0.2202172     3.417528     0.4179892     -1.742039     -0.7120093     -3.520203     -0.644456     -0.8648782     0.0639072     0.6552651     -0.06283667     -0.4966814     0     
C4       4.631553     5.457488     -3.253816     -2.019941     -6.285567     -0.5825914     2.632388     -0.7149337     -1.202926     -0.5690836     -1.174156     -0.4680759     -0.6565997     0.1501681     0.6045766     -0.004106793     -0.5387384     0     
CP4       3.562886     5.177489     -4.553656     -1.284557     -5.979886     -0.8751264     2.173156     -2.699019     -1.004455     -0.4519098     -0.945261     -0.3006431     -0.5050631     0.1692767     0.5535529     -0.04744287     2.276757     0     
P4       2.72093     4.418759     -5.593723     -0.4906453     -4.245657     -0.9953023     1.664434     -5.790932     -0.69194     -0.2583193     -0.6567748     -0.04736942     -0.2585407     0.1043635     0.8932793     -0.4148679     -0.1690327     0     
