         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       45.73619     -7.109937     -4.706847     -3.886294     -2.587084     -2.424163     1.493608     0.9870702     -1.432981     0.9379809     -0.1546918     -1.494804     1.099663     -0.05759159     -0.1095362     1.077609     0.07973249     0     
Fz       16.99369     -10.91502     -7.735244     0.2237703     -2.615084     -3.900428     1.413312     1.910436     0.3151798     0.6292776     -0.3970308     -1.17146     0.5927762     -0.3405408     0.05840644     0.1410325     0.01936229     0     
F3       17.28048     -5.113936     -10.20231     -3.902649     -1.337535     -2.620106     0.6787769     1.421173     -0.5626942     0.1728857     -3.111539     -0.2914769     0.7323266     -0.3472382     0.2108149     0.6187048     -0.8366853     0     
FCz       11.09034     -10.10569     -7.381103     -0.03253074     0.3390266     -3.445867     1.137289     2.704338     0.04685184     4.958656     -0.3694732     -1.257535     0.7047535     -0.9713694     0.2994203     0.0842481     -0.006243603     0     
FC3       10.88693     -4.714671     -9.88958     -0.2316394     0.5786289     -1.998724     -0.9010994     1.407146     0.2515955     0.7473412     0.2637224     -1.205994     0.7445521     -0.524341     0.3276161     0.05424058     -0.6288609     0     
Cz       8.133889     -9.266665     -5.880786     -0.1636403     4.638352     -2.854916     0.1203106     4.135141     0.09635492     1.149372     0.05966614     -1.575755     0.03669683     -4.424045     0.6909936     0.04280785     0.3147129     0     
C3       8.088531     -4.824411     -7.695961     0.1871633     2.217866     -2.026584     -3.468144     1.400133     -0.04459121     1.14379     -0.3967552     -2.620439     0.3164635     -0.5555394     0.2529639     -2.969362     -0.3310906     0     
CPz       6.476095     -8.433985     -5.252844     -0.04418899     6.560067     -2.886205     -2.289063     3.206134     0.07965378     1.162002     -0.3448134     -0.5017104     -0.148581     1.238221     0.4405158     0.04706804     0.41195     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.06635     -5.463698     -6.143248     -0.3922888     3.518726     -2.113098     -6.221779     1.169165     -0.1017476     1.144926     -0.5929059     -2.342386     -0.219097     -0.5176746     0.1202979     0.5124934     0.01165377     0     
Pz       5.088092     -7.757721     -4.58477     0.1043614     6.734571     -2.581141     -4.58831     1.32645     0.2208429     1.201649     -0.3856336     1.23467     -0.95893     -0.3104027     -3.540918     -0.1252161     0.594564     0     
P3       4.848539     -5.974038     -4.846183     -0.1513957     4.296148     -2.084699     -7.494533     1.158406     -0.0162015     1.073966     -0.3913791     1.248696     -0.2145582     -0.701466     0.3522024     -0.1122983     -0.01444899     0     
Fp2       47.65392     -17.57456     -3.740676     -7.479583     -2.742775     9.005806     2.096629     0.4407645     -1.411988     0.84804     -1.282912     -1.619141     1.139241     0.4262846     -0.706283     1.032813     0.5030457     0     
F4       18.094     -13.0087     -5.646193     -14.58502     -1.679312     -2.805085     1.853126     0.2016186     1.590685     0.6137208     4.195983     -1.274084     0.7067104     -0.07070883     -0.007866237     0.248317     -1.099843     0     
FC4       11.50245     -11.51354     -5.220243     -3.351135     1.480788     -2.845392     1.415085     -0.4468667     -5.437304     0.9720379     1.365126     -1.311097     0.9173979     -0.582279     0.1815115     0.05682316     -0.9052615     0     
C4       8.432597     -10.28542     -4.2647     -0.4283161     4.589636     -2.849325     0.425597     -1.747355     -0.1430641     1.003086     -0.2500006     -0.9537882     0.7897093     -0.7211087     0.3330159     0.02103242     -1.662739     0     
CP4       6.641344     -9.378802     -4.197631     -0.5127792     6.10166     -2.972152     -0.8474559     -2.125184     0.1690749     1.000206     -0.4345816     -0.04632518     -0.1032798     -0.5483671     0.2727267     0.08220351     1.712052     0     
P4       4.973264     -8.336926     -3.730247     -0.06437162     6.912306     -2.516476     -2.610167     -1.817513     0.01023899     1.004048     -0.2273735     1.534352     -4.55603     -0.2780168     -0.2974864     -0.1527476     0.6717554     0     
