         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       22.0344     2.716296     0.08534101     -1.840799     -5.110288     3.394371     0.1542519     -1.062598     5.545535     -0.7687896     -0.5359926     -0.5693963     0.004250569     -1.014451     0.08305502     -0.4745111     -0.02471114     0     
Fz       8.157077     7.12381     1.455467     -4.817917     -8.297458     -1.795318     -0.6144269     0.1976737     2.975035     2.668524     -1.070531     -0.4070076     0.3098758     -1.17581     0.5880234     -0.1419063     0.1516503     0     
F3       8.540779     4.588818     0.6616433     -5.675646     -5.423162     3.149645     -0.7949584     0.003802782     1.697701     4.805563     -0.001262864     -7.056185     0.2498502     -0.4057534     0.6567382     -0.05338439     -0.09086359     0     
FCz       5.778197     9.239666     2.903136     -4.642682     -5.494761     -1.886527     -0.9301329     0.4694049     2.351877     2.241983     -1.209369     -0.1263046     0.09585284     -1.647688     0.6252295     -0.1775655     0.002360814     0     
FC3       5.086258     4.826207     1.136045     -6.842557     -3.144221     3.261881     -1.926704     0.705514     1.753613     5.308004     0.3203798     1.552629     -0.6907262     -0.752127     0.2069447     0.06652407     -0.3211225     0     
Cz       4.598524     7.900154     5.660759     -4.354004     -3.130757     -1.959907     -1.392684     0.9969824     1.944453     1.78501     -1.201871     -0.03037034     -0.2588732     -3.098381     0.7227079     -0.2668387     -0.5920025     0     
C3       3.782933     4.264714     2.908032     -7.772634     -1.711004     2.176576     -3.66039     1.105237     1.370229     1.761417     0.2761857     0.6876199     -0.6704371     -0.691564     0.3596494     -0.02594391     -0.4400598     0     
CPz       3.880324     6.206521     7.964221     -3.722019     -2.0809     -1.907845     -1.841018     2.360783     1.717394     1.474265     -1.041708     -0.01993896     -0.2904767     -1.737399     0.7122089     -0.1820311     -0.7054206     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.200537     3.555352     4.91568     -6.235908     -0.9251078     0.8057079     -6.947361     1.919561     1.223337     0.9779654     0.2842646     0.5600268     0.3963414     -0.3285488     0.6281662     -0.01454829     0.8262539     0     
Pz       3.094932     4.739075     8.419904     -2.626078     -1.367432     -1.988991     -2.109618     5.488485     1.578592     1.188565     -0.4081145     -0.05815335     -0.09573872     -1.243919     0.354726     0.05401294     1.682338     0     
P3       2.889987     3.330837     5.777313     -3.191277     -0.7738678     -0.566062     -7.751604     4.980736     1.25711     0.9641718     0.3823257     0.3151248     -0.6154921     -0.5655498     0.6381167     -0.01050376     -0.1589735     0     
Fp2       21.3853     2.335574     -0.3901011     -3.496179     -4.793134     -4.356493     0.3901977     -0.7750503     1.663619     1.983081     -0.4681421     -0.3873636     0.4776969     -0.4473474     0.1152869     -0.3178058     0.1303336     0     
F4       8.500175     5.329724     0.9379312     -4.604705     -5.045017     -5.052186     -0.2421827     0.1947192     5.140362     2.648943     -2.524116     -0.4029264     0.2651318     -1.001583     0.4309043     -0.1788055     0.1010734     0     
FC4       6.003531     5.546951     2.819924     -4.263439     -3.337927     -4.264658     -0.5903928     1.025633     3.272474     2.026903     -5.096697     -0.1346893     0.1135011     -1.272034     0.5437205     -0.2563744     0.2466913     0     
C4       4.612103     5.378546     5.494091     -3.692202     -2.331866     -3.544165     -0.9855922     1.800479     2.233012     1.66026     -5.03004     -0.1318486     0.4229204     -1.598599     -2.136296     -2.902346     -0.0882284     0     
CP4       3.822358     4.777002     7.068053     -2.825585     -1.747493     -3.161365     -1.240883     3.386853     1.81523     1.460698     -4.045952     -0.08480217     1.082967     -1.402691     -3.25505     0.6053604     0.01366677     0     
P4       2.849906     3.78418     7.542858     -1.78154     -1.107766     -2.588233     -1.000963     6.415981     1.448055     1.013361     -2.580372     0.06233495     4.855494     -1.245173     -2.735054     0.5449818     -0.6279972     0     
