         Fp1        Fp2        F3        Fz        F4        FC3        FCz        FC4        C3        Cz        C4        CP3        CPz        CP4        RightEar        P3        Pz        P4        
F00       0     0     0.03365097     0.01434869     0.01406658     -0.01309072     -0.007746069     -0.09865976     -0.006579865     0.003521785     0.005714678     0.00718149     0.03249048     0.02323841     0     -0.01143505     -0.01135009     -0.008211363     
F01       0     0     -0.002290217     -0.005025913     -0.0002903541     -0.004546013     -0.004142497     0.0002288493     0.002353447     0.04756558     -0.003896485     0.01736994     0.003918344     -0.01221932     0     0.01853598     -0.1255438     0.06029867     
F02       0     0     -0.02835204     0.004238297     0.04948195     -0.06765258     0.01017864     -0.01810286     0.006698986     0.0136381     -0.01802157     0.02333928     0.01193833     0.007602773     0     -0.02192982     0.009675547     -0.007590584     
F03       0     0     -0.004287363     0.001958496     -0.006218337     0.008291974     0.03531671     0.01117191     0.007538586     0.006420497     0.0003154043     0.02425618     -0.236323     0.02535628     0     -0.05762498     0.2090774     -0.04135745     
F04       0     0     0.007298314     0.002501997     -0.02914202     0.03647505     -0.04704752     0.07957976     0.003648923     -0.1359544     0.01810529     -0.01199226     0.1845368     -0.07415575     0     -0.01353736     -0.06571014     0.03328135     
F05       0     0     0.03365198     0.04449358     0.07058484     -0.03628512     -0.03890578     -0.05616018     -0.008111034     -0.02743021     -0.0120565     0.01674958     0.04019625     0.01841909     0     -0.00308564     -0.02162494     -0.0003766306     
F06       0     0     -0.006106425     0.006446882     -0.01263946     0.00902753     -0.009908904     0.01166366     -0.003111304     -0.002234011     0.02209545     -0.003062994     -0.009767096     0.04108086     0     -0.006789551     0.06272651     -0.1039802     
F07       0     0     0.01103582     -0.0009710833     -0.009223172     0.02204417     -0.008887876     0.006981683     -0.009703742     0.01987421     0.007045227     -0.111418     0.0326661     -0.00797221     0     0.06354498     -0.02095201     0.0007908685     
F08       0     0     -0.002011932     -0.01036202     -0.0005223291     0.004203486     0.03050445     -0.0082912     0.00988559     -0.01518949     -0.008426578     0.06088672     -0.03238254     -0.003020221     0     -0.1279632     0.09015613     0.01616967     
F09       0     0     -0.01226394     -0.02101448     0.01963767     -0.01133633     0.04273704     0.02289031     0.01058856     0.01435947     -0.04379652     0.001694936     0.01651562     -0.07776342     0     0.0008510991     -0.01304063     0.045636     
F10       0     0     0.02847093     -0.01351647     -0.02440242     0.01803711     0.03672569     0.01364485     -0.1527595     -0.01498342     0.01860498     0.141976     0.01202825     -0.02888816     0     -0.05465714     0.001863527     0.01262878     
F11       0     0     0.0526139     -0.1607326     0.07344156     0.003623366     0.06127778     -0.02163041     -0.01570343     0.03590316     -0.02320109     0.009786365     -0.04539793     0.02636693     0     -0.006901709     0.02740818     -0.01630138     
F12       0     0     -0.003267101     0.006041137     -0.01835613     0.008908703     -0.02544026     0.096611     -0.004503799     0.01652608     -0.199538     -0.001486915     0.008985564     0.1595417     0     0.002605178     -0.007918218     -0.04583297     
F13       0     0     -0.1262576     0.01202027     0.08508442     0.1440338     -0.01166386     -0.08368699     -0.03155198     -0.006696417     0.001076761     -0.01074429     0.01086781     0.02264043     0     0.007601853     -0.005941737     -0.0109065     
F14       0     0     0.01571257     0.02938044     -0.01089069     0.003291721     -0.164982     0.02229598     -0.009703276     0.2438882     0.00515188     0.02389102     -0.1992607     -0.0209795     0     -0.02521313     0.09382603     -0.0004378528     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Fp2       0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
