         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.005286929     -0.0009275026     0.0004103484     -0.02022963     0.01439828     -0.002087191     -0.007565438     0.01700649     0     -0.005896626     -0.001356152     0.001065948     0.01803999     0.005823718     -0.009384925     0.0005182794     -0.008751563     0.004045635     
F01       -0.002129726     -0.01378575     0.004105636     0.09816387     -0.005786991     0.0351966     0.05022326     -0.1219912     0     -0.004714484     0.005462652     0.009263792     -0.01437311     -0.02807565     0.01716324     -0.01361644     0.04202319     0.02159351     
F02       -0.0005737788     -0.006261168     -0.01233808     0.03395308     -9.705945E-05     0.04260371     0.02623597     -0.117291     0     -0.001200772     -0.05765799     0.01989091     0.000930978     -0.005871372     0.001615252     0.01131029     0.0346356     0.01761549     
F03       -0.0004794316     -0.003762236     0.001083424     -0.01804366     0.004149789     -0.01961592     0.002174041     0.1197822     0     0.006114355     0.02131485     -0.06240153     -0.002033823     0.009418045     -0.002937988     -0.005645767     0.08481506     -0.1503986     
F04       -0.001793529     0.003001484     0.002453491     -0.01272456     0.008607248     -0.008674166     0.02866134     0.03973014     0     0.001307051     0.03137572     -0.1260693     0.0005767721     -0.001334603     0.0028183     -0.01392895     -0.04148092     0.08218489     
F05       -0.07730138     0.01025343     -0.001280472     -0.0447066     0.08999598     -0.007032432     -0.0282459     0.01939851     0     -0.0005899279     -0.004239189     -0.001672938     0.05783079     0.010089     -0.01503428     -0.00042258     -0.004262655     0.0006432046     
F06       0.005870288     -0.005756411     0.03372003     -0.09456284     0.2161952     -0.0202576     -0.07611594     0.03231994     0     -0.008584875     0.004831058     -0.02175381     -0.01663003     -0.04379161     0.006965511     -0.007314013     0.003827504     0.00484993     
F07       -0.002916672     -0.003781641     -0.01488213     0.04370859     -0.0386325     0.07219262     0.0281273     0.02614333     0     0.01809549     -0.04009425     -0.02957197     0.005606421     0.02639368     -0.008578649     0.01766447     -0.3053074     0.1773626     
F08       0.0021914     -0.007898062     0.008935014     -0.11466     0.04862731     -0.005480617     -0.01341419     0.02369652     0     0.00846377     0.006156323     -0.009482653     -0.04869647     0.1669771     0.006940698     -0.01466386     -0.06127346     0.02765774     
F09       0.000806582     0.01339644     0.0358577     -0.07283706     -0.03431324     -0.01286036     -0.0507095     0.2876773     0     0.00933571     -0.231491     0.0504798     -0.00474417     0.01170855     -0.009515554     -0.01168069     -0.03850454     0.05787021     
F10       -0.002572496     -0.01169535     0.1735935     0.00630354     -0.2542267     0.0412702     0.0837782     -0.04142638     0     -0.001174552     0.01396771     0.0006232544     -0.008693686     -0.009413195     -0.009171346     0.01282073     -2.227042E-05     -0.003208747     
F11       0.0004376356     -0.01341437     0.002350663     0.05395574     -0.02119599     0.01550989     0.009182929     -0.03445777     0     -0.007535999     0.007310248     0.005990901     -0.001425457     0.08513068     -0.2052577     0.0406155     0.09041385     -0.03547227     
F12       -0.0005989553     0.0001094192     0.0005598721     -0.01671944     -0.008554032     4.525815E-06     0.129412     0.07478242     0     -0.2335058     -0.03669887     0.1005503     -0.00159079     -0.001727537     0.0187345     -0.008813022     -0.0238656     0.007099098     
F13       0.002907244     -0.02094225     0.0001867308     0.03895517     0.2113766     0.05378209     -0.367241     0.001544267     0     0.01750531     -0.0102505     0.07692223     -0.005421992     -0.02029571     -0.0007401223     0.03256264     -0.01336123     -0.008810391     
F14       0.001975853     -0.2711796     0.01931268     0.1510274     0.09006211     0.01647578     -0.03554843     -0.03734068     0     -0.003632287     0.004414793     0.004674453     0.01409312     0.05005502     0.01098492     -0.02122516     0.01377711     -0.000328173     
F15       -0.000954532     0.00548003     0.004232682     0.05757475     -0.04119261     0.01389272     0.001114559     -0.01243378     0     0.001845898     0.01097871     0.001362882     0.004461349     0.01680791     0.04965182     -0.3668467     0.3491573     -0.1162855     
F16       0.0003778374     0.04164912     -0.009120096     -0.283951     0.04559521     0.3812242     -0.03278045     -0.2004606     0     -0.004396339     0.02753663     0.01251056     -0.001801296     0.01216194     0.01263466     -0.02089417     0.02567898     0.001174165     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
