         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.04101335     -0.01830217     -0.02434518     0.0170879     0.005561944     -0.005391868     -0.005147372     -0.0006972855     0     0.003534482     0.001815586     0     0     -0.005558609     0.00582827     0.01191466     -0.02088236     0.01232146     
F01       0.003973885     -0.09410929     -0.01313471     0.1243879     0.01941851     0.004744044     -0.002130717     0.03803062     0     0.004807618     -0.04880496     0     0     0.002691488     -0.01139569     0.01709769     -0.03718915     0.036256     
F02       0.0008506568     0.0009302213     -0.01592189     -0.01144629     0.01779082     0.01890745     -0.003465894     0.07839045     0     0.02513368     -0.1593334     0     0     0.001566482     -0.0005107674     0.007014084     -0.03026187     0.05787317     
F03       0.04706201     -0.2546613     -0.01075339     0.1484393     0.02268241     -0.004562265     -0.003418108     -0.005698183     0     -0.008230126     0.0156246     0     0     -0.001997316     0.07717505     -0.03056569     0.006204236     -0.01770061     
F04       0.01703961     0.04236788     0.004611258     0.0451346     -0.01329684     0.001714675     -0.002515663     0.01162907     0     -0.003119934     -0.008852219     0     0     -0.05700262     -0.1413451     0.0924077     -0.02430372     0.004196072     
F05       -0.002544941     0.007205034     0.001486294     -0.00841995     -0.002018954     -0.01130362     0.001158452     -0.00427665     0     -0.003568529     0.07070304     0     0     -0.001012152     -0.002505115     -0.003792976     0.1015799     -0.1522122     
F06       0.002245578     -0.03139052     -0.007643034     0.03973078     -0.002596019     0.002543219     -0.003601052     0.0641719     0     0.01160809     -0.03006417     0     0     0.01272925     0.1119849     -0.23214     0.01083949     0.03577263     
F07       0.001787252     -0.0282286     -0.000257816     0.01766552     0.06483268     -0.00928634     0.005489436     0.02627126     0     -0.143151     0.04587977     0     0     -0.004364147     -0.002105869     0.01845027     -0.009603591     0.003175922     
F08       0.01264931     0.07212175     -0.04664695     0.04993481     -0.1439153     0.00533433     0.001414497     0.02136349     0     0.034886     -0.01209124     0     0     -0.004809178     -0.002103238     0.003844996     -0.01407156     -0.001665813     
F09       0.01159569     -0.1234435     0.001085918     0.2284593     -0.007994908     -0.03588667     -0.0002103238     -0.2053584     0     0.01504328     0.1098798     0     0     -0.001241828     0.004510325     -0.0003608735     0.0327726     -0.03363078     
F10       -0.006720358     0.04313548     -0.004220771     -0.09438854     0.007571603     0.03570868     -0.0001417705     0.01001179     0     0.01054029     -0.004815313     0     0     -0.001250334     -0.05729476     0.3426552     -0.397911     0.1284612     
F11       -0.004477197     0.04712691     0.00626862     -0.1389872     -0.01448679     0.2230845     0.01641469     -0.1667466     0     -0.01047392     0.05578586     0     0     -0.002719511     0.01614208     -0.06472085     0.067702     -0.0281828     
F12       0.003921499     0.0009371713     -0.02297261     -0.02316094     0.1265736     0.08405404     -0.2407717     -0.02411123     0     0.108528     -0.00943042     0     0     -1.225963E-05     -0.00957824     0.01199285     -0.008856974     -0.002450359     
F13       0.05912225     0.1863728     -0.3859451     -0.09811576     0.2882498     -0.007617056     0.003048244     0.003041707     0     -0.0488303     0.01122939     0     0     0.01038576     -0.0421332     0.002252966     0.02146816     -0.01315258     
F14       0.01823074     0.1027051     0.01436231     -0.06234489     -0.04038462     -0.007776184     0.005182915     0.01808064     0     0.006541268     -0.007901745     0     0     -0.2615037     0.3357307     -0.1380581     0.02789463     -0.004808992     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
P3       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     
