         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       34.69318     1.844374     2.246675     1.703521     0.3408105     -0.4841564     -3.132614     -6.546473     -2.215674     0.4408911     1.361108     0.8495167     -0.02364479     1.062405     -0.4419328     -0.2473794     0.4517233     0     
Fz       11.09837     5.241157     3.526445     5.53083     1.83242     -0.1305277     -1.98295     -0.5153378     -2.273003     0.1804074     -0.1531964     1.194545     0.6067662     -0.04389988     -0.164732     -0.1739487     0.3132536     0     
F3       13.79316     4.986053     2.649687     4.378356     -0.9790367     -4.553633     -2.243836     -0.1481571     -2.270692     0.3351021     -4.179796     1.102719     0.554305     0.06994671     -0.08700964     -0.5717067     0.5026327     0     
FCz       7.7153     6.115438     4.565027     4.242536     1.517831     -0.5477141     -1.498777     -0.4345739     -2.42907     0.0913262     -0.1450735     1.301175     0.583105     0.01762862     -3.27255     -0.7889028     0.3307429     0     
FC3       8.557436     6.004247     2.646483     3.497761     -0.5839771     -3.256581     -1.974674     -0.6169464     -2.340233     5.367924     -1.245774     0.9840996     1.003414     0.01026792     0.2233952     0.06891282     0.7405828     0     
Cz       5.394047     6.891018     5.155342     1.942629     1.379691     0.3126349     -0.8805828     -0.2857681     -2.297643     -0.2211917     -0.04440917     1.511522     0.5195323     0.02358586     0.1592971     0.162904     0.2336151     0     
C3       5.596085     7.055194     2.313701     2.445468     -0.6275448     -6.810798     -1.284947     -0.3595848     -1.901629     0.5693409     0.4173608     1.131636     0.6124693     0.01007742     0.3003429     0.2068807     0.6700792     0     
CPz       4.213128     7.898477     4.216552     1.06623     1.133655     0.4317879     0.19097     -0.2303483     0.07152453     -0.2663145     -0.01847008     0.9783576     0.1870637     0.06271102     0.2287221     0.1176345     0.256673     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.276084     7.896408     1.474666     1.20588     -0.1348342     -1.549241     -0.1243534     -0.2309247     -1.575762     0.09359746     0.1022241     1.180856     0.4452361     0.01110205     0.2930614     -2.642752     0.5626564     0     
Pz       3.272739     8.199627     2.667763     0.5267154     0.9828695     0.2490959     2.053083     -0.1307792     -0.3186552     -0.3378722     -0.04659555     0.8371418     -0.2036807     0.08972119     0.2208276     -0.09035975     -2.233328     0     
P3       3.198121     8.379558     0.41755     0.279212     0.1851704     0.188031     1.508186     -0.1547529     -1.244208     -0.1149535     0.06047515     1.16085     0.3381483     0.01847315     0.176216     0.1840548     0.2677784     0     
Fp2       38.58876     1.123322     2.188192     1.513977     4.283584     -1.496238     -3.027705     3.435747     -2.282075     0.4058523     1.465549     0.7708195     -0.1513903     1.610857     -0.4919557     -0.4313244     0.4698963     0     
F4       12.4661     3.924298     2.91873     3.064238     5.119443     -1.43511     -1.834622     -0.6136503     -2.038767     0.5888504     -0.9493396     0.7784678     0.3164563     -3.016977     0.2054579     0.252265     0.4496288     0     
FC4       7.303154     4.926898     3.135036     2.466723     5.308626     -1.364483     -1.076723     -1.005762     -1.854872     0.3020433     -1.04325     0.7300286     -0.1938305     0.4835845     0.1667354     -0.0187042     0.4288493     0     
C4       5.14175     5.825657     3.346502     1.700682     3.718384     -0.362268     -0.1276795     -0.5482658     -1.383283     -0.06047345     -0.4730504     0.9415261     -2.482454     0.3322536     0.1503545     -0.05431923     0.2985641     0     
CP4       4.016953     6.62317     3.236711     1.040261     2.694576     0.1249727     1.188991     -0.335644     -1.243033     -0.05398676     -0.27697     -0.8426553     -2.181446     0.2777564     0.3139978     0.124447     0.162958     0     
P4       2.97373     6.778975     2.918496     0.8371451     1.756716     -0.2012838     4.571577     -0.250043     -0.6320866     -0.148083     -0.1402197     -0.1088609     -1.506114     0.2344666     0.3167827     -0.04563219     0.1618287     0     
