         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.01214386     0.009033774     -0.003731564     -0.007840894     -0.0007290896     -0.002810285     -0.005333586     0.002527862     0     0.004993609     0.006002171     0.005811615     0.008480722     -0.002559846     -0.002049597     0.003664857     -0.003490999     -0.006012723     
F01       0.001437588     -0.058065     -0.00117549     0.01270469     -0.007144671     0.1387145     -0.00529157     0.03177943     0     -0.02609908     0.001251469     -0.01196299     0.0001347403     0.0001937878     -0.006250994     -0.01450328     0.003432059     0.00143469     
F02       -0.014348     0.1396146     0.01353546     -0.03259034     -0.02480173     -0.06137957     0.00515847     -0.02946081     0     0.06132527     0.002922014     0.004778308     -0.02101754     0.002663391     0.007905419     -0.01762319     0.006777117     0.009577989     
F03       -0.001305406     0.04344083     0.00881907     -0.003706302     0.006638878     0.03743985     -0.01908953     0.05216588     0     -0.1341845     0.00340657     -0.01118384     -0.006078814     -0.001301315     0.003852227     -0.009236093     -0.003580168     0.0009617652     
F04       -0.05684383     -0.02897707     0.01172246     0.01022229     0.004511394     0.01050878     0.008540037     -0.01149173     0     0.003796724     -0.001179974     -0.004613909     0.06460809     0.002151031     -0.004814276     -0.01662851     0.002718574     0.006080853     
F05       0.001847283     0.03682839     0.009290932     0.02383596     -0.1459928     -0.02467102     0.03382114     0.02428135     0     0.04616993     -0.005019827     -0.006761177     0.004469985     0.002226932     -0.003995445     -0.02001411     0.00628     -4.795849E-05     
F06       0.001060869     0.02063627     0.006744217     -0.01556412     -2.978783E-05     0.1425373     -0.006968534     -0.003553622     0     -0.005615616     -0.001663864     -0.01045205     0.00585218     -0.0007832045     -0.008859585     -0.1573219     -0.003788484     0.001109935     
F07       -0.000900753     -0.06474843     -0.0006961364     0.002285796     0.005482591     0.0201404     -0.002859806     -0.005165037     0     0.01254187     0.0008861929     -0.008850001     -0.01824432     0.1144813     -0.03323496     -0.02155082     -0.004608775     0.005942913     
F08       0.002712188     -0.0172538     0.01041172     -0.005367361     -0.01443408     0.02209806     -0.01153951     0.06094604     0     0.03024837     -0.1386723     0.0332161     -0.002786731     -0.001574249     0.01391631     -0.01936646     0.01062967     0.02563804     
F09       -4.805054E-05     0.09821324     -0.1298704     -0.01862884     0.05902831     0.002102025     -0.002491562     0.004350207     0     0.004068525     -0.007896864     0.00864148     0.007082733     0.0004727422     -0.02304138     -0.0005416538     0.002535646     -0.009914821     
F10       0.0009205693     0.005185691     0.0003456319     -0.02757656     -0.02491198     0.008503848     0.006981643     0.002988874     0     0.162911     0.002109889     -0.1525927     0.0003149719     -0.00178046     -0.01540749     0.02298939     -0.01119333     0.01157259     
F11       -0.003341176     -0.01427442     0.01286858     -0.01769532     -0.01321048     0.009086146     -0.004829921     0.03737107     0     0.01446236     0.004424416     0.02595739     -0.0007066741     0.007061539     -0.0007424277     0.04980263     0.03381136     -0.1553777     
F12       -0.004220863     0.05141058     0.01987344     0.005587478     -0.01204391     -0.02547254     0.01678891     0.02232712     0     -0.04727178     -0.01384903     0.02581799     0.005155568     0.001023201     -0.1470673     0.1112412     -0.01520285     0.004619953     
F13       -0.0002155278     -0.009485045     -2.04625E-05     -0.05944474     -0.01653393     0.2374538     0.02718422     -0.1940284     0     -0.01294032     -0.0007947927     0.01687083     0.0004428943     -0.001542345     -0.00064407     0.01611441     -0.006424947     0.001532285     
F14       -0.0004121917     0.003203008     0.01269442     -0.01434051     0.04108338     0.07731474     -0.2425373     -0.05323678     0     0.181024     -0.002181967     -0.004860628     0.002538644     -0.005676401     -0.008980693     0.008889648     0.000166108     -0.00402453     
F15       0.005308687     -0.1255989     -0.009970515     0.3169312     -0.007966949     -0.1883593     0.002860865     -0.04271364     0     0.03886365     0.006451727     -0.0007300979     0.003178836     -0.0007392855     -0.01243276     0.01449522     -0.0002810638     0.004925655     
F16       0.002997182     0.01637222     0.001034961     0.00697102     0.01024651     -0.002479282     -0.003638229     -0.0414791     0     -0.002618668     -0.001990408     -0.009538636     -0.002693488     0.0008253344     -0.02369284     -0.1121874     0.2136407     -0.04057107     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
