         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       63.92048     11.185     14.55951     4.542742     -0.2161865     3.168641     2.343191     -0.1806046     -3.481259     3.858522     -1.513151     -0.5224533     -1.937263     1.615323     1.451214     -0.4642652     -1.365809     0     
Fz       21.81511     14.34746     9.677327     4.384366     0.6967216     2.586689     1.552727     3.155481     -3.629441     2.081584     -1.480991     -0.1727505     -0.6949854     1.134614     1.311792     -0.7205816     -0.7000354     0     
F3       25.93024     12.72022     4.521662     3.426659     -0.883441     2.471313     2.250145     5.556816     -1.69528     2.212865     -1.54711     -0.3776757     -2.034636     1.120134     1.621648     -0.8907694     -0.3440777     0     
FCz       13.76515     14.99516     7.463546     4.166755     0.3436079     2.04361     1.647923     1.659354     0.07770289     2.054268     -1.150012     -0.2350901     0.2109173     0.9830728     2.190499     -0.5051465     -0.5030171     0     
FC3       16.28288     12.61205     2.728505     2.507013     -2.573831     1.660254     2.135103     3.261198     -0.2473739     1.738194     -1.186226     -0.1706404     -3.534735     0.9691702     1.357955     -0.7102283     -0.2895989     0     
Cz       10.22266     15.17301     6.359469     3.428791     -1.154107     0.2832754     1.351487     1.020426     1.959273     2.088819     -1.335689     -0.3133684     0.2051956     0.7541599     -1.228684     -0.4654821     -0.3207795     0     
C3       11.04675     12.58974     2.753482     0.9989718     -5.263709     0.5333505     1.855154     1.957302     0.9918859     1.461429     -0.8988785     -0.06864346     -2.256603     0.7613771     0.8215284     -0.4885254     -1.944863     0     
CPz       7.505743     14.93066     5.898387     1.84849     -2.810715     -3.46214     0.1301734     0.7323045     2.668981     3.139174     -1.48539     -0.2852212     0.6800764     0.3650023     -0.03780347     -0.3816563     -0.3492378     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.969889     12.78185     3.304735     -1.468344     -6.765826     -0.9026845     1.275683     1.148801     1.762995     1.044928     -0.6708411     -0.09146865     -0.9792317     0.5492961     0.5448612     -0.3606197     -0.1446435     0     
Pz       5.849286     14.57126     5.168918     -1.296134     -2.816589     -5.680957     -0.9776238     0.2207065     3.404781     -2.104153     -0.4107653     -0.5422556     0.2611201     0.08967666     -0.1758587     -0.4154454     -0.571896     0     
P3       5.616477     12.54798     3.444254     -5.512428     -5.63651     -2.225697     0.7066841     0.7294276     2.261498     1.831377     -0.3962138     -0.01221693     -0.319553     0.3236103     0.1876515     -0.2869371     -0.1019692     0     
Fp2       57.49832     9.31536     29.56128     5.015369     0.8230479     3.492965     0.7988812     4.636425     -2.060218     3.340848     -1.599569     -0.4424312     -2.371186     1.676617     1.524437     -0.2007807     -2.179015     0     
F4       19.47638     11.86802     13.66295     4.003898     1.317757     2.651929     -0.3087513     2.210071     -3.022942     1.832579     -3.327353     -6.191766     -0.06170261     0.9358937     1.263533     -1.670365     -1.046429     0     
FC4       12.19439     12.14378     10.41612     3.421286     0.5134807     1.308762     -1.606225     0.8578614     -0.4945479     1.036434     -4.341311     -0.5682456     0.5047761     0.7829906     0.7859629     -3.143732     -0.8618459     0     
C4       9.182972     12.38576     8.764347     2.692874     -0.3935525     0.01828507     -3.086261     0.4138401     0.866037     0.9918788     -4.562594     -0.2961736     0.6726373     0.3836179     0.2888401     -0.09691479     -0.7295783     0     
CP4       6.842556     12.67672     7.228902     1.273899     -1.546073     -1.525807     -5.243271     0.2149529     1.955431     1.515271     -2.772139     -0.1653558     0.8838756     0.02967463     -0.06334111     -0.140103     -0.5701208     0     
P4       5.060156     12.55561     5.919585     -1.07681     -1.87231     -3.046988     -5.690492     0.04783214     2.578437     1.180284     -1.368124     -0.04909419     0.8336564     -3.086427     -0.2411049     -0.219156     -0.4473778     0     
