         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       58.77502     0.4978796     6.956031     -4.73922     -0.0734552     4.110235     -0.9379729     -1.136419     -1.554167     3.455758     -0.6665994     0.9140224     0.09358421     -2.143776     -0.2740117     1.014091     0.7358456     0     
Fz       16.59196     6.455511     7.039593     -11.45557     -1.655836     0.8446036     -1.754161     -3.488771     -0.02036783     3.114288     -1.255961     3.009602     -0.664193     -2.466837     1.379122     1.113202     0.7489902     0     
F3       19.293     5.320044     1.950707     -8.605056     -1.753317     1.029004     -2.852155     -7.159879     -0.1523079     2.371861     -1.117041     2.897288     -0.09770577     -2.240035     0.9143897     0.9430872     -1.154858     0     
FCz       9.536774     10.70107     5.743749     -7.253915     -3.191936     -0.02420581     -1.650877     -2.554109     -0.039512     3.003348     -1.578692     3.259295     -0.439408     -5.396983     1.429249     1.060203     0.6309379     0     
FC3       12.67791     6.082942     0.4997017     -6.266398     -2.475564     0.2217613     -4.785215     -6.370668     -0.1940596     1.449977     -1.177897     2.963875     -0.0592508     -1.941248     1.25493     1.037859     3.150559     0     
Cz       7.023708     12.19507     4.802539     -3.449624     -5.864243     -1.222057     -2.26716     -1.9539     -0.02680863     1.990199     -1.85275     2.726649     -0.4784159     -1.038053     0.8437255     0.6253248     0.3197622     0     
C3       8.24116     6.871024     1.048083     -3.96106     -3.934216     -0.8083441     -7.700686     -3.201159     -0.09589984     -0.3616939     -1.58764     2.696994     -0.263822     -1.384508     0.861236     0.6709229     1.011839     0     
CPz       5.570259     9.808455     4.070919     -2.062442     -9.28822     -4.589866     -2.671612     -1.51907     0.0281258     -0.5320913     -2.081885     1.56336     -1.474648     -0.5222063     0.04582763     0.3484805     0.2131867     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.899952     7.395967     1.917394     -3.110984     -5.848516     -2.427051     -7.329195     -2.307213     -0.1450583     -3.603572     -1.619363     2.042073     -0.8411937     -0.8513508     -2.277147     0.3555081     0.5536579     0     
Pz       4.504032     8.527347     3.198298     -1.448811     -7.628039     -9.140832     -1.894907     -1.080706     -0.1432927     -3.792121     -1.197686     0.6521151     -2.098839     -0.03629207     -0.7810858     0.06476478     0.1476351     0     
P3       4.396009     6.853572     1.853919     -2.501731     -6.112735     -4.332649     -4.463199     -1.540305     -0.1932846     -8.924693     -1.123668     0.5978575     -1.039094     -0.4074052     -1.890936     0.05687844     0.3464793     0     
Fp2       54.57412     0.1362318     14.53837     -3.892997     0.2422163     3.608303     -0.4784992     -2.154698     -13.05262     3.787175     -1.036425     0.8931558     -1.220114     -1.393632     0.4486542     1.055783     0.3946971     0     
F4       17.12812     4.120677     11.4756     -6.494359     -0.7779046     0.5586804     -1.484339     -5.380488     0.9675652     2.729104     -1.887957     2.250799     -2.113563     -1.549559     1.493058     0.5110636     0.7609595     0     
FC4       10.163     6.030556     8.981135     -4.669894     -1.933746     -0.6349119     -1.44335     -3.891384     0.8387961     2.336792     -4.307223     1.623943     -2.692636     -1.370801     1.109579     3.303033     0.634958     0     
C4       7.257004     7.406428     6.793495     -2.929681     -3.582561     -2.072316     -1.570444     -2.415285     0.3948672     1.745154     -7.031685     0.4979401     -3.810392     -0.8528484     0.6233097     1.198321     0.4877431     0     
CP4       5.488871     7.77413     5.363338     -2.058931     -5.081628     -3.98486     -1.485358     -1.877422     0.2059519     0.2862696     -5.172415     -2.092612     -6.380146     -0.1532132     0.05339995     0.654963     0.3480531     0     
P4       4.227315     7.4639     4.17722     -1.409594     -5.569321     -7.420495     -1.205884     -1.575886     0.1194596     -2.018184     -3.055656     -6.211488     -4.669291     0.1160908     -0.2418467     0.1928849     0.2145962     0     
