         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        Fp1        Fp2        RightEar        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
F3       15.54897     5.654646     7.053654     -4.232996     -0.705042     -3.068565     0.5312527     1.368659     -1.5885     -0.37467     -1.252513     0.6329725     0.9102319     -0.5075169     1.66475     0     0     0     
Fz       13.81448     9.94816     7.870343     -4.639291     0.1606257     -2.306693     0.1809326     1.674961     -0.4308503     -0.6884496     -1.927794     0.8958434     0.7680792     -0.4275674     1.355699     0     0     0     
F4       12.70993     13.24456     5.667792     -3.806728     0.6890011     -1.78816     -0.1891721     1.406255     -2.567656     -0.989598     1.152228     0.9931523     0.6116548     -0.3601535     2.010821     0     0     0     
FC3       11.40828     4.19208     7.166926     -5.221496     -1.992974     -4.745773     0.345529     0.9381064     -1.785759     -0.4560122     -1.112701     0.5684264     0.945597     -3.75698     0.3817775     0     0     0     
FCz       10.22014     8.382474     9.649693     -6.401915     -0.3846032     -2.435593     -0.2169466     1.531195     -1.851313     -0.8843631     -1.390037     0.7108788     0.7167972     -0.07631474     0.6603602     0     0     0     
FC4       9.042035     11.04423     5.972633     -4.806494     0.2558263     -1.870432     -1.083861     1.030443     -4.297307     -1.225171     -2.578693     1.234998     0.4075862     -0.2501923     1.198776     0     0     0     
C3       8.653944     4.293153     6.700464     -6.415015     -4.44366     -6.027232     -0.2139419     -0.06198842     -1.790046     -0.6778276     -1.000708     0.6339304     0.6968644     -0.2163468     -0.1220573     0     0     0     
Cz       8.199434     7.187354     8.677043     -8.994763     -1.634848     -2.347782     -1.190083     0.473701     -2.632977     -1.280461     -1.536541     0.821764     0.7790701     0.06715671     -1.351852     0     0     0     
C4       7.007385     8.967069     6.212462     -6.068776     -0.5935214     -1.890212     -2.986945     -0.1187599     -4.098068     -4.665558     -2.366853     1.650334     0.1132715     -0.1933117     0.5645106     0     0     0     
CP3       7.014505     4.321984     6.202919     -6.640669     -7.745186     -4.470218     -0.7183385     -1.771633     -1.914063     -0.8734475     -1.038084     0.7475864     0.8758122     -0.303786     0.3542735     0     0     0     
CPz       6.860275     6.446838     7.484704     -10.62032     -3.287973     -2.479932     -2.447713     -2.85197     -2.839256     -1.386591     -1.342249     0.8489096     0.4381502     0.01725327     0.04705218     0     0     0     
CP4       5.979406     7.487216     6.244192     -6.617437     -1.774317     -1.886352     -5.52998     -2.272536     -3.694426     -2.52807     -1.490861     3.210969     -0.4275278     -0.1359554     0.4446309     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       5.975733     4.427175     5.998009     -6.175306     -9.25386     -3.102128     -1.198788     -4.382713     -2.055615     -0.8434033     -0.8753206     -0.1772103     -3.215292     -0.3650229     -0.09713776     0     0     0     
Pz       5.964053     5.931056     7.095963     -8.499664     -4.925731     -2.273338     -3.596079     -7.027281     -2.938406     -1.341549     -1.383865     -0.06216878     -0.2233612     -0.1015124     -1.036861     0     0     0     
P4       5.316391     6.329781     5.912309     -6.163153     -3.213332     -1.738528     -7.572041     -4.602825     -3.093677     -1.655625     -1.365806     0.06554092     -0.7243292     -0.2308462     -0.09912194     0     0     0     
