Filename       Segment   T252T292Fz-ASNM T252T292FCz-ASNM T252T292Cz-ASNM T252T292CPz-ASNM T252T292Pz-ASNM
ss_36             1           -.----         -.----         -.----         -.----         -.----
ss_36            94          -2.2237        -0.8768        -1.3382        -1.5286         1.0906
ss_36            95           3.6676         6.6298         9.4196         9.2133        11.4968
ss_36            96         -42.4038       -36.3994       -27.7508       -22.7802       -24.1612
ss_36            97          25.0284        22.4019        16.5605        13.6981        10.3569
ss_36            98         -15.2853       -15.4379       -16.5312       -13.6599        -7.8532
ss_36            99          46.8683        37.9175        33.1879        28.6708        22.9715
ss_36           100           0.9024         0.9002        -0.5872         1.4802        -0.0363
ss_36           101          -1.9265        -0.1988        -2.3194        -5.7224        -6.5766
ss_36           102          12.6587         9.6513         6.1610         4.3509         0.5457
ss_36           103           0.2499         4.1792         7.2319         9.5848         7.6640
ss_36           104           4.8653         4.5253         3.7829         5.9097         8.6319
ss_36           105          18.3540        16.7682        12.8344         9.5322         8.2433
ss_36           106          12.0925         7.5716         6.7511         4.1633         2.0703
ss_36           107         -10.0695       -16.2325       -20.5079       -22.8387       -23.5554
ss_36           108          26.1431        21.7032        20.5572        18.0221        15.7251
ss_36           109          21.0649        22.2583        19.2686        14.0321         7.3807
ss_36           110           1.1439         1.6807        -5.1401        -6.1400        -3.1318
ss_36           111           5.0321         4.0156         4.5830         2.4158        -1.3928
ss_36           112          27.8364        26.0463        24.0705        20.6166        16.3424
ss_36           113          29.9028        27.0656        20.9374        18.8620        12.2152
ss_36           114          14.3392        16.7742        15.9814        14.3188        12.5159
ss_36           115          13.1299        13.0411        13.2300         9.7856         6.0324
ss_36           116          -5.8712        -5.2836        -4.3192        -4.7412        -5.4833
ss_36           117          -7.2518        -6.4962        -8.3991        -8.4567        -9.8050
ss_36           118           6.6420         5.3762         3.8801         1.9002        -2.2253
ss_36           119          17.5900        19.3759        19.7134        21.3395        21.5115
ss_36           120           2.5881         4.4631         7.6883        10.0250         2.9093
ss_36           121           1.1071         2.9257         2.8391         0.9970        -2.3212
ss_36           122           3.1927         4.0857         4.2706         3.0890         3.0543
ss_36           123         -27.2252       -22.3193       -19.7556       -15.9700        -9.2364
ss_36           124          -6.8032        -9.2550        -6.8427        -7.1999        -9.5879
ss_36           125           5.1014         7.9721        10.6273         9.6734        11.4373
ss_36           126          22.8009        17.3688        10.4710         6.5220         4.8843
ss_36           127          10.2738         9.4951         7.4490         6.3304         3.4462
ss_36           128          10.1675         8.8857         7.5333         5.3099         0.8708
ss_36           129           8.3166         7.8617         4.1472         2.4223         1.0888
ss_36           130           3.4349         5.4286         3.5976         2.9232        -0.8864
ss_36           131          13.1357         4.5354        -5.4748       -10.0189       -12.1203
ss_36           132          -5.7705        -5.0626        -7.2652       -10.2530       -14.1215
ss_36           133          11.1023        15.7190        13.7048        10.0547        -0.0721
ss_36           134          -3.5980         2.2450         6.5192         3.0045        -2.2328
ss_36           135          13.7223        16.7188        14.0016        10.3634         4.3231
ss_36           136         -16.8743       -13.6332        -9.0593        -7.1870        -7.3570
ss_36           137         -10.6581       -12.0354       -13.6310       -13.3909       -12.9589
ss_36           138           5.3129         7.9510        10.0407         9.7294         8.8524
ss_36           139          30.9651        28.7877        27.4681        25.5198        22.9192
ss_36           140          25.7389        21.5208        17.4968        14.2519         8.5902
ss_36           141          -6.8941       -12.0413       -12.1039       -13.1130       -12.0032
ss_36           142          -2.2528        -0.8430        -3.0117        -4.5414        -5.1877
ss_36           143          -6.8626        -9.3429        -8.7379        -6.5353        -8.0113
ss_36           144          35.3030        39.1299        38.1421        34.8768        28.5095
ss_36           145          -3.8289        -3.7001        -5.1076        -6.4767        -7.1421
ss_36           146          24.5142        24.5458        23.0423        19.3499        14.8989
ss_36           147          -6.4150        -4.9790        -5.8646        -5.2101        -5.1752
ss_36           148         -12.0614        -5.7459         3.8288         5.2018         6.7004
ss_36           149          11.1662        13.4888        13.4313        13.2731        13.6036
ss_36           150          16.1573        19.6380        20.2035        19.4359        19.6587
ss_36           151           6.3740         9.6575        13.6416        14.0428        12.5521
ss_36           152          10.3817        11.1862        11.0012        12.0359        10.8941
ss_36           153          -5.0390        -2.3328         0.6377         1.4991         1.1912
ss_36           154         -10.4393        -6.9792        -0.0099         1.6502        -0.7992
ss_36           155           8.4706         7.8827         7.8652         6.8219         2.7516
ss_36           156          19.6498        22.7469        25.6799        26.5494        25.7297
ss_36           157         -15.0561        -6.6579        -4.9131        -4.6458        -2.6502
ss_36           158          -1.3562         1.4974         1.7362         0.8376        -0.8453
ss_36           159           7.2490        10.5788        10.7702         8.0967         4.8080
ss_36           160          41.2026        39.0005        31.0241        25.5249        20.0949
