         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       22.67163     2.055615     0.7924527     2.268196     2.36478     1.463564     1.141235     -2.065645     -0.4599628     1.047445     0.007670824     -0.106489     -0.7776377     -0.2489629     -0.2704572     -0.03028877     -0.01872061     0     
Fz       10.14596     5.769282     1.703987     2.949237     -2.248683     0.6769202     3.378508     -0.8753135     -0.8586819     1.008999     0.6781554     0.9291093     -0.6034232     -0.1369182     -0.5708756     -0.4106314     -0.1078407     0     
F3       9.028977     7.023681     1.572005     2.707813     1.507708     0.6190992     1.209018     0.01838293     0.09936858     1.048735     -0.1086065     -0.114797     -0.4123747     -3.811319     -0.2846029     -0.08050738     0.007409793     0     
FCz       6.780869     5.133604     2.713777     5.431392     -2.054708     0.07030123     2.424045     -0.6898178     -0.4175432     0.5961988     1.042037     0.8857411     -0.7624208     0.06608239     -0.7620382     -0.3043561     -0.1096277     0     
FC3       5.726493     6.774654     2.230434     2.636903     1.442164     -0.2265981     1.430023     -0.07510088     0.08902064     0.9098051     0.9225335     0.2735405     -0.652024     1.797635     -0.5766606     -0.03133972     -0.03607781     0     
Cz       5.075917     4.484862     4.216578     3.994386     -2.030618     -0.828534     1.869914     -0.6555385     -0.345237     0.05041691     1.25499     0.7504225     -1.089756     0.09986785     -1.807632     -0.01625441     -3.172885     0     
C3       3.792174     4.560254     3.088837     2.218571     0.4535708     -1.691377     1.006025     -0.3236166     -0.04303773     0.7641546     3.719197     -0.3138331     -0.761173     0.5296478     -0.7575545     -0.2013108     -0.05169385     0     
CPz       4.101911     3.588542     5.339583     3.145279     -1.893235     -1.973117     1.382274     -0.5794337     -0.4194349     -0.5448051     1.14915     1.075315     -0.8825156     0.05824368     -2.824738     -0.1103334     -0.07685488     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.065949     3.783422     4.21837     2.283886     -0.9647861     -3.49319     0.9272103     -0.1663466     -0.0001607219     0.4062802     1.0098     -1.47711     -0.7156917     0.2364933     -0.6654963     -0.1144076     -0.02737389     0     
Pz       3.268737     2.707315     6.269716     2.163572     -1.711836     -3.261753     0.9881493     -0.5616907     -0.3594182     -1.123199     0.8782014     1.667422     -0.3137802     0.009595294     -0.5691496     -0.272866     -0.03125554     0     
P3       2.642266     2.759624     4.038141     1.816008     -0.7397911     -5.20481     0.8283838     -0.4276707     -0.2068134     -0.05933306     1.080854     0.8039715     -0.2774944     0.08309156     -0.5296014     -0.2118328     -0.02419727     0     
Fp2       26.42736     2.798775     0.1989047     1.906554     -3.787909     1.544992     -2.728946     2.66472     -2.392929     1.114982     0.5388714     2.789473     -0.8308398     0.8516382     -0.3719264     -0.3051881     -0.1157126     0     
F4       11.2064     5.476411     0.6084877     2.344041     -4.970428     0.9031618     -1.516819     -5.273202     -0.955271     0.6414511     1.101897     1.278039     -1.02016     -0.02933438     -0.4213656     -0.1830363     -0.08951241     0     
FC4       7.399674     4.548444     1.938025     3.060411     -4.0632     0.3258983     2.494851     -0.6586164     4.292848     -0.3443922     0.7625639     0.5815213     -1.429625     0.1832583     -0.7420484     0.6288731     -0.1669669     0     
C4       5.434535     3.817148     3.277473     3.143577     -3.310661     -0.7894993     1.994933     -0.7237397     -0.257816     -1.394495     1.026639     1.022063     -1.500524     -0.02419866     -0.8945741     3.501989     -0.1590452     0     
CP4       4.253688     3.132318     4.161914     2.548936     -2.462564     -1.978645     1.469522     -0.5787225     -0.4609772     -2.498884     0.7381275     1.498849     -3.565007     -0.1270588     -0.6638785     4.232564E-06     -0.05300857     0     
P4       3.455095     2.596233     4.746602     2.010584     -2.34681     -3.055896     1.112479     -0.5225919     -0.3147512     -3.600468     0.6786844     1.174601     -0.4166718     0.01145026     -0.5490391     -0.1556361     -0.06169547     0     
