         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.004795549     -0.009401753     0.009959595     -0.01997227     0.001759482     0.001571301     -0.003488022     0.001974412     0     -0.001145139     0.007677432     0.0002321942     0.01146394     0.01316345     -0.005379433     -0.00198965     -0.00145786     0.001469154     
F01       -0.004753606     0.00640814     -0.00589792     0.06318425     0.002094442     -0.01624039     -0.01454959     -0.2088673     0     0.0009046836     0.0005756096     0.06146863     0.004471355     0.005550839     0.005905129     0.001134484     -0.002010556     0.0583207     
F02       0.002946003     -0.1084623     0.037035     -0.1055586     -0.06238366     0.04534737     0.03567964     0.1641901     0     -0.007744645     -0.01721924     -0.03137831     0.02366735     0.02460311     0.01042336     0.008393185     0.0003126     -0.05647252     
F03       0.003045622     -0.007164992     -0.0001459799     -0.01490794     0.00891074     -0.001359736     0.02016869     0.1216697     0     0.00483529     0.01047556     -0.1395981     -0.001566794     -0.004879292     -0.001872147     0.003195601     3.968328E-05     -0.03209543     
F04       -0.03869756     -0.03633344     0.1167386     -0.02116402     -0.07927287     0.006988649     0.005855078     0.01831087     0     0.002035247     -0.001559301     -0.0003146072     0.01513459     0.02050846     0.002106704     -0.003885357     0.001666617     -0.004135984     
F05       -0.04127249     0.02230941     -0.02884187     0.06635352     -0.1077178     -0.003981617     0.01230512     -0.03399736     0     -0.0009287298     -0.01057061     0.0393978     0.03091838     0.04527855     0.0282438     -0.002481711     0.0004992134     -0.006696707     
F06       -0.006132913     -0.007530844     0.004753355     0.01861429     -0.04688849     0.00777178     -0.00490833     0.04952077     0     0.00299458     -0.01839425     0.1001454     0.006261992     0.008876503     0.01450186     0.001937923     -0.002132287     -0.1498144     
F07       -0.0005519419     -0.002256973     0.0002117809     -0.007778727     9.12518E-05     0.004965787     -0.0001147301     0.04078649     0     0.001405141     -0.02372085     -0.005792177     0.0003708429     -0.001576884     0.01797135     0.01750397     -0.1070658     0.06800435     
F08       0.0443155     -0.04627989     0.05252692     -0.03132682     -0.07557822     0.003048118     0.01062149     0.02137684     0     0.006676344     -0.003936117     0.002577269     -0.06515299     0.09971132     -0.001575181     -0.001543586     0.0004748525     -0.01052617     
F09       -0.01700093     0.01713962     -0.01913997     0.09208836     -0.03011062     0.008545473     0.008336283     0.0192209     0     0.004444534     -0.02563815     -0.01088202     0.004471973     0.1248549     -0.2529177     0.01965293     0.001192765     0.03897833     
F10       0.01505617     -0.3673991     0.01809737     0.3974253     0.01793213     0.01567022     -0.00139738     -0.20726     0     -0.005635372     0.02469514     0.02827029     0.01979902     0.02487443     -0.00454787     -0.002497941     -0.0003277363     0.04093524     
F11       -0.01767144     -0.04735067     -0.1434182     -0.1685962     0.3354141     -0.004805151     -0.04623236     0.04167752     0     -0.01301174     0.02217907     -0.0374293     0.02189915     0.08186675     0.005617451     -0.004969629     0.0006494945     -0.01137111     
F12       0.009948603     -0.0264031     -0.02085809     0.01708046     0.2026429     0.02258868     -0.3378989     0.1038237     0     0.02436734     -0.07774602     0.09710386     -0.003983868     -0.01228164     -0.003555112     0.001996528     0.001688848     -0.01448555     
F13       -0.005000114     -0.01222648     -0.006510491     0.04953394     -0.02448214     0.01311799     0.01379709     0.08972855     0     0.01265162     -0.05653803     -0.0294824     0.004730488     0.01217573     0.09465717     -0.2712692     0.00593301     0.09924014     
F14       -0.0002529121     0.001049679     0.01101473     -0.0452509     -0.01711635     -0.004138065     -0.02156607     0.3057105     0     -0.004293759     -0.4639597     0.1417776     0.001419624     0.002151699     -0.01301226     -0.008561166     -0.0003073084     0.1207067     
F15       0.00420325     -0.008643759     -0.01135323     -0.01518931     0.04888803     0.01203043     0.07123358     0.0851505     0     -0.3083039     -0.08398625     0.2127671     -0.002985307     0.0002950116     -0.006493973     0.006357585     0.002064552     -0.005675002     
F16       0.0009275716     -0.06823691     -0.003537519     0.2593114     0.003787155     -0.4603013     0.01096639     0.3302658     0     0.007470706     -0.0155945     -0.03594273     0.002009749     -0.003173373     0.001625396     0.004959334     0.0001732876     -0.04296881     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
