         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       52.46336     13.14497     6.308771     2.529871     0.174239     1.566079     0.9787529     -4.83778     1.283524     2.132716     -1.406469     1.543314     -1.012722     0.5027553     -1.282168     -1.833234     0.8328674     0     
Fz       18.33443     10.36387     10.7957     0.9456623     -3.422054     2.599003     0.7974463     3.36061     1.191751     1.832286     -0.2362813     1.038963     -0.2698047     0.2855961     -1.199937     -4.028222     -0.3214038     0     
F3       20.1706     5.16796     9.620571     0.8031141     -2.11515     1.689836     0.3707793     7.604297     1.442342     1.878229     -1.726351     1.297908     -0.1283565     0.4472137     -1.688268     -1.117703     0.1458966     0     
FCz       10.59539     9.012986     12.69756     -0.0539424     -1.735463     2.759384     -0.5772257     1.720946     1.411995     1.581556     0.3712617     0.9664225     -0.03387147     1.01146     -0.6104871     -0.4301803     0.3537149     0     
FC3       10.89167     4.152767     9.895591     -0.3262953     -1.047528     0.9100626     -0.5354771     2.887649     1.420045     1.606912     -3.129311     1.112814     0.1832377     0.6404596     -4.786209     -0.943434     0.1695605     0     
Cz       7.356809     7.891315     11.78476     -2.378763     -0.9468417     1.807098     -3.861462     0.9301428     0.2432282     1.221085     -0.08852936     1.173471     -0.2316095     4.378294     -0.338238     -0.5400913     0.3145169     0     
C3       7.382938     4.482198     9.75024     -1.675384     -0.695229     -0.9617725     -1.775877     1.337993     0.7379096     1.25493     -5.2998     0.9552056     0.1551123     1.284574     -0.7518928     -0.6810455     -0.2487995     0     
CPz       5.667521     7.099988     11.06666     -5.425054     -0.6164544     -0.3901193     -6.639479     0.6197349     -1.559714     0.1487545     -0.96826     1.088875     -0.5941146     1.246202     -0.08346278     -0.9941318     0.05123667     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.420109     4.972469     9.484259     -3.798288     -0.5935564     -4.607504     -3.270162     0.7934958     -0.7871369     0.5740522     -3.974658     0.8389378     0.05792531     1.572533     -0.778361     0.2143998     -2.68624     0     
Pz       4.076997     6.278146     9.766235     -9.95638     -0.4696163     -3.270467     -4.76852     0.4221687     -3.049885     -1.786636     -1.340007     0.9826018     -0.4644504     1.295385     0.03032553     -0.5002829     -0.2824223     0     
P3       4.019246     4.854493     9.096083     -6.266359     -0.442102     -8.101044     -3.480635     0.5067622     -2.353498     -0.9419713     -2.495622     0.9101315     -0.04026935     1.578038     -0.2889523     -0.6938873     -0.03257345     0     
Fp2       60.06084     25.497     3.126682     2.995355     9.294111     1.750603     0.9287663     -1.256832     0.7628515     2.179753     -2.141824     1.278607     -0.5220281     0.5209355     -1.998633     -0.8409375     2.059035     0     
F4       20.49707     13.90263     7.168252     1.318723     -8.362068     2.372884     0.07080285     3.921655     -0.05311807     1.455551     -0.8580776     2.970424     -1.018905     0.5801571     -1.533651     -0.2858155     1.192501     0     
FC4       11.45829     10.37129     8.276972     0.3248225     -2.626757     2.027961     -0.5593728     1.701823     -1.371337     0.6642531     -0.2860751     4.979455     -2.955877     0.7900481     -0.6601338     -1.075449     0.09188927     0     
C4       7.759946     8.665092     8.688142     -1.359955     -1.286891     1.036582     -2.216431     0.9259089     -3.327423     -0.5535058     -0.7078283     1.853326     -5.034859     1.694887     -0.3862899     -0.2009928     -0.1508564     0     
CP4       5.744825     7.408721     8.826281     -3.522929     -0.7865887     -0.5260598     -3.349424     0.6194831     -5.999811     -2.912975     -1.076855     0.9468464     -3.277393     1.819906     -0.2562508     -0.02942521     -0.4871926     0     
P4       4.213724     6.228307     8.283445     -6.400354     -0.5099877     -2.910761     -3.895647     0.4348435     -5.832489     -7.236077     -1.038586     0.6466839     -1.906616     1.661209     -0.07532492     -0.2831903     -0.4148275     0     
