         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.031969     0.01195154     -0.00370695     -0.02277908     -0.01242785     -0.0007463663     0.002360182     -0.002635884     0     0.008197267     -0.01349588     0.009591522     0.01426329     -0.0055844     0.01005165     -0.0006069693     -0.01011796     0.02024203     
F01       -0.06583812     0.04039073     0.05922573     -0.08529571     0.1245078     -0.000285523     -0.0184928     -0.01065821     0     0.009029735     -0.05299142     0.002189991     0.005596112     0.03492156     -0.002884954     -0.0004562129     -0.01124826     0.05816647     
F02       0.01666915     -0.01309836     -0.0008078536     -0.05474694     0.000481009     0.002551692     -0.00123516     -0.01639665     0     0.1109891     0.3504439     -0.2295733     -0.007334329     -0.01123318     -0.003536355     0.005228971     -0.005483415     -0.1009166     
F03       0.02410924     -0.2222762     -0.002788796     0.3687645     -0.02086841     -0.002588246     -0.03712825     -0.02802765     0     -0.01142718     -0.08275896     0.05159311     -0.001109457     -0.009934278     -0.01554569     0.002695543     -0.01637764     0.0293996     
F04       0.06996853     -0.1000324     0.03231459     0.01454431     0.09505881     0.005407519     0.02199499     0.01085263     0     -0.107489     -0.004060673     0.04766979     -0.03343334     -0.0307425     -0.03417205     -0.006162035     0.02003299     -0.004461969     
F05       -0.002151211     0.003748699     0.006340596     0.008908992     0.01380694     -0.0001429552     0.04197131     0.009718028     0     0.009369506     0.180808     -0.3084945     -0.002899388     0.00333653     -0.001289729     -0.001312157     -0.006010492     -0.0310929     
F06       0.03428572     0.2747806     -0.05444989     -0.05309089     -0.0613879     -0.003782576     0.01162255     -0.01087425     0     -0.04001169     -0.03033474     0.04523389     -0.05719114     -0.08347683     0.006622469     0.0153208     0.01054521     0.008608754     
F07       -0.0774219     0.009094726     0.03238613     0.01289098     0.0030743     -0.001414469     0.01621825     -0.006905226     0     0.04921492     -0.02903026     -0.03661304     0.09058377     -0.1161853     0.01548529     -0.0002452797     0.006977471     0.01317378     
F08       0.02179861     -0.1274538     0.02030389     -0.01792213     0.02430115     -0.001790333     0.006409925     -0.002577018     0     -0.06009401     0.0445191     0.04223426     -0.01267497     -0.009795506     0.1952615     -0.04904105     -0.03055785     -0.02407393     
F09       -0.01562941     0.05470251     -0.01325647     -0.0006631525     -0.03139425     0.001302445     -0.024839     0.001438981     0     0.04701079     0.1870617     0.06320975     0.008288361     0.007335398     0.01095657     0.008175036     0.003290024     -0.3410507     
F10       -0.008788586     0.01028421     -0.01978514     0.002572371     -0.1337709     -0.00398876     0.346365     -0.03662922     0     -0.1169041     -0.02351411     -0.02099653     0.009435349     -0.005533357     0.006873486     0.01294888     -0.02454124     0.04796997     
F11       -0.03040027     -0.01034551     0.01576482     0.01382611     0.06469011     -0.0009329882     -0.006420044     0.01632601     0     -0.3904142     0.1328145     0.2175041     0.01367726     0.0003019387     0.02151485     0.004138636     0.03802754     -0.1071973     
F12       -0.00957782     0.03111556     0.006984556     0.04437985     -0.006034627     -0.0025954     0.00298454     0.0161279     0     -0.04600447     0.0330651     0.001381013     0.002277885     0.002086109     -0.002410512     0.019651     -0.3240603     0.2150284     
F13       0.01466432     -0.001976461     -0.1714718     0.00551329     0.2001841     -0.002206845     -0.05490927     -0.01516959     0     0.04656184     -0.005726291     -0.03000372     0.01003298     0.00245403     0.002987356     -0.004832479     -0.01564773     0.0193999     
F14       -0.004192827     -0.005108264     -0.002848275     0.1154849     -0.009040724     0.003232819     0.03506252     -0.4688287     0     0.07507127     0.3372833     -0.09212412     -0.0003308793     0.002784951     -0.007765769     0.01925873     0.04841895     -0.04337155     
F15       0.01658411     -0.07424355     0.01261072     -0.05541547     0.0366332     -0.004866757     -0.02037948     -0.02589864     0     -0.01883774     0.02053796     0.03912571     -0.004875862     -0.009222024     -0.02078135     0.2733788     -0.06972387     -0.08053549     
F16       -0.004661973     0.01097997     -0.0006719535     0.1145421     0.001803592     -0.3245736     0.01948062     0.1600678     0     0.03488852     0.02498764     -0.04701554     -0.002456955     0.003491503     0.002830242     0.01438545     0.01977609     -0.02647349     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
