         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       45.68768     5.000553     7.966258     2.227344     4.302055     2.459739     0.1442052     0.0810001     -0.6735479     -0.1493085     0.3056683     -2.248601     -1.384378     0.8771092     2.273619     -0.8335252     -0.3261555     0     
Fz       15.39621     9.964175     8.54799     0.3541001     6.767316     2.655279     -0.3788598     0.5748938     -0.1683523     -0.0360707     0.01071381     -1.790205     -1.322532     1.384397     -0.3251015     -0.3569745     0.0494255     0     
F3       18.9155     8.963573     3.609001     0.5152681     5.857384     2.20956     -0.5508429     0.5346053     -1.206856     0.3134273     -0.8648854     -2.020175     -1.91815     3.029011     -3.76001     -0.4154156     -0.005398372     0     
FCz       9.991913     12.20694     7.547215     -0.7237511     2.58336     2.350529     -1.128545     0.2300566     -0.4479077     0.1228769     -0.3219676     -1.16006     -0.8538628     0.9836549     -0.04406771     -0.2539995     0.15438     0     
FC3       11.97681     8.821152     3.261539     -0.3226417     3.648112     1.612688     -1.262955     0.5160776     -1.893485     0.74123     -3.024443     -1.051253     -0.9705997     4.395854     -1.061702     -0.5953071     0.03825478     0     
Cz       7.720046     10.80536     6.60222     -2.761435     0.70059     1.248232     -3.826888     -0.7472346     -1.18201     0.2496373     -0.7503878     -0.5317163     -0.6003323     0.4736472     0.04830984     -2.550193     0.3815695     0     
C3       8.738957     8.206388     3.659208     -1.491745     1.881885     0.418981     -2.429282     0.200508     -2.980242     1.464535     -5.16771     -0.5618989     -0.6010113     1.764628     -0.413694     -0.9228283     0.2177672     0     
CPz       6.300662     8.793212     5.780761     -5.91125     0.5194578     -0.8192919     -5.88334     -1.231888     -1.901882     0.5496402     -0.9232157     -0.1729631     -0.537057     0.1855078     0.07497954     -1.006727     0.6620952     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.532822     7.188062     4.10185     -3.458113     1.308565     -2.075963     -3.439276     -0.2004158     -5.210995     2.787078     -3.176684     -0.1768342     -0.4778066     0.6793264     -0.1274733     -0.9744573     0.3923104     0     
Pz       5.133574     7.088995     5.012477     -10.54604     0.4962749     -3.607995     -4.402482     -1.354149     -1.884598     0.7976409     -0.6838467     -0.1227968     -0.4762572     0.04269851     0.06696782     -1.186436     0.791261     0     
P3       5.04256     6.246166     4.069346     -6.183206     0.9217076     -6.017606     -3.919462     -0.4440898     -3.370235     4.782337     -1.701838     -0.1436235     -0.4283684     0.2247458     0.01422838     -0.9108597     0.5261471     0     
Fp2       43.59773     2.93982     16.22503     2.359613     3.158575     2.641159     0.4183807     0.04178295     0.1098423     -0.4694635     0.2650147     -1.370153     -0.3146196     1.42246     -1.517336     -0.6906129     -0.1313145     0     
F4       15.79324     6.587564     10.95897     0.5808819     4.677524     2.188159     -0.4471729     -1.099236     -0.2234623     -0.5874557     0.01669569     -3.798637     -5.594517     1.559742     -0.1080292     -0.4851567     0.2955794     0     
FC4       10.08307     7.307098     8.884722     -0.3045819     2.88575     1.320134     -1.335453     -3.753656     -0.4387335     -0.840845     -0.3165516     -4.046168     -1.738307     1.110026     0.04949566     -0.6427125     0.4555408     0     
C4       7.442748     7.427639     7.344453     -1.722049     1.690708     -0.2751453     -2.587893     -5.964712     -0.8296463     -1.3967     -0.5400864     -1.019512     -1.098792     0.4992091     0.0760842     -0.8717556     0.7733651     0     
CP4       5.972493     6.824763     6.229313     -3.65322     1.186166     -2.968713     -3.643862     -4.577019     -1.294864     -2.512666     -0.4288535     -0.4138236     -0.8682837     0.2671497     0.04182389     -0.9722656     2.818717     0     
P4       4.741919     6.105056     5.201098     -6.373094     0.7173433     -7.369102     -4.017826     -2.854377     -1.422347     -4.170339     -0.2775518     -0.1935336     -0.6108451     0.1209384     0.02316756     -0.8594289     1.252468     0     
