         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       37.31277     22.65085     37.27534     3.156012     -6.574525     1.020053     1.291363     2.872185     1.248744     0.1121726     -0.1458574     0.9599229     0.7487766     0.7051035     0.9307177     -0.2970437     -0.4426816     0     
Fz       15.90378     -1.234296     -0.4786389     8.142478     -0.06686161     1.768612     1.602935     2.446327     -3.792815     0.2479438     0.06604145     1.207836     -0.8082303     -1.01954     -1.725485     -0.182566     0.1212163     0     
F3       17.9646     -0.9556556     -0.9337791     6.651689     -2.493543     1.047522     0.627036     2.41768     1.501335     -0.7274604     -0.3200821     1.200036     0.3298749     -0.415476     -1.108426     0.1410063     -0.2542125     0     
FCz       10.45631     -0.7660474     -0.1357659     10.89276     -0.1098187     1.181036     1.358341     2.288986     -2.81462     0.3244466     0.01519236     1.162119     -0.4593426     -0.437219     -1.872651     -0.2955437     0.3107016     0     
FC3       12.01964     -0.7341404     -0.1778926     7.849688     -1.406537     0.7937033     -0.3645723     2.092494     0.9889995     -2.873906     0.01997996     0.8503895     0.03788158     -3.396022     -0.7029938     -0.02733658     0.2505781     0     
Cz       7.505541     0.03170158     0.1062564     11.68999     -0.2810138     -0.8875216     -0.2479103     1.153143     -2.063826     -0.07108649     0.01650416     -0.514098     -0.08725816     -0.2315404     1.30395     -0.1708631     0.3131628     0     
C3       8.827007     -0.391204     -0.09830104     8.037056     -0.1233502     0.1166788     -2.323512     1.345929     -0.02475703     -4.99239     0.06434201     0.08709282     -0.1558926     -0.4518716     0.04127441     -0.09107602     0.1618424     0     
CPz       6.170073     -0.1370444     0.06884512     10.64816     -0.2083111     -2.547968     -2.542034     -1.013856     -1.845983     -0.7638573     -0.02533837     -3.500232     0.1060345     -0.413601     0.3097458     -0.3041875     0.09029157     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.817861     -0.3978714     -0.1431702     8.185221     -0.2092864     -0.6452424     -5.053407     -0.03308615     -0.6382972     -4.253854     0.006866869     -0.4746681     -0.02419634     -0.442894     0.1873543     -0.1428276     -1.611327     0     
Pz       5.156343     -0.2525331     0.03234581     9.49204     -0.7403062     -3.060967     -4.59042     -3.828145     -1.905661     -0.7784081     -5.577899     -2.820475     0.03961204     -0.9647087     0.3097771     -0.2598709     -0.1132612     0     
P3       5.547742     -0.315899     -0.1302641     7.661575     -0.4618446     -1.169654     -7.980584     -1.990698     -0.8192313     -2.600267     -0.1564877     -0.2068029     0.06025884     -0.5682574     -0.1347637     -0.2223106     -0.2153175     0     
Fp2       39.33084     31.97191     -0.00412292     3.312837     -4.125896     0.6747268     2.128541     2.841804     -3.541827     0.633229     0.2051949     0.6857271     1.514331     0.7317821     0.3209662     -0.1136452     -0.2441504     0     
F4       16.78328     2.635667     -0.2193115     6.159201     -11.22939     -0.08467576     1.637022     2.190033     -5.284931     0.3597093     0.02210611     1.140628     1.599202     -0.02923162     -1.245219     -0.09842079     0.1358503     0     
FC4       10.47899     -0.3659256     -0.2211387     7.301384     -1.354505     -3.00829     1.116062     1.242291     -4.686399     -0.07530665     0.08265993     0.8042355     3.78097     -0.9677327     -0.9426785     -0.1296097     0.1889653     0     
C4       7.629008     -0.2895312     -0.09038882     7.611614     -0.3999347     -7.28782     0.1963513     -0.1569805     -3.5809     -0.2624114     -0.08246462     0.4957597     0.8167035     -0.8707892     -0.6582046     1.053331     -0.106196     0     
CP4       5.902421     -0.02746041     0.1823327     7.662177     -0.6938609     -6.627992     -0.8063321     -3.003766     -2.845333     -0.3833627     0.03097888     -0.2038903     0.6364601     -0.5403278     0.1002212     -2.250947     -0.2213101     0     
P4       4.539613     -0.134405     0.03878291     7.445787     -1.096708     -4.650533     -1.916053     -7.973425     -2.204623     -0.3931715     -0.0549825     -0.6063584     0.4979936     -0.4527368     0.1474719     -0.2172896     -0.2520218     0     
