         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       74.22959     23.04851     6.087319     6.765322     6.419943     3.174402     -3.508379     3.487121     -0.1900493     -2.857292     2.708604     -1.575096     -0.3673734     -0.8627738     -0.975197     0.2591852     -1.095924     0     
Fz       21.37227     10.44466     9.126447     4.349765     3.553861     2.161267     -2.366422     1.196732     1.946656     -1.343252     1.621377     -2.73838     -0.1580776     -0.2815075     0.6903272     0.07062092     -0.3006807     0     
F3       28.02762     8.14241     6.982084     8.200687     3.498075     3.642007     -2.090785     2.136412     0.1697381     -1.749643     1.950626     -1.318727     -0.2031871     -0.2871351     -0.1321815     0.01515853     -0.2071731     0     
FCz       12.58517     6.882075     10.67878     2.53269     2.586724     1.702013     -2.22137     2.853559     0.835873     -0.6713363     1.616408     -1.326827     -0.1986444     0.0301626     2.418341     -0.1673891     0.2323034     0     
FC3       15.82785     4.651052     6.875012     4.198019     2.324367     6.766977     -0.9385305     1.712262     0.21153     -2.102939     1.868506     -0.9087869     -0.1696318     0.02172773     -0.1489537     0.03058633     -0.08503058     0     
Cz       8.482209     5.121215     10.47054     1.489775     0.2954126     1.446995     -1.399737     1.953376     0.2061095     -0.5231412     1.744572     0.6889805     -3.438656     -0.03058404     0.3045801     -0.1124505     0.1378355     0     
C3       10.62165     3.382711     6.973318     2.628559     1.18851     4.587339     0.04491912     1.894134     -0.1692826     -2.510307     1.813791     0.1894163     -0.2586068     -3.060282     -0.4860919     0.04591358     -0.1478518     0     
CPz       6.366553     4.074507     9.439158     1.071467     -1.976908     1.196402     0.3832665     1.728408     -0.07719108     -0.6606154     1.412485     1.621267     -0.2741046     -0.1036996     -1.429066     -0.1330382     0.0492373     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.829838     2.708772     6.742874     1.57507     -0.4878277     1.932757     1.98927     1.453914     -0.3392424     -4.308926     1.625893     0.9163185     -0.2440979     -0.8739871     -0.8544837     0.08359542     -0.06458955     0     
Pz       4.454018     3.268539     7.665524     1.088303     -4.718382     0.9944567     3.223052     0.9384228     0.2813345     -1.204521     0.7798549     1.578152     -0.2486895     -0.2680548     -0.2953035     0.0291846     -0.1085944     0     
P3       4.804039     2.443444     6.30122     1.185444     -1.746519     1.054626     5.307964     1.310419     -0.2442007     -2.404046     1.543799     1.189052     -0.2274344     -0.5032089     -0.7983152     0.06951782     -0.1370052     0     
Fp2       62.78858     32.25964     5.08809     7.256924     5.616806     3.118518     -3.703792     3.214905     -6.245823     -2.607289     2.448438     -1.344786     -0.3569287     -0.8192756     -0.3833315     0.2465285     -1.289604     0     
F4       21.59137     13.29392     6.350594     4.051686     2.792742     1.644529     -2.313514     5.767004     4.876451     -1.279563     1.369128     -0.6621996     -0.3926361     -0.1948758     -0.1488803     0.2471593     -0.05468713     0     
FC4       12.90363     9.457321     6.84895     2.708223     1.907591     1.347591     -1.599045     1.824754     3.296212     -0.9113436     0.770281     1.180708     -0.2905774     -0.1591482     0.6815479     -2.527572     -0.01400743     0     
C4       8.580672     6.920795     7.234056     1.925486     0.5880506     1.152518     -0.6194984     0.7199795     2.13756     -0.6172817     -0.06060996     2.773245     -0.2704436     -0.1414188     0.5622478     0.06272296     -0.2080812     0     
CP4       6.081374     5.148742     7.287549     1.435735     -1.401113     0.9951397     0.8094991     0.940496     1.283486     -0.5787852     -1.185058     2.805718     -0.2186194     -0.123859     0.09117448     0.1509026     -1.670665     0     
P4       4.1828     3.777348     6.610226     1.103577     -3.445909     0.8282773     3.155047     0.8372526     0.7651383     -0.761345     -2.908651     2.181999     -0.2116707     -0.1937986     -0.2531393     0.09094421     -0.3018305     0     
