         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       37.41879     18.69036     1.681169     5.729905     2.18797     1.277123     0.277847     0.864556     1.716208     1.996679     1.806357     -0.6865659     0.350515     -2.216579     0.7058775     2.040444     0.4155844     0     
Fz       15.16225     -2.514049     2.897121     -3.151251     4.868123     2.502129     1.530632     1.605045     1.767377     2.44941     1.815272     0.8088709     0.1203627     -1.366788     0.9372981     0.942319     1.104738     0     
F3       15.7541     -1.970099     2.471406     -1.058622     3.707801     4.988124     1.450792     1.894091     2.755437     2.066911     1.197379     1.779941     6.502108     -3.428312     0.8042068     0.9327598     0.5401341     0     
FCz       10.46805     -1.839056     3.245354     -2.35769     6.71364     2.746463     2.184732     2.172569     2.032551     2.761435     1.838092     0.6941321     -0.004410321     -3.228274     0.9143311     0.4304435     1.472023     0     
FC3       10.92008     -1.425139     2.485534     -1.775593     3.889235     13.65352     5.519788     2.545157     5.360144     1.976881     1.560053     0.4724077     3.735947     -2.137978     0.5000859     1.031916     0.2211935     0     
Cz       7.983909     -1.273817     3.088701     -1.458315     7.45729     2.412968     2.44218     2.981695     2.460861     3.664396     2.252452     0.6028727     0.1389682     -0.6224962     0.6303696     0.2599359     0.7167121     0     
C3       7.803186     -1.175328     2.227109     -1.370124     4.321304     6.029748     11.23737     3.275     6.083681     2.344102     1.603442     0.3767518     2.16573     -1.478448     0.3173861     0.7680628     -0.08280941     0     
CPz       6.279247     -0.8294887     2.691973     -0.8633415     6.164088     1.752561     2.084166     3.781269     2.492979     4.439656     2.303343     0.4659927     -0.02705219     -1.750144     0.4558209     -0.2861322     -1.868551     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.128904     -0.8740154     1.872666     -1.150777     3.894709     2.634488     4.604791     4.508289     6.831504     2.68531     1.704178     0.1333266     1.029587     -1.433504     0.3418677     0.4652279     -0.452999     0     
Pz       4.910166     -0.4372919     2.158985     -0.3727146     3.874008     1.303415     1.541434     4.803197     2.276479     6.923033     2.209302     0.3921961     -0.09489682     -1.885625     0.345992     -0.529919     -1.541821     0     
P3       4.478665     -0.5020935     1.56037     -0.4847599     2.846323     1.380855     1.751747     7.430879     4.024562     3.160507     1.330507     0.3138248     0.3349065     -1.442442     0.2767452     0.3109741     -0.7520674     0     
Fp2       35.20337     2.901147     1.910254     16.80173     2.478509     1.417031     0.5076833     0.3413768     1.040119     1.996915     2.679027     -3.10166     -2.187443     -3.606326     0.9297059     1.645496     0.8956331     0     
F4       15.65743     -2.294938     5.225694     -2.32032     3.446648     1.752386     1.147612     0.9021523     1.575622     2.095702     2.348781     7.505983     -2.541385     -1.728553     2.6805     0.312658     0.7279877     0     
FC4       10.41652     -1.646871     12.28188     -1.931552     4.211287     1.84539     1.585127     1.69635     1.663476     2.119342     2.364867     2.923337     -1.712256     -0.7735018     4.862223     -0.5813008     0.5473521     0     
C4       7.79113     -1.123281     11.275     -1.124292     4.47528     1.593353     1.497516     2.295592     2.010827     2.491129     3.254887     1.899405     -1.02158     -1.776743     -2.533116     -1.461877     -0.4203591     0     
CP4       6.019463     -0.8011893     4.974715     -0.8823943     3.979182     1.302133     1.375795     3.169992     1.767751     3.378446     6.299944     0.8809792     -0.5941552     -1.278442     -1.213987     -2.449172     -0.8744842     0     
P4       4.750075     -0.579989     2.626383     -0.6116299     3.264645     1.086146     1.175929     4.231985     1.691851     4.433867     3.092226     0.5349439     -0.4600647     -1.181648     -0.4770241     -4.317685     -1.233607     0     
