         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.0001771575     0.0006681108     0.004420699     -0.00198406     0.00907898     0     -0.005028827     -0.003059242     0     -0.003496651     0.003155481     0.001617574     0.02274941     -0.004115157     -0.01817219     -0.006358716     0.004433785     0.002824261     
F01       -0.05087339     0.0326665     0.0151816     -0.02154171     0.02532876     0     -0.001861978     -0.0007409988     0     -0.0002351336     0.003075371     -0.003891282     0.03442797     -0.005042826     -0.02615732     -0.007666194     0.003620418     0.003056854     
F02       -0.0001620148     0.01128918     0.0008200034     0.03367156     -0.001143042     0     0.01344805     -0.2021379     0     -0.01011818     0.04019969     0.0611384     -0.00337052     0.003725543     0.01911753     -0.002785581     0.00239185     0.005409769     
F03       0.001252386     0.2615168     -0.007689685     -0.1459863     -0.0320266     0     -0.01311125     -0.006804829     0     0.01543275     0.005985328     0.002546472     -0.04322678     -0.0005430509     -0.006592973     -0.003169084     -0.003844242     0.008613816     
F04       0.0004382479     -0.1332699     0.004483626     0.2529325     -0.00104854     0     -0.03807142     -0.1207846     0     0.03491482     0.02070419     0.01890644     0.006990355     -0.001543631     -0.01763387     -0.01531363     0.01969449     0.0009083075     
F05       -0.00071799     -0.1130715     -0.0003781466     -0.03142098     0.1433032     0     -0.01022715     -0.02179724     0     -0.04164913     -0.006744313     0.01212992     -0.01361603     0.007927437     0.1216874     0.02088942     -0.01250818     0.004485757     
F06       -6.832072E-06     -0.001884527     -0.001938797     0.02168869     -0.008447619     0     0.0317416     0.07355331     0     0.01479164     -0.08283065     -0.0872638     -0.002875789     0.002116058     0.004908274     -0.004127577     0.009864818     -0.006874671     
F07       0.0006035154     0.00786012     0.004924041     -0.002273135     0.1083375     0     0.003178955     -0.00267761     0     -0.02746031     0.02483858     -0.02802438     2.162225E-05     -0.01178858     -0.08911645     -0.03010755     0.02630155     0.01166657     
F08       -0.0001000229     0.02134372     -0.002615647     -0.0307306     -0.1866206     0     0.3199796     -0.04886596     0     0.00379577     0.001342945     -0.06138021     0.002119652     0.001897358     0.00247403     -0.01056775     0.006672506     0.0100651     
F09       -0.004332521     -0.06648525     0.1361208     0.01604332     -0.1117378     0     0.005326772     0.01106565     0     -0.001106951     -0.01170395     0.007225347     -0.0104427     0.003839692     0.02754577     -0.0024245     0.003524659     -0.0002438778     
F10       -0.0001976355     0.01841767     0.001932371     -0.01413765     -0.0009788307     0     0.0004206787     -0.01743007     0     0.01308118     -0.1053948     -0.0001125858     0.004141754     -0.01241268     -0.1227886     0.1671409     0.0626314     0.02558977     
F11       -0.0007886534     0.06894522     0.001899851     -0.0142845     -0.02580976     0     -0.005338928     -0.007405214     0     -0.001033163     0.004109923     0.009475625     0.02580073     -0.1746801     0.1084495     0.01783041     0.003335925     -0.01933678     
F12       0.0003015127     0.008618752     0.004041464     -0.001596581     -0.002238145     0     0.068816     -0.08350847     0     -0.05768853     0.2792028     -0.2126268     -0.002231065     0.002009442     -0.007316124     -0.009228479     0.0003399945     0.000920319     
F13       3.315444E-05     0.009669602     0.001831434     -0.02739702     0.008572227     0     -0.01751084     -0.03963592     0     -0.03353435     0.08483154     0.04602699     -0.0001517397     0.0004401364     -0.02195161     -0.003299176     0.1750395     -0.187274     
F14       0.0002802344     -0.0106006     -0.005091191     0.01432137     0.005307949     0     0.006443722     0.02603128     0     0.02206512     -0.1221223     -0.02742403     -0.001209466     0.005255201     0.08256891     -0.2674751     0.2006296     0.07683048     
F15       -0.001789351     0.01614151     0.0007340322     0.01615684     -0.01833804     0     0.1266811     0.05294262     0     -0.2965087     -0.052217     0.1649474     -0.001527769     -0.001787051     -0.008985336     -0.0001876292     -0.01571197     0.01374373     
Cz       0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
