         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.009874341     -0.01748869     0.0320308     -0.01210699     -0.03101137     0.008850406     0.02126277     -0.01008723     0     -0.02178405     0.01902556     0.002990037     0.01099076     0.02384909     -0.03254364     -0.0009693438     0.003170733     -0.0009221316     
F01       0.0189359     -0.01418079     0.09630867     -0.01085119     -0.03771276     -0.02067356     0.01412736     0.02176683     0     -0.04093478     0.000167518     -0.005637946     -0.009698461     -0.04823184     -0.03451136     -0.01045239     0.03963019     -0.00899045     
F02       0.01208519     0.06934819     0.06266285     0.004830224     -0.03400419     -0.02110414     0.04653237     0.08017733     0     -0.05744561     -0.03027501     0.01540808     -0.01257715     -0.1600891     0.07199737     -0.01130507     0.01576062     0.001693234     
F03       0.053907     -0.01425554     -0.009409638     -0.005589407     -0.01438717     0.01134912     -0.001518458     -0.02377781     0     0.00159392     0.01409076     0.0008030257     -0.08182502     0.1516832     -0.09314016     0.02847597     -0.01312263     0.004220414     
F04       -0.003917318     0.002238437     -0.002984258     -0.003829497     0.01381498     -0.04426008     -0.04392321     0.04235557     0     0.2616256     0.01336431     -0.2831311     0.000301945     -0.01198533     0.03956086     -0.01737697     0.005054826     0.007286043     
F05       -0.0008105681     0.0249782     -0.01138021     -0.1059339     0.04761546     -0.04772217     -0.04928065     0.03838218     0     0.1035713     0.244417     -0.2050134     -0.0001738687     0.03025595     -0.03740364     0.03806217     -0.08164565     0.01608275     
F06       -0.001449091     0.004790837     0.005151624     -0.03354062     -0.04959895     0.02416409     0.03501356     0.1041395     0     -0.04351374     0.05867963     0.01747708     0.002383877     0.003232161     0.005293009     0.1776064     -0.3316921     -0.005004306     
F07       -0.06898091     -0.04531856     0.2397003     -0.02285749     -0.2015826     0.01447059     0.0893803     0.01048732     0     -0.05500799     9.256726E-05     0.01678832     0.01749177     0.09916875     -0.1071261     0.008162716     0.01330874     0.0002975067     
F08       -0.0008089905     0.03810037     -0.01058984     -0.02593095     -0.02125948     0.06862921     0.2829551     0.05061233     0     -0.5577691     0.04842015     0.1517845     -0.001167768     -0.0306867     0.01818916     -0.02776354     0.004351966     0.008167922     
F09       -0.009736684     0.3088027     -0.08739723     0.006002198     -0.02554395     -0.2613846     -0.0006006692     0.08770897     0     0.06632561     0.01622587     -0.03571333     -7.581857E-05     -0.1338374     0.07515673     -0.02492364     -0.005339622     0.007794076     
F10       0.02006007     0.05057843     0.2349252     -0.01385499     -0.5973732     0.1330851     0.2173257     -0.02132272     0     0.05630926     -0.03369483     -0.02769321     -0.01101828     -0.09808727     0.08703966     -0.06891397     0.03722421     0.001626341     
F11       0.002064044     -0.09851395     0.04691518     0.2212779     -0.07008085     -0.139042     0.0347175     -0.0442763     0     0.02149964     0.07265783     -0.03378469     0.001186559     0.02965339     -0.05786496     0.01602428     0.007930658     -0.01132342     
F12       -0.01173357     0.01631701     -0.1112522     0.03353921     0.1179565     0.1073383     -0.09509858     0.006892611     0     0.08111102     -0.04872492     -0.037807     0.01032948     0.1559528     -0.1323559     -0.3487584     0.2358423     0.001323735     
F13       0.001159309     -0.04689955     -0.0168986     0.0547166     0.3845944     -0.04684949     -0.7073368     0.165659     0     0.3135823     -0.1067397     -0.007287184     0.001400526     -0.005264709     -0.01405821     0.04046451     -0.03524029     0.001497926     
F14       -0.000752555     0.03655826     -0.01666926     -0.04748691     0.02330938     0.01664995     -0.008393865     -0.03137046     0     -0.05229404     0.1230595     0.03082001     -0.001477094     0.001333123     -0.01349092     -0.05290995     0.2290367     -0.2396449     
F15       0.01469852     -0.07920533     0.08188295     -0.02514031     -0.02349469     -0.01702042     0.001447528     -0.006639939     0     -0.01801493     0.04199072     0.00405028     -0.01308905     -0.1524081     0.4991378     -0.3465582     0.04293316     0.002801043     
F16       -0.004495362     0.05451107     -0.02135285     -0.1315154     0.1040122     0.4315091     -0.2175631     -0.5677608     0     0.2217897     0.2276333     -0.08762389     0.004157087     -0.05358105     0.02428016     0.01610676     -0.008458328     0.007762453     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
