         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       56.83019     -5.131618     -7.098503     2.715305     -10.08054     -1.98976     1.448586     -0.9916274     2.973994     -2.402132     1.49985     -3.541753     -0.8631505     -0.7232785     1.604394     -0.03603344     -0.4695735     0     
Fz       20.39056     -8.429255     -10.65152     1.044415     0.7629378     2.762389     0.8016597     -0.2057648     0.4826505     -1.032713     -0.02587936     -0.3444048     -0.867634     -0.6650823     0.9337707     0.07013611     -0.7677815     0     
F3       23.23041     -7.584126     -10.21609     0.7008142     7.424726     -2.197748     1.378081     -0.2072299     0.937847     -1.595877     1.41281     -0.1356028     -1.03135     -0.7848079     1.176484     0.06056834     -0.5647479     0     
FCz       12.80839     -10.14819     -9.291123     0.08753919     0.7398403     2.90515     0.4033939     -0.05588383     0.3430363     -0.8503204     2.449428     -0.3238504     -0.6207417     -0.5796341     0.8103208     0.02498249     -0.5018652     0     
FC3       13.74313     -8.847479     -9.367923     -1.162303     2.967553     -1.333908     1.174838     -0.1030823     -0.1180766     -1.213292     1.776815     2.303585     -1.33785     -0.6752036     1.140403     -0.138269     -0.5707006     0     
Cz       8.371584     -11.86156     -6.245193     -2.119006     0.4660691     2.509265     -0.555103     0.06396642     0.1656959     -0.7040105     2.023912     -0.07468759     -0.4252166     -0.4966914     0.6402264     -0.1119384     -2.343715     0     
C3       8.860084     -9.76315     -6.583023     -4.161354     1.133914     -0.6306912     0.9605072     -0.07664159     -0.1861225     -0.8771723     1.660478     1.41614     -4.027932     -0.5593095     1.301153     -0.4198661     -0.4355217     0     
CPz       6.277671     -12.45208     -3.955669     -5.138165     0.3247038     2.250301     -2.086693     0.1557054     0.1544919     -0.5744528     1.013091     0.01822959     -0.2129825     -0.3775786     0.3301067     -0.1255595     0.03535184     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.082328     -10.34601     -4.590342     -8.239051     0.4889977     -0.04654888     0.5452961     -0.04109469     -0.07694211     -0.6239016     1.234227     0.9402685     -1.59773     -0.541428     1.179997     -3.544676     -0.2024835     0     
Pz       4.68841     -11.63049     -2.505252     -8.585535     0.2283486     1.895168     -3.399705     0.2037631     0.06765778     -0.3839008     0.7165098     -0.09030001     -0.1135248     -0.265761     -1.982809     -0.1613974     0.1558942     0     
P3       4.41479     -10.17046     -3.006403     -11.51689     0.2461451     0.5311136     -0.2379848     0.08527182     -0.07451086     -0.4552352     0.836974     0.3433479     -0.7314617     -0.3715478     0.2044774     -0.2654571     0.06849435     0     
Fp2       59.42809     -4.325009     -5.573586     2.967372     -2.135718     4.495714     1.28441     -0.9047626     -5.511542     -1.498908     1.392832     -1.03438     -1.024745     -0.7963583     1.647786     -0.3343842     -0.3644304     0     
F4       23.15492     -7.017471     -8.471892     1.253834     1.810212     6.168351     0.2155722     -0.1863179     4.924386     -0.6233974     1.206337     2.223246     -0.786516     -0.7116781     0.975186     -0.01637659     -0.5651149     0     
FC4       13.2237     -8.31581     -7.239219     -0.1435117     1.048899     5.634428     -1.239941     -0.07998642     2.368035     -4.550294     1.463156     0.9576088     -0.6236926     -0.86039     0.9970412     -0.1090565     -0.5247522     0     
C4       8.827801     -9.51959     -5.261167     -2.339364     0.4438315     4.408882     -3.320971     -0.1402959     1.076659     -1.993883     1.500611     0.259997     -0.5427283     -4.285315     1.186726     -0.2968889     -0.3830825     0     
CP4       6.39513     -10.24962     -3.706348     -5.184823     0.3852769     3.612374     -5.640755     -9.205161     0.6560721     -1.547951     1.151977     0.1032004     -0.3208007     -1.115108     1.11754     -0.2730719     -0.2372645     0     
P4       4.551038     -9.466317     -2.381229     -8.019976     0.1334446     2.771796     -7.545403     0.2307416     0.2646427     -0.637427     0.8889539     -0.2049765     -0.2318916     -0.3796627     0.3945051     -0.2412464     -0.01796086     0     
