         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       60.7494     10.25321     -4.332425     0.9544473     2.560227     1.983699     0.8239427     2.429249     1.934923     1.371934     -0.4316958     1.713515     -0.4265016     0.918614     -2.221017     -0.9835867     0.3294159     0     
Fz       19.6036     11.5147     -5.96167     -0.8711329     1.764144     2.612243     3.263817     -1.262432     2.400032     3.158357     -0.8587314     0.7368047     5.553393     1.033192     -0.5668605     -1.13176     -0.4079458     0     
F3       20.82066     11.4844     -1.884504     -0.5608635     1.525602     2.497407     -1.580229     -2.580317     2.708395     1.797202     -2.750236     0.6241489     0.1372052     0.9978734     -0.9213426     -1.01449     -0.02939747     0     
FCz       10.92183     11.90286     -5.252505     -1.779248     0.9626606     2.473211     2.018851     -0.1098666     0.9763107     3.12083     0.7905387     -0.9734026     -0.6838834     0.4244206     -0.7979087     -0.9410173     0.4126242     0     
FC3       12.64821     10.1518     -0.5998983     -1.313965     0.4581285     2.341389     2.671135     -1.822723     2.013586     0.9205196     -2.071177     0.8764693     -0.9533631     1.027046     -0.2312957     -0.6667617     -0.3739584     0     
Cz       7.507511     11.3499     -4.531913     -3.510576     -0.5838454     1.944071     2.009732     0.1777844     0.1325079     1.755595     0.8700772     2.393605     -0.9274067     0.2237893     0.005725016     -0.4179743     0.05220657     0     
C3       8.358706     10.1081     -1.221851     -2.021891     -1.408363     2.111967     2.528628     -1.029843     1.178631     -1.310704     0.4041488     1.603736     -0.7500069     0.5775651     -0.2820507     -0.955879     0.04259055     0     
CPz       5.829768     10.36144     -4.332982     -6.22706     -2.556334     0.7805926     2.120954     0.3342248     -0.1914357     -0.3158143     1.086479     1.931734     -0.8926883     0.1433162     0.240012     -0.1941618     -1.073596     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.082851     9.567536     -1.960063     -3.041159     -4.197507     1.744218     2.583822     -0.4344555     0.5652374     -2.160099     0.3228712     1.204728     -0.7945007     0.3387285     1.871105     -0.6564959     -0.1519268     0     
Pz       4.533065     9.353208     -3.86388     -8.244672     -5.911889     -0.3985422     2.632012     0.2654181     -0.3488734     -1.408598     -0.08325567     1.747258     -0.6362123     0.2957456     0.1815268     -0.1842796     1.272255     0     
P3       4.64069     8.82536     -2.354057     -3.96453     -8.120951     1.194029     2.678357     -0.133396     0.08270779     -2.331974     -0.3689113     1.4988     -0.7159082     0.3663607     -0.3751401     -0.2486429     -0.8147721     0     
Fp2       66.52497     8.445212     -16.48827     1.161279     2.888144     1.709454     1.787282     -6.76339     -0.6765734     0.9862302     1.520961     2.814366     -1.722095     -0.7962241     -2.442984     -0.9855855     1.092051     0     
F4       21.13291     8.865298     -11.04877     -0.5202132     2.14191     1.640768     0.2898645     -0.00771225     5.986601     1.312768     -2.701997     1.077954     -0.3509755     0.7894365     -1.209225     -0.6731904     0.1495905     0     
FC4       12.37042     8.663299     -8.630242     -1.408063     1.284737     1.059425     0.9836858     0.2010567     1.075697     0.659195     -1.591265     1.142685     -0.3174571     4.786079     -0.6789013     -0.5158978     -0.1665449     0     
C4       8.376149     9.157752     -6.978064     -2.466544     0.4054843     0.002762818     1.788424     1.050759     -0.9724382     -0.7189945     -3.12505     1.449977     -0.2803847     0.1508321     -0.5266165     -1.296028     -0.4073524     0     
CP4       5.918052     9.14609     -5.553038     -3.649771     -1.822978     -2.017462     1.951029     0.7798671     -0.7284578     -1.340345     -1.37708     1.232491     -0.08647667     0.270164     -0.3027001     2.206991     -0.03744597     0     
P4       4.505398     8.506728     -4.565235     -4.993027     -4.838107     -5.198067     2.164185     0.4757932     -0.3831066     -0.9863616     -0.6386975     1.510455     -0.4712033     0.3428149     0.1284582     -0.1650951     -0.1822975     0     
