subject	block	left_stim	right_stim	stim_chosen	instruct	reward
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	sit	false
ss_35	1	1	2	1	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	1	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	2	stand	false
ss_35	1	1	2	1	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	1	sit	true
ss_35	1	2	1	1	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	2	stand	true
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	1	stand	false
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	1	stand	true
ss_35	1	2	1	1	stand	true
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	stand	false
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	1	sit	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	1	stand	true
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	stand	true
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	1	sit	true
ss_35	1	1	2	2	stand	true
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	1	stand	false
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	1	stand	false
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	stand	true
ss_35	1	2	1	1	sit	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	stand	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	1	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	true
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	1	stand	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	1	stand	false
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	stand	true
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	2	stand	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	true
ss_35	1	2	1	2	stand	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	stand	true
ss_35	1	1	2	1	stand	true
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	2	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	1	stand	true
ss_35	1	2	1	1	stand	false
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	1	sit	true
ss_35	1	2	1	1	stand	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	1	2	2	sit	false
ss_35	1	1	2	2	sit	false
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	2	sit	false
ss_35	1	1	2	2	stand	false
ss_35	1	2	1	1	stand	true
ss_35	1	2	1	2	stand	false
ss_35	1	2	1	2	sit	false
ss_35	1	2	1	1	stand	true
ss_35	1	1	2	2	sit	true
ss_35	1	2	1	2	sit	true
ss_35	1	1	2	2	stand	false
ss_35	1	1	2	2	sit	false

