         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       56.61395     4.332767     2.58387     -2.196684     3.494345     2.754585     -4.111483     2.905062     -0.08756305     11.19368     1.179087     1.801881     -2.309638     0.2443213     -1.910748     0.6897591     -0.3868559     0     
Fz       19.49142     10.1084     1.33808     -3.778179     5.533535     6.166912     -4.478286     5.009274     0.05579495     -0.6275242     1.004797     2.620472     0.7992424     0.6577491     -0.6103739     0.4978996     -0.3486933     0     
F3       21.51198     8.258107     1.104079     1.923971     5.507669     3.406877     -5.305628     3.780111     -0.07683104     -1.169081     1.25364     0.7775378     -2.070997     0.0269475     -0.2702491     -0.008001617     0.01279709     0     
FCz       12.86032     12.2904     0.1215048     -3.246513     6.197437     5.360194     -3.250276     5.342258     0.08715236     -0.298665     0.6004046     1.536843     1.760638     0.5675468     0.06758358     -0.008648818     -0.4177872     0     
FC3       13.72645     8.584383     -0.365218     2.052208     5.746682     5.017154     -3.546303     2.986171     -13.19082     -0.87562     1.027728     -1.26437     -1.613434     -0.7190249     -0.6225002     0.7905873     -0.3445638     0     
Cz       9.342506     12.91667     -3.189589     -2.899058     6.292111     4.202714     -2.935586     4.745516     0.1281289     -0.1067078     -0.1481928     -0.3216066     3.903947     0.2608323     0.5857262     1.812753     -0.7773778     0     
C3       9.920099     8.942952     -2.367196     1.358243     5.418998     6.74159     -2.858933     1.29195     0.06102709     -0.5169036     0.8082345     -3.927747     0.1000146     -4.285283     -0.00633993     0.3462172     -0.07977967     0     
CPz       7.271379     12.59495     -8.028848     -2.536325     5.547623     3.972508     -3.101774     3.135133     0.1599199     -0.003662111     -0.797744     -1.646939     3.489208     0.3107477     -2.00461     1.972661     -0.442454     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.634693     9.284184     -5.454034     0.3136347     5.552025     5.598424     -3.107471     -1.255269     0.05597674     -0.3201695     0.2511226     -4.862792     1.292664     1.023953     -0.1049511     0.5652899     -0.300091     0     
Pz       5.842872     10.52769     -12.8129     -2.471112     4.31616     4.124964     -2.801625     0.5892823     0.1149402     -0.02086351     -0.8805062     -1.121718     0.2453152     0.4683211     0.4148403     0.8747519     0.1075993     0     
P3       6.003184     9.607861     -8.512419     -0.5238308     4.973166     4.131404     -2.702085     -5.754576     0.07058036     -0.2014766     -0.2813203     -3.048237     0.175849     0.4470553     -0.3056863     0.9041012     -0.1213834     0     
Fp2       54.83067     4.654223     2.625397     -12.16657     3.14354     2.549639     -3.483981     3.67337     -0.03940222     -1.546477     0.1326637     2.03355     -1.827535     0.3770793     -2.159545     0.4182039     -0.8974966     0     
F4       19.84745     8.286916     1.524954     -8.667976     4.725498     4.860272     -6.096047     4.925321     0.04269949     -0.1755985     -0.7070138     2.041649     -0.8405971     0.2933228     -0.7877201     0.3922855     -0.2554753     0     
FC4       12.25142     9.222461     0.1015709     -7.27278     4.678569     4.898626     -4.725603     4.929394     0.2027249     0.09657645     -2.879096     1.309256     -2.090554     0.4743547     -0.3236008     1.635583     -0.1947359     0     
C4       8.614942     9.615812     -2.93191     -5.733076     3.333901     4.794775     -4.275128     4.176889     0.1640605     0.1649857     -5.359595     0.5164605     1.306219     0.3250993     -0.1149085     1.016047     -0.2104665     0     
CP4       6.791081     9.755867     -6.56684     -4.699651     0.5026793     4.327467     -4.18438     2.834058     0.1480055     0.1561561     -5.008583     -0.1521213     0.4149798     0.4048184     -0.3321457     0.7185167     -2.176522     0     
P4       5.581855     10.31179     -10.63027     -3.845261     -4.208982     3.477385     -3.453074     0.4921152     -0.01268557     0.0947896     -3.162394     -0.8154389     -1.288142     0.798861     1.126445     1.051601     1.150356     0     
