         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       43.08321     7.392573     0.4871406     2.284789     -1.004603     -10.08576     0.8286743     -0.006402873     1.211157     0.1336569     -0.4555658     -0.8070197     -1.070713     0.2706634     -1.036834     -0.2245468     -0.4282875     0     
Fz       16.55088     11.24519     -1.638869     3.217095     -0.2810424     0.7327632     -0.9630053     0.7035447     2.396988     0.5106025     0.06008052     -0.2786739     -0.1476592     1.577761     -4.558973     -0.1224104     -0.7407664     0     
F3       17.80036     10.09187     -1.706706     2.647945     -1.133137     1.125466     3.226371     0.4635214     2.482583     0.8323356     4.559266     -0.4043767     -0.4510214     0.9469705     -1.04382     -0.2464852     -0.9214969     0     
FCz       11.1038     12.11432     -3.272863     3.504634     -0.1036479     0.3317752     -1.908756     1.094934     1.046913     0.9194248     -0.29276     0.1100788     -0.04408249     1.578061     -0.8375048     -0.3217665     -0.9180126     0     
FC3       12.25924     9.882034     -2.930778     2.224591     -1.733245     0.8771142     2.742535     0.5363622     1.597892     0.8195643     -1.126121     0.05449127     -0.4322996     -0.3471276     -0.5222882     -0.5447534     -0.1206267     0     
Cz       8.50971     11.27204     -6.350457     2.998374     0.05055285     0.2228789     -2.061119     0.4744198     0.2598116     2.164092     -0.6322249     0.2448274     -0.1265396     0.6800847     -0.04034857     -0.7298703     2.366518     0     
C3       8.898532     9.589746     -5.031607     1.262947     -2.749516     0.4904104     1.212596     0.2116025     0.7815824     1.34615     -1.051821     0.09065817     -0.5657888     -3.11534     -0.0896383     -0.8095246     0.4011978     0     
CPz       7.000094     9.579644     -10.52125     0.9207591     0.301274     0.2790016     -1.941547     -1.271307     0.2535982     3.134503     -1.338056     0.09211871     -0.2184288     -0.1834914     0.1157057     -0.9301261     0.8319196     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.060056     8.918908     -7.946     -0.5952556     -4.494916     0.4758829     0.2322695     -0.2276022     0.6193935     2.346208     -1.242861     -0.2942478     -4.72908     -2.321296     0.1045805     -0.7115331     0.6180578     0     
Pz       5.631413     8.250557     -14.1118     -2.360896     -0.1335196     0.2577298     -2.001959     -2.048127     0.383303     -0.427222     -0.8513106     0.2602257     -0.4371484     -0.1980778     0.1628797     -0.834598     1.131868     0     
P3       5.71885     7.887197     -10.72001     -3.986389     -6.928187     0.4844198     -0.6675726     -1.27968     0.4667528     1.84953     -1.186859     0.1257141     -0.4825341     -1.15896     0.1673815     -0.5869695     0.7243131     0     
Fp2       48.67467     7.31908     1.12412     2.178375     0.02641748     2.791547     -4.054477     -0.581194     -0.2803419     -0.1841709     0.6488805     -2.198588     -1.126865     0.4932311     -0.4363392     -0.231693     -0.5093808     0     
F4       19.26937     9.195928     -0.6986587     2.725684     0.6465501     0.9869031     -4.005714     -0.8991997     6.311645     0.6895118     -0.0284541     -0.3434623     -0.136502     1.291565     -0.7366339     -0.4888925     -0.5363499     0     
FC4       12.52926     9.406572     -1.846551     2.088641     1.258525     0.5072858     -3.739191     -2.494807     3.121039     1.143164     -0.172287     -4.980022     -0.09484942     1.100667     -0.2443753     -1.120407     0.02651607     0     
C4       9.294569     8.999933     -3.396345     1.077878     1.975253     0.3960871     -3.422691     -4.080001     1.326463     1.904413     -0.5122656     -0.5496261     -0.3871301     0.7101526     -0.204506     -3.508312     0.4956332     0     
CP4       7.327697     8.654078     -5.302967     -1.844981     3.311403     0.3251754     -2.992385     -5.271691     0.8069596     2.711393     -1.050364     0.249081     -0.539114     0.173937     0.1138139     -0.9217379     0.8702489     0     
P4       5.976257     7.980137     -8.046089     -6.401544     4.641996     0.2440844     -2.589891     -3.790146     0.6811205     2.887076     -1.22061     0.2770345     -0.5033732     -0.02972523     0.2863078     -0.9290825     0.8097324     0     
