         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.02107406     -0.02433765     0.03378955     -0.001415587     -0.02110635     0.00477158     -0.004023036     -0.01071236     0     0.003564434     0.008999693     -0.003374756     -0.004839443     -0.002693874     -0.0007492334     -0.001286881     0.003153087     0.002950223     
F01       0.003543632     0.04410627     -0.02414414     0.02124722     0.02365856     0.03261724     -0.0006145767     -0.04053546     0     -0.03205917     0.020101     0.03101145     -0.02126522     -3.177128E-05     -0.01391649     -0.006095371     0.01530479     0.008955073     
F02       -0.0291885     0.03160544     -0.07175074     -2.555526E-05     0.03019799     -0.002948559     -0.03553055     0.01084552     0     0.04066911     -0.004624621     -0.001878853     0.04499015     0.001431502     0.008456086     0.00726048     -0.0314591     0.006099523     
F03       -0.002148518     0.009036502     -0.0148444     -0.004732971     0.003390749     -0.002727909     -0.004220567     0.08579814     0     0.145495     -0.00491841     -0.2138528     0.001487483     -0.002939409     -0.002033134     -0.03590113     0.02126205     0.003277988     
F04       0.001744043     -0.02324227     -0.009874121     0.05686328     0.09128319     0.03697736     -0.01159678     -0.02570252     0     -0.2989726     0.04431876     0.1393598     -0.004415483     -0.003625575     -0.004083468     0.02351316     -0.02526916     -0.0004677861     
F05       -0.003129486     -0.07501047     0.01598143     0.1070877     -0.04367235     0.1393898     0.01914887     -0.2278504     0     0.05720805     -0.07518154     0.0320095     0.00100732     0.006282303     0.003509906     -0.01825219     0.05424344     0.021769     
F06       -0.001806119     -0.009346883     -0.005188282     0.01475844     -0.02928206     0.02889743     0.008868534     0.07193914     0     -0.002468397     0.006678349     0.0280871     0.004546913     -0.004137644     -0.0004089868     0.1540986     -0.308438     0.02699692     
F07       -0.08328156     -0.02382131     0.2474307     -0.05250465     -0.1310739     0.003310203     0.0183801     0.009462521     0     -0.001880404     0.005616339     -0.00554574     0.03994263     -0.004022272     -0.01960265     -0.01108865     0.01669759     -0.000430999     
F08       -0.008594202     -0.3082193     0.08629559     0.1558404     0.009264834     0.09432333     0.004537271     -0.05090923     0     -0.05454015     0.01010517     0.01882344     0.04031382     -0.009214925     0.01703002     -0.004997734     0.01146079     -0.0003167659     
F09       0.004600451     0.0001633471     -0.03727709     -0.01616667     0.05811056     -0.0347949     0.02299204     0.2008682     0     -0.14415     -0.1535317     0.104165     0.001925792     0.01064531     -0.002301647     -0.07912581     0.06528079     -0.001749106     
F10       -0.009468629     0.06749517     -0.06660458     0.0923823     -0.01105382     0.0568104     0.01475417     -0.07282832     0     0.0233817     0.03160795     -0.04405924     0.02244414     0.008766595     -0.01785244     -0.3931489     0.2687797     -0.00495264     
F11       -0.01088484     0.1179297     -0.02487819     -0.007711403     -0.005349991     -0.02285977     0.002121497     0.004138731     0     -0.008461101     -0.01732609     0.01391349     0.02399805     -0.1693731     0.07664891     0.04031677     -0.02648685     0.005246301     
F12       0.0132731     -0.02626478     0.244142     0.09541907     -0.4611727     0.02002093     0.0301767     -0.005582191     0     0.16323     -0.01483936     -0.04600187     -0.03107399     -0.006837369     0.01051108     -0.004334649     0.002793951     -0.009851478     
F13       0.0007586917     0.0113988     -0.01010161     0.0001728472     0.02555964     -0.009312262     -0.006500071     -0.02668426     0     -0.09777461     0.06105563     0.1003091     -0.0003586071     -0.004600562     0.005369117     -0.1686738     0.4539891     -0.3439689     
F14       0.0007239616     -0.1072157     -0.01022164     0.3054466     0.04231999     -0.3340457     -0.02023008     0.08792999     0     0.04785692     0.008663105     -0.02493326     0.003329206     0.001175227     0.005613628     0.02607977     -0.02832345     0.00433128     
F15       -0.005918089     0.06303751     -0.02635585     0.039873     -0.01022983     -0.01027302     0.005334303     -0.01840868     0     -0.01062607     -0.002120508     0.01421281     0.01246892     0.01655902     -0.3412274     0.3468767     -0.06959391     -0.01616097     
F16       -0.0003813501     -0.01250357     -0.03567223     -0.002993966     0.278121     0.03282249     -0.5646272     0.01768717     0     0.4141998     -0.03527731     -0.09182272     0.001052803     -0.003754258     -0.001026971     -0.006581428     0.0008361832     0.0008895402     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
