         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       88.05804     3.514941     -6.807581     -4.404169     1.391743     -3.298517     -0.3261563     1.304898     5.533507     1.691948     -2.573224     1.558723     3.450886     0.1539034     0.6821609     0.4543221     0.1421762     0     
Fz       24.67586     6.244698     -9.019754     -0.04338961     1.801895     -1.539974     -1.156103     1.012039     2.690888     1.955969     1.58557     2.435025     1.812397     0.7691894     1.297042     1.241186     -0.1301487     0     
F3       23.98676     5.408562     -7.125352     -0.2616519     1.251424     -2.332471     -0.9699981     0.7020862     2.787554     3.999277     -1.201289     1.482012     1.475183     0.3946097     1.223282     4.920643     0.09331335     0     
FCz       14.16176     8.833425     -6.956802     1.257234     1.896536     -1.621576     -1.861734     1.110683     2.059506     1.92204     1.313872     2.205559     1.171364     0.7834916     2.656485     0.8404528     -2.482449     0     
FC3       14.94915     6.097149     -5.367502     0.7606583     1.233959     -3.491396     -1.678817     0.7072021     2.352872     6.459392     -0.861967     1.194633     0.5957336     0.3778947     1.578368     2.726624     0.3457958     0     
Cz       9.945588     9.166372     -4.502599     2.65758     1.992576     -2.403887     -3.965161     1.579159     1.389292     1.826616     1.211517     1.79497     0.3793604     0.6793895     1.397975     0.5652828     0.540966     0     
C3       10.11574     5.989026     -3.871135     1.976727     1.199729     -5.537584     -2.545858     0.9086267     2.070651     4.353974     -0.2901379     1.029241     -0.7893659     0.2741461     3.675117     1.310012     1.734138     0     
CPz       7.612485     7.201146     -3.340328     4.893508     1.846893     -3.144843     -5.969546     2.023065     0.2369173     1.666966     1.036504     1.639022     -1.040853     0.4546793     1.385679     0.477731     0.8223714     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.672257     5.415346     -3.232991     3.167674     1.143075     -6.677587     -3.325792     1.139437     1.509027     2.847651     0.02991128     1.090867     -3.096766     0.241431     1.484944     0.8340285     0.9399838     0     
Pz       5.716215     5.611396     -2.464568     8.09155     1.525887     -3.180419     -4.817284     2.000482     -1.479543     1.413042     0.941471     1.520185     -2.898399     0.2452644     1.073331     0.3604699     1.0117     0     
P3       5.74181     4.715776     -2.576187     5.068665     1.0345     -5.029775     -3.543636     1.274942     0.5291355     1.869814     0.3568261     1.148802     -6.559981     0.1441746     1.206164     0.5135166     1.107046     0     
Fp2       92.90913     3.111514     -6.954412     -4.030862     1.330461     -3.113291     -0.360231     1.333339     5.648729     1.736752     7.36173     0.8454179     3.816453     0.178883     0.5888416     0.7389226     0.02865152     0     
F4       30.94665     4.712249     -6.757093     -0.7568021     2.946647     -1.533408     -1.075236     1.728952     2.568483     1.481084     4.296649     5.765713     2.114589     1.795558     0.9227551     0.7156748     0.155602     0     
FC4       17.88593     5.54531     -5.25065     0.2770236     7.756571     -1.442682     -1.759272     3.178331     1.378549     1.470994     3.616997     5.496017     1.422304     5.646748     1.079712     0.5297254     0.2036138     0     
C4       11.4058     5.84233     -3.569609     1.676015     8.812499     -1.740021     -2.944849     5.572793     0.1860387     1.338499     2.613661     3.372043     0.6411014     -0.5377209     1.006554     0.2014564     0.4087421     0     
CP4       8.076208     5.297529     -2.830001     3.021975     4.34088     -2.261829     -3.532162     7.295116     -1.92701     1.228905     1.936592     2.213305     -0.4641831     -0.5720302     0.9599697     0.1601399     0.6404124     0     
P4       5.820205     4.524229     -2.2376     4.203389     2.341658     -2.51948     -3.35746     5.040125     -5.41488     1.111424     1.480678     1.625141     -2.328778     -0.4800744     0.9050082     0.1472617     0.8301492     0     
