         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       45.95476     -7.481763     8.346356     4.638124     2.713013     -2.899884     -0.2697355     -4.980547     -0.4528144     0.5489632     -0.5659973     0.09252043     -0.798777     0.903909     0.1345894     0.500449     0.04521517     0     
Fz       16.4745     -10.67118     7.963438     2.998523     2.228562     -1.886402     -0.001744874     2.281654     0.8206137     2.387725     -0.974567     0.1032361     0.2502955     0.7511012     0.5213096     -0.2378264     1.044468     0     
F3       17.46961     -6.407876     9.290754     2.734875     1.831935     -1.713661     0.0560542     3.920704     -0.8152943     0.1618457     -2.312282     0.4768225     -0.3065297     0.2855179     0.2060594     0.7903893     0.8058854     0     
FCz       9.317094     -10.84901     8.374736     1.731848     1.630678     -1.349608     0.0683766     0.9564552     0.8523555     -0.4211267     -0.3785008     3.975926     0.626597     0.887503     0.2678849     -0.3228765     0.5598962     0     
FC3       11.14355     -6.465704     8.85762     1.761921     1.084788     -0.9663618     0.1139581     1.812532     -1.333833     -0.6618886     -3.316331     0.04989462     0.3397168     -0.7246143     0.1863292     0.343798     0.4790553     0     
Cz       6.993787     -10.20548     8.499056     1.182649     0.7220321     0.280917     0.002779292     0.6484941     0.3162595     -2.180541     0.2941796     0.1353332     0.8563889     0.5196282     0.4316651     -0.6433899     0.5359297     0     
C3       7.873647     -6.774438     8.384692     1.144681     -0.05442912     -0.1331916     0.1313816     1.106004     -2.496807     -1.210215     -2.130477     0.001808107     0.4921226     -2.256196     0.1337936     0.005711343     -0.2214739     0     
CPz       5.340409     -9.397881     8.114202     0.7053607     -0.9579803     2.562773     -0.6410158     0.4555036     -0.6767071     -1.946442     0.3247938     -0.1454613     0.6013109     0.5542067     0.4398282     -0.4725041     -1.319181     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.723524     -7.307432     7.922347     0.8027515     -2.104398     1.218444     -0.247551     0.7449875     -4.134766     -1.264765     -1.036415     -0.05348721     0.6191963     -1.293213     0.1446359     -0.04244574     -0.3011415     0     
Pz       4.343324     -8.43728     6.927351     0.5755791     -3.556633     4.818098     -1.363982     0.392233     -1.148622     -1.328952     0.07455806     1.68948     0.2062752     -0.06685047     0.4389684     0.04458345     -0.1130547     0     
P3       4.289174     -6.88628     6.830348     0.5647532     -5.874773     1.797823     -0.6481168     0.6574744     -3.644095     -1.049475     -0.7325801     -0.07604405     0.3802165     -0.8457935     0.0787086     0.1864164     -0.52499     0     
Fp2       46.34476     -13.73654     3.84298     -5.088299     3.158712     -2.69798     -0.728893     -0.8795405     0.5827361     1.164111     -0.7547494     -0.03356146     -0.6991061     1.334064     0.257237     -0.2722983     -0.05844611     0     
F4       18.46206     -13.10736     3.818014     3.884632     2.419252     -1.373692     -1.16863     2.586477     0.8515829     0.5571192     -0.8795905     -0.09612352     -0.7948324     0.9484495     0.5761085     0.6082506     -0.1023549     0     
FC4       11.35329     -12.218     4.811623     2.01698     1.870291     -0.617055     -1.938476     1.198925     0.8178816     -0.249992     -0.2307511     -0.08073732     -1.979074     0.9250828     0.5707703     1.223029     -0.06141204     0     
C4       7.991136     -10.80198     5.330274     1.378977     0.8497431     0.6527478     -3.077163     0.6630915     0.4384702     -1.217528     0.07992153     -0.09228004     -2.945067     0.86576     0.5188416     -1.168596     -0.2487311     0     
CP4       5.866735     -9.53973     5.561408     0.8434765     -0.6207784     2.084099     -5.090744     0.448465     0.07119989     -1.470781     0.5136713     -0.1857724     -1.444663     0.6085926     0.5502409     -0.7785662     -0.6377445     0     
P4       4.456073     -8.535948     5.551025     0.6647028     -2.851008     4.033588     -4.734915     0.3823861     -0.1471794     -1.152246     0.4751919     -0.05583029     -0.6650413     0.3626962     -3.590507     -0.4722115     -0.3547426     0     
