         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       35.17543     4.002153     -7.173847     3.094728     -0.0211996     -2.771354     0.4660314     -1.911301     -0.08578866     0.9071109     1.062897     -0.8114226     -0.6274186     0.6415091     0.3187783     -0.2091621     0.08118827     0     
Fz       10.32341     7.531867     -6.112364     2.373008     -1.481234     -1.890768     0.7637789     -1.874761     -0.1726815     1.473391     2.303528     0.200827     -2.592007     0.7044468     0.6384543     0.2937981     0.3109881     0     
F3       11.89335     6.810564     -2.783519     2.203066     -0.9677686     -1.921259     0.8002362     -3.853386     -0.1196864     0.07076407     1.568614     -1.088447     -0.3464374     0.606742     0.4799194     0.01958863     0.3680553     0     
FCz       6.181035     8.632889     -5.1413     1.754617     -2.194651     -1.59192     0.5013467     -0.6663545     -0.1834697     1.364085     2.232359     1.054139     0.2189352     0.6746349     0.6767886     0.3332441     0.4357911     0     
FC3       7.646851     7.401555     -2.031774     1.447028     -1.148038     -1.621859     0.6861798     -1.846626     -0.1356492     -0.0709414     0.928188     -1.686077     -0.1492312     0.4157279     0.4020695     -0.03759461     0.2948374     0     
Cz       4.253536     8.742846     -4.473528     0.4222231     -3.083277     -1.017529     -0.1884887     -0.1673419     -0.194999     1.138008     0.2561362     1.069119     0.4123459     0.4460648     0.499339     0.2481667     -1.708665     0     
C3       4.967643     7.964628     -2.374755     0.03348536     -1.509153     -1.212785     0.3303025     -0.6594442     -0.1537806     0.06721633     -0.1119246     -1.122427     0.1591164     0.2237156     -1.216845     -0.2792224     -0.08713055     0     
CPz       3.085054     8.308794     -3.905999     -1.488037     -3.866282     -0.08295449     -0.7310854     0.009706805     -0.1648332     0.9077996     -1.510832     0.8912184     0.3969651     0.1634597     0.3296789     0.1694566     -0.09521173     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.283684     7.673975     -2.285435     -2.339517     -1.427878     -0.4441828     -0.1310994     -0.2130638     -0.1254544     0.1052436     -0.8775976     -0.6076299     0.2459616     -0.02745502     -0.5299783     -1.915367     -0.001546438     0     
Pz       1.957587     7.173563     -3.281463     -4.31605     -4.577742     1.50308     -1.088165     0.1092392     -0.08724876     0.5254337     -0.6663161     0.0281005     0.4243763     -0.1082205     -0.0593207     -0.1095044     -0.08151607     0     
P3       2.063218     7.06416     -2.206662     -5.195789     -0.8336891     0.8973342     -0.3973104     -0.09648792     -0.08350305     0.1362302     -0.9183358     -0.393645     0.3061278     -0.04578312     -0.2033561     -0.2035168     -0.1367619     0     
Fp2       35.11475     2.805236     -15.41493     3.413805     0.0131156     -2.727043     0.3647902     -2.218938     -0.1469501     -1.09338     0.627374     -0.7244838     -0.5031135     0.3184083     0.5087343     -0.1204876     -0.1121909     0     
F4       10.66968     5.338531     -8.569232     2.118406     -1.04864     -1.489591     -0.2372942     -2.418083     -0.1594131     3.483372     1.262981     -1.578799     -0.3650818     0.4275988     0.5191275     0.1768198     0.10072     0     
FC4       6.553876     5.855693     -6.813008     1.194837     -1.733661     -0.7343413     -2.469853     -1.218618     -5.352328     2.276992     0.9122047     -0.5522819     -0.09947819     0.06102578     0.3538218     0.06818308     0.1671936     0     
C4       4.288258     6.376325     -5.449631     0.1402142     -2.34938     0.4418281     -4.163605     -0.4997175     -0.1082797     1.595551     0.05337199     -0.1053549     0.09924217     0.1064261     0.2622308     0.1270732     -0.1385249     0     
CP4       2.748039     6.404046     -4.403824     -1.290502     -3.113926     2.669333     -3.255506     -0.1287724     -0.06373234     1.215926     -0.6137448     0.5244921     0.1441292     -2.223931     0.276381     0.07848249     -0.1206868     0     
P4       1.613921     6.062497     -3.493023     -3.143629     -3.749042     5.477675     -2.278917     0.1463304     -0.09583679     0.8015332     -0.654607     0.2082484     0.3299223     -0.2692907     0.1070332     0.0208842     -0.01350917     0     
