         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       -0.002374026     0.01437227     0.0005143442     0.1784826     -0.0359147     -0.0705291     -0.01607183     -0.0294074     0     0.03901222     -0.01952798     0.001276721     -0.01016959     0     -0.0460277     -0.001062214     0.00205751     0.04080789     
F01       0.0165974     0.02411513     -0.005781116     -0.04150357     0.004680896     -0.003128618     -0.003869965     0.00344929     0     0.002612955     -0.006045025     0.004419206     0.03440269     0     -0.01299515     0.002592768     0.005171546     0.007217059     
F02       -0.001507751     -0.007495005     0.0003513148     0.04202059     -0.0096874     0.06203396     0.008587258     -0.1869637     0     0.03388824     -0.04363392     0.03052907     -0.0009210363     0     -0.004939135     0.012539     0.01639949     0.04192453     
F03       -0.0006978509     0.01366324     0.000594151     0.0920824     -0.01412682     -0.001529063     0.02152774     -0.006562614     0     -0.02180506     -0.0006581369     -0.001891788     0.01160069     0     -0.1873068     0.005591758     0.07961049     -0.03142729     
F04       -0.002212064     0.02480863     -0.02461628     0.08216047     -0.184652     -0.01317375     0.04965061     -0.003817942     0     0.060863     -0.00478174     -0.01757444     0.01426046     0     0.01330299     -0.002689398     -0.01923164     -0.005943725     
F05       -0.002106356     0.005119653     0.0008667901     -0.002270534     0.0002367863     0.0102064     -0.01854848     0.02434361     0     0.04769502     0.03050477     -0.02252989     -0.0006798009     0     0.0525512     -0.009921829     -0.2008616     0.06318589     
F06       -0.000398152     0.002013673     0.0001020321     -0.008346447     -0.02131506     0.01313891     0.0459189     0.01096007     0     0.07886577     0.04401923     -0.1887192     0.0001966495     0     -0.0003859825     0.003358696     0.01937703     -0.02677343     
F07       0.0003106314     -0.01189438     0.005595938     0.02206609     0.07898341     0.01784769     -0.08614011     0.04613188     0     -0.2354753     0.003631949     0.1494348     -0.001229834     0     -0.001363761     0.003382822     0.001866884     -0.02268781     
F08       -0.001840736     -0.002062872     -8.872727E-06     0.2080095     0.009502041     -0.4348971     -0.01586309     0.2712991     0     0.04012667     -0.04863974     -0.02774008     -0.004311078     0     -0.004007914     0.0163092     4.9408E-05     -0.02311132     
F09       -0.001486846     -0.01307637     0.0002050841     0.00710045     0.002946446     0.01055742     -0.007765564     -0.01911023     0     -0.06329002     0.008997834     0.1222729     0.001974926     0     -0.01027895     0.01058141     0.177205     -0.2224607     
F10       -0.08791953     0.03728433     0.0152652     -0.04758485     0.01246382     0.02028998     0.002425153     0.0015053     0     -0.003379539     -0.008764012     0.004956193     0.07101571     0     -0.02064622     0.0003426435     -0.001400891     0.004719417     
F11       0.009709565     0.01396161     -0.1226405     0.01736515     0.113459     -0.01613859     -0.0135014     -0.00141722     0     -0.01593987     0.004376249     0.004105872     0.009910311     0     -0.007378386     -0.001137406     0.0001149462     0.0002757788     
F12       -0.000622103     -0.004538166     0.0008852202     0.01272457     -0.004245502     -0.009585459     0.02061278     0.01384452     0     -0.01786062     -0.007728335     -0.0003493665     0.0003875709     0     0.08447371     -0.2091953     0.1414361     -0.02782995     
F13       -0.001834852     0.2472593     -0.009517316     -0.2631007     -0.02505519     0.09880434     -0.006007925     -1.732707E-06     0     0.01183181     -0.01231316     -0.002618752     -0.02621659     0     -0.02912883     0.00254613     0.01616938     -0.006319826     
F14       -0.002997128     0.02366379     -0.007283873     0.00660228     -0.1377957     -0.06195239     0.4232482     0.06271338     0     -0.4209225     -0.002828412     0.143589     -0.001552974     0     0.009237188     0.001832885     -0.01614341     0.00627476     
F15       0.002351035     0.004162124     -0.00240616     -0.03396996     0.01603555     -0.04357442     -0.02628721     0.346125     0     -0.06587251     -0.3602221     0.1296275     -0.001653454     0     0.001522316     -0.01061285     -0.06484746     0.10992     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
F4       0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     
