         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       63.37868     -8.759748     7.736933     -0.6474156     3.892573     1.468053     0.5069066     -0.3995218     0.8848996     1.927893     -2.43225     1.057309     -1.547044     0.1677883     0.02947636     -0.0256339     0.2015207     0     
Fz       19.04991     -9.24534     11.64271     -3.439079     4.404363     1.062878     1.012835     0.009325622     2.766618     2.289079     1.261007     0.6300127     -3.23896     0.5755478     0.25143     0.5942123     0.2783132     0     
F3       24.19024     -3.273533     10.62125     -2.467151     3.892102     1.643988     0.0802742     0.2536627     2.260363     2.141256     5.402613     0.7729754     -2.581018     0.3802138     0.469786     0.6089864     0.3280684     0     
FCz       11.22781     -7.678815     12.90928     -5.324423     3.595763     0.258659     0.5060754     0.02347709     2.134631     2.412197     0.7754564     0.4685562     -0.4000341     0.3152016     1.029069     0.515676     0.5820656     0     
FC3       14.11873     -2.527074     10.68198     -3.343685     2.726542     1.141789     -2.299248     6.12281     1.657225     2.242558     2.905829     5.367669     -1.630693     0.2990369     -0.08425934     1.113674     0.3745951     0     
Cz       7.899493     -6.750326     11.14859     -8.578387     1.023474     -1.812431     -1.878037     -0.03234769     1.976795     1.884177     0.5676859     0.6413898     -0.1692832     0.5291491     3.166502     0.4542682     0.8303064     0     
C3       9.321562     -2.882008     10.04454     -4.554208     0.8376086     0.06125797     -6.274993     0.120863     1.270822     2.352121     1.485002     0.8940884     -0.9501791     0.4189823     0.8893364     1.131266     0.5730947     0     
CPz       6.112489     -5.838451     9.761098     -10.58633     -2.858052     -3.104327     -3.519218     0.1792315     1.930871     0.7598627     0.5342449     0.2005344     -0.1611637     0.654266     0.6926701     0.3655631     0.7979466     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.493182     -3.576622     9.097713     -6.052536     -3.18398     -1.039104     -7.197613     0.03590192     1.193656     2.759973     0.7992922     0.5836003     -0.7882147     0.4319239     0.9158152     -1.512388     0.5691882     0     
Pz       4.654392     -5.791224     8.985354     -9.498716     -6.739981     -2.860786     -3.841294     9.390718     1.931816     -0.7559004     0.4431798     -3.585866     -0.2089235     0.8977891     1.259806     0.4599462     0.6578563     0     
P3       4.73524     -3.797054     7.933737     -5.960133     -8.099736     -1.423365     -5.453927     -0.05759617     1.144392     2.921268     0.3615197     0.243629     -0.642562     0.4237484     1.08233     -0.1650924     0.4732597     0     
Fp2       63.95036     -24.02601     5.243111     -0.5377126     3.851708     1.015511     0.5517687     -0.4652328     -5.221488     1.81538     1.627108     1.257507     -0.8415194     0.5632616     -0.2515553     0.3827972     0.0661304     0     
F4       20.83486     -14.36973     8.080907     -2.734506     4.02866     -0.1111957     0.4983369     0.08735818     5.292107     1.863109     1.549961     0.6036682     -1.718281     -4.121758     -0.04454647     0.9542893     -0.1272183     0     
FC4       11.86688     -11.65337     8.151608     -3.68508     2.870573     -3.148261     -0.5260053     -0.006541698     4.846026     1.354686     1.234313     0.6002723     0.1947665     0.9940592     0.3089678     0.9609339     0.5359619     0     
C4       7.661493     -8.852963     8.446064     -5.714434     0.4312075     -7.843957     -1.732791     -0.009722087     3.222749     0.07486647     0.6823018     0.3736425     0.08677679     0.7417874     0.7582715     0.618508     1.96542     0     
CP4       5.794758     -7.286199     8.41247     -7.625028     -2.620266     -8.419145     -2.203361     -0.008712527     2.460743     -1.991591     0.4825046     0.1968258     -0.04572795     0.7533655     0.8855034     0.4251381     -0.7871407     0     
P4       4.330416     -6.140632     7.701086     -7.420084     -6.867599     -6.44658     -2.30081     -0.07495351     2.096816     -5.66967     0.2974139     0.1354917     0.09191737     0.7387932     0.8879434     0.3244317     -0.2350347     0     
