         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       9.780466     21.59746     5.49471     9.209271     11.46501     0.9965006     -1.767182     -1.077093     5.10834     8.222126     1.163481     -0.8921079     0.5691989     0.2775236     1.328764     2.322661     0.4156849     0     
Fz       7.942699     2.604043     9.217171     1.921148     9.716624     2.890653     -4.387367     -4.186814     2.689243     1.669832     2.555644     -2.168013     1.824534     0.3455988     3.216498     0.8783404     1.505914     0     
F3       9.51256     3.334423     6.48514     1.900413     9.22389     5.766289     -3.294733     -4.460552     5.731706     5.584676     -1.942535     -3.462882     1.292442     1.053319     -0.5882441     0.6355204     0.6884607     0     
FCz       7.406085     1.168333     11.25026     1.150764     7.859325     -1.261883     -1.113438     0.2330213     -0.3566867     0.9134663     1.59848     -0.03534328     0.007836257     0.4329061     0.4103766     -0.4429686     0.1497968     0     
FC3       9.516706     1.546536     7.395304     1.051964     6.196819     4.058579     -2.370423     -2.754305     5.88935     -0.4543875     -1.370879     -1.043575     0.5994797     1.295573     -0.9604899     0.7175672     0.7670667     0     
Cz       7.264818     0.6815804     12.16536     0.5593913     3.615177     0.6505573     -1.909695     -0.5415111     2.083902     0.8068192     1.709295     -0.01052233     -0.395744     0.6615406     0.2605192     0.02502767     -0.9653071     0     
C3       10.32056     1.015401     7.221938     0.1928435     3.092875     10.29947     -4.285248     -9.583652     6.815061     -2.077271     -0.16487     -1.679151     2.547309     1.687687     -3.462928     3.018182     -3.777632     0     
CPz       8.375957     0.6768935     11.76354     0.3876493     -0.1937568     5.777251     -2.948368     -6.18821     1.936117     0.09528767     1.859357     -1.099644     2.2049     0.4173644     -1.424057     1.347788     2.902235     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       10.83562     0.7432056     7.422632     0.3747126     -0.4720696     10.98138     -7.123219     -5.151132     1.977605     -1.869721     0.294732     -1.105134     3.774164     1.494602     -2.436599     2.414004     -0.4175839     0     
Pz       9.411323     0.5706517     9.625997     0.7033979     -2.685136     4.438344     -5.913951     -1.955886     -0.276918     -2.029389     1.847704     -8.596698     3.796945     0.1671029     -2.015555     1.233318     1.254546     0     
P3       12.51058     0.6272348     6.51136     0.7693259     -3.187243     4.159216     -6.923335     -2.374185     -0.3493804     -1.401731     0.1300214     -2.3581     4.694972     1.696796     -0.7682441     1.582889     1.056457     0     
Fp2       9.807625     21.80177     5.326176     23.40635     12.2303     -0.2631719     -1.208375     -0.8419011     4.630196     9.136236     4.505237     -0.1138419     1.026736     0.01463366     1.692902     3.323999     1.114251     0     
F4       8.329188     2.60545     6.513057     2.33021     9.222327     4.556447     -4.4205     -3.3043     6.399949     5.868146     7.828527     -4.327011     1.034422     0.4963519     -1.475698     3.374692     2.314865     0     
FC4       7.359413     1.232403     7.822508     1.088441     6.422167     5.674806     -5.507026     -5.7693     4.780799     1.116284     6.829316     -3.403981     1.565824     0.4565177     -1.475915     -2.702092     1.758864     0     
C4       7.210742     0.9663553     8.625572     0.4814646     3.064332     7.394213     -3.879395     -5.689056     5.742056     -0.3067304     5.330809     -1.913764     4.452822     -3.989234     -3.033509     -0.6990485     -0.1287704     0     
CP4       7.520134     0.7188545     8.432074     0.6304796     -0.1303389     7.529789     -9.517337     -6.509143     3.494794     -0.9496349     4.448107     -3.721962     3.557867     -5.00068     -3.433357     0.09985092     2.325987     0     
P4       9.201666     0.6411881     7.577147     0.6246966     -2.887944     4.754925     -4.957405     -3.280368     0.7391888     -1.243198     3.649312     -6.440695     1.737829     -5.475648     -2.095924     -0.1020822     1.156307     0     
