         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       43.21055     9.781488     -3.57111     -2.16781     0.1773353     3.376156     1.081994     1.865917     2.896018     -0.9950705     -1.497151     -3.392061     0.2691455     0.08957185     0.001462542     1.375173     0.1589406     0     
Fz       15.95832     14.77972     -4.835357     -1.979525     -0.5194504     3.803073     1.018994     2.53295     3.254664     -0.3087125     -1.073502     1.035757     0.5392069     -0.683345     0.4190111     0.7912477     -0.1058222     0     
F3       17.82562     11.54557     2.035393     -1.514782     -0.2859051     3.463327     -0.0530012     2.588779     2.531576     -1.35406     -3.466779     5.972806     1.070767     -0.4377249     -0.2620577     0.4713153     0.2883318     0     
FCz       9.91214     14.61723     -3.6616     -0.6700515     -4.425446     3.879691     -0.1390379     2.230988     3.464651     -0.8728575     -1.247936     0.5337673     -0.1610706     -1.004945     0.2815566     -2.177796     -0.3884042     0     
FC3       11.45785     11.02837     1.970308     -0.4432127     -1.39053     3.253758     -2.721073     2.283634     1.99062     -0.6088753     -5.353833     2.351163     0.2584051     -0.5643952     -0.2272999     0.3232362     -0.06870012     0     
Cz       7.534598     13.06789     -3.104742     2.367423     -7.112506     3.844488     -2.328047     0.1706279     3.559965     0.008418823     -1.013344     0.4577276     -0.2074472     -1.935614     0.4590435     0.04992016     -0.1936727     0     
C3       8.132591     10.85006     0.4984798     1.658874     -2.789167     3.120292     -6.897475     1.091951     1.079045     -1.709993     -2.932697     0.8828388     -0.05687719     -0.3300603     0.6265067     -0.3278167     -0.5706953     0     
CPz       6.204358     11.78581     -2.734167     6.482589     -5.702314     3.520248     -3.497269     -1.787237     3.242658     0.04251723     -0.8372757     0.3820322     -0.2286134     -2.822035     0.274138     0.202461     -0.2934178     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.133573     10.06583     -0.2538415     4.87685     -3.119921     2.496249     -6.73744     -0.2552874     -1.469527     -4.022905     -1.188415     0.4726315     0.09796621     -0.9959151     -2.484646     0.1645837     -0.6350914     0     
Pz       4.809015     10.665     -2.44606     10.87236     -4.151743     2.251434     -2.967559     -2.114032     1.935553     -2.52091     -0.8391566     0.181796     -0.1596966     0.8134055     0.346378     -0.0507099     -0.8969654     0     
P3       4.621267     9.564639     -0.9030566     8.555225     -3.226797     1.114997     -4.907151     -0.7597361     -4.868638     -3.458443     -1.094254     0.3710218     0.1611943     -1.397412     -0.2258388     0.07062833     -0.5824809     0     
Fp2       42.20802     9.285917     -17.59348     -2.251841     0.3682525     3.201595     1.081858     1.292147     2.965641     -4.532111     -1.56561     0.9736435     -1.781325     0.1273278     0.2209097     1.337799     0.3181698     0     
F4       15.39217     12.34131     -10.00084     -2.137123     -0.3577026     3.023389     1.389871     -0.07384297     3.137918     -3.655877     -1.377724     0.8571339     5.965002     -0.6064799     0.9308082     0.5212081     0.3832523     0     
FC4       10.01644     11.63817     -7.555848     -1.065448     -2.114364     2.137237     0.8661572     -3.538747     3.118174     -5.83847     -1.625029     -0.002098284     1.534894     -1.208074     1.556261     0.2487631     0.7244417     0     
C4       7.493415     10.9323     -5.647176     1.264503     -3.556836     0.2898449     -0.4097961     -6.61013     2.948132     -1.545051     -1.597493     0.1241859     0.459188     -1.029309     0.8571907     0.1098361     -2.291803     0     
CP4       5.990305     10.41969     -4.333768     4.563522     -3.901372     -2.30128     -1.530099     -6.402256     2.850128     -0.002113496     -1.192925     0.278766     0.1565376     -1.231571     0.1018321     -0.03328386     -0.1588761     0     
P4       4.592492     9.607178     -3.217281     8.745322     -3.573935     -6.303014     -1.785162     -4.020939     2.657943     -2.623822     -0.8055798     0.178729     0.04045817     -1.632606     0.3351773     -0.04480704     -1.019163     0     
