         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        Fp1        Fp2        Cz        RightEar        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
F3       18.25268     -2.905643     -4.243764     1.437141     -3.791458     2.345386     -2.331663     0.2072775     -1.27515     0.02340817     -0.6504558     -0.08579269     1.250714     -0.3267988     0     0     0     0     
Fz       16.37159     -3.42366     -3.804419     7.482857     -1.861274     2.207831     -0.3788439     0.08771758     -1.807208     -0.09269124     -0.7608175     -0.03349483     1.218665     0.4204123     0     0     0     0     
F4       19.61609     -2.785291     -2.93416     4.407517     -2.042939     0.7176515     7.592205     0.814615     -0.961769     -0.381654     -1.647665     -1.336207     0.7172238     -0.026555     0     0     0     0     
FC3       10.72713     -4.012469     -5.991976     2.442853     -4.574884     2.287107     -1.531593     -0.3286158     -1.45238     -0.06300365     -0.3120203     0.1732227     1.373999     3.492698     0     0     0     0     
FCz       9.801486     -5.514046     -4.964002     8.25973     -6.26168     2.181322     -0.4862185     0.02717485     -2.021309     0.385415     -0.4625297     0.9098074     2.263732     -0.8090738     0     0     0     0     
FC4       10.84838     -4.227144     -3.645965     5.364882     -3.734163     -0.2947226     2.396217     0.6477745     -1.253376     -0.3854821     -1.77716     -5.294586     1.387243     -0.2283408     0     0     0     0     
C3       7.132184     -5.251944     -7.39358     1.977774     -1.071591     1.931984     -0.8911483     -1.22926     -1.796035     -0.05726958     -0.1956853     0.1884756     0.9325309     0.2658668     0     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
C4       7.196815     -5.347885     -3.981436     4.202717     -2.876391     -2.070523     1.454244     0.5053836     -1.348874     -6.579273     -2.520267     -1.542656     1.379883     -0.2316757     0     0     0     0     
CP3       4.948011     -6.675413     -5.571722     1.186756     -0.7228388     0.8715113     -0.5038908     -3.107246     -4.71758     -0.2090095     -0.2700487     0.01004844     0.7728097     0.518517     0     0     0     0     
CPz       4.635735     -10.566     -4.041254     3.185071     -1.003516     -0.1319736     0.01058398     -1.310516     -1.341663     -0.3129168     -0.6260821     0.09802287     1.868043     0.2215225     0     0     0     0     
CP4       5.218146     -6.474173     -4.004996     3.299667     -0.494526     -3.619106     0.5550473     -0.2198533     -1.55881     -0.5759484     -4.826614     -0.4928215     1.185505     0.2290358     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       3.349735     -7.138367     -4.422177     0.860472     -0.3475323     -1.414518     -0.1757788     -7.291679     -1.930444     -0.3109378     -0.1749856     -0.1317131     0.4627417     0.424751     0     0     0     0     
Pz       3.17774     -10.76946     -3.695171     1.948574     -0.9725306     -2.683647     0.02054987     -3.084752     -1.3782     -0.2285807     -0.1260767     0.08064727     -1.705093     0.2546621     0     0     0     0     
P4       3.577114     -7.725533     -3.980318     2.410514     -0.1485074     -5.899652     0.2309183     -1.417979     -1.909598     -0.4895735     -0.6884428     -0.0869085     0.7791398     0.1488622     0     0     0     0     
