         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       26.5704     5.672296     -12.67467     13.18353     1.929356     1.692194     0.3588176     2.548045     1.791564     1.05704     0.06089656     -1.355506     -1.087877     2.729927     -0.3897849     -0.01091     -0.2742905     0     
Fz       10.27578     9.620548     -1.622242     -0.6521274     -1.134533     3.128773     0.1343562     2.914962     1.55935     1.445271     0.3429795     -2.804108     -0.05668673     -1.130625     -1.022929     -3.626129     0.8852941     0     
F3       10.96585     7.917658     0.1771235     -1.441676     4.558876     3.806402     0.1137138     2.588125     0.9618501     1.261741     0.08101343     -1.614636     -1.51686     0.01666548     0.04127652     -0.5585807     0.3195296     0     
FCz       7.074871     10.74528     0.2264911     -0.03315336     -1.494624     1.704896     0.1305228     2.764597     1.21344     1.004114     0.08077849     -2.67144     0.04909334     -0.3360466     -0.8861787     -0.3716682     0.5900825     0     
FC3       7.220546     8.843656     -2.157507     -0.7970052     2.848286     2.443681     0.09379658     2.531888     0.5150856     0.9989517     -1.885262     -1.121121     -0.1533058     -1.145071     0.3022335     0.1500457     0.9852648     0     
Cz       5.485027     10.89889     0.2456381     0.2843186     -1.587174     1.062073     0.08183943     2.039997     0.3823257     -0.2600472     -0.4352509     0.3041528     -0.1659057     0.1105732     -0.09042084     0.07860959     0.2389588     0     
C3       5.498443     8.777905     -0.1123127     -0.1807711     1.638354     1.463784     0.06833978     2.080077     -0.9982337     0.239257     -3.685453     -0.5254055     -0.3299938     -0.1562678     1.072427     0.166403     0.2114221     0     
CPz       4.48358     10.21786     -0.02963205     0.4612592     -1.558832     0.8364525     -9.395603     0.8269702     -0.692452     -2.50021     -1.100427     0.2911884     -0.2231071     0.1927161     0.7776798     0.2561229     0.048025     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.436749     8.536035     0.09435196     0.1176887     0.6263773     1.054262     0.05798271     1.305604     -3.095647     -0.9488061     -2.638259     -0.2292121     -0.3592771     -0.06708476     2.859943     0.2610769     0.1863529     0     
Pz       3.806883     9.31407     -0.3957545     0.2485689     -1.461888     0.7095164     0.09960801     -0.4051383     -2.224567     -5.446858     -1.214157     0.06893616     -0.2751508     0.06783377     1.11085     0.1827783     0.157604     0     
P3       3.66303     7.899991     -0.7249669     0.1964659     -0.1037305     0.8188238     0.03213041     0.06361474     -6.083725     -2.542831     -1.972069     -0.1164264     -0.2876228     -0.1760063     1.486007     0.3590785     0.09711999     0     
Fp2       30.89061     4.84525     -11.25191     4.326586     -4.998033     -1.17399     0.261326     2.667689     2.048492     1.005757     -0.1415877     -1.298889     -0.8529225     -0.1621405     -0.6478986     0.2353218     0.2242516     0     
F4       12.27709     7.124274     -2.067239     -0.4382712     -6.52568     6.720391     0.1892688     2.149865     1.866748     1.040558     0.08807931     -1.892117     -0.6806082     -0.1212047     -0.9380959     -0.4923088     0.6466155     0     
FC4       7.739835     7.946071     -2.54064     -0.1356512     -5.685786     2.919133     0.1410629     1.148174     1.511864     0.3558055     -0.1474629     -1.315426     -3.320066     -0.7436941     -0.6318524     -0.2236474     0.6076321     0     
C4       5.736404     8.604701     -5.031008     -0.3261725     -4.618867     1.734704     0.1531488     -0.2763392     1.114109     -0.4855372     -0.2986223     -0.8049507     -2.832885     2.484863     -0.02039207     -0.04919486     0.1101895     0     
CP4       4.556094     8.851074     -3.720161     -0.0371144     -3.51998     1.175672     0.08676346     -2.384369     0.3063716     -1.886024     -0.6106786     -0.4592748     -1.669007     0.1152261     0.2692168     0.1280223     -2.382618     0     
P4       3.73     8.302526     -0.8973428     0.2049435     -2.65166     0.7364972     0.06663565     -5.241244     -1.032775     -3.387034     -0.8273559     -0.1546638     -0.7683396     -0.009381834     0.332616     0.1256855     0.170805     0     
