         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.02913367     -0.0130264     0.003872008     0.004313876     0.00597653     0.003559002     0.005989868     -0.01045624     0     -0.009553839     0     0.007135162     -0.0004210366     -0.02348205     0.005916212     0.004154359     -0.004042116     0.00842414     
F01       0.02223164     -0.1860538     0.002484438     0.1150409     -0.003783922     0.01502714     0.01597025     0.01707422     0     -0.0586211     0     0.01338021     0.03176345     -0.03763467     0.001179967     0.00215866     -0.02816698     -0.001026187     
F02       -0.05571976     0.0015519     -0.02148813     0.0225697     -0.03402933     -0.01205338     -0.01646499     0.01612103     0     0.02701664     0     -0.006190785     0.07533871     0.02273667     -0.006073912     -0.01570277     -0.00151861     0.002882791     
F03       -0.004875062     0.0116739     -0.0008101376     0.06994705     8.855561E-05     0.0252471     -0.01032007     -0.319092     0     0.08805653     0     0.01143758     -0.002710744     0.008518225     -0.01494836     0.03209983     0.01679967     0.08647318     
F04       0.01144184     -0.2911436     0.002959189     0.409575     -0.006889435     0.02089356     -0.02155236     -0.1906071     0     0.03318326     0     0.02034263     0.0274375     -0.04025652     0.002547475     -0.0007119943     0.02323587     0.02297019     
F05       0.001966273     0.01921711     -0.0030636     -0.02328233     -0.004931828     0.0216654     -0.0182594     0.01749677     0     -0.01506118     0     0.06285351     0.0006139776     -0.02131117     0.01080162     0.01812121     0.10439     -0.2112471     
F06       -0.0001984771     -0.004950091     -0.008494738     0.03938206     -0.009321104     0.01793093     -0.04829445     0.0516002     0     0.08384066     0     -0.02959903     -0.01514274     0.1156799     -0.03085396     -0.1558499     -0.09485658     0.06651808     
F07       -0.00642613     0.02633426     0.01199025     -0.0187277     0.007249441     -0.0009680575     0.1679072     0.04431542     0     -0.4036578     0     0.1526272     -0.01129696     0.01431612     0.002860819     -0.01657796     0.01536203     -0.01101403     
F08       -0.001114569     -0.03197495     0.002324214     0.003217416     0.001586427     -0.03371773     -0.02203147     0.0776822     0     0.2420674     0     -0.3210567     -0.003633216     0.03773161     -0.007923733     -0.01201303     -0.02604251     0.07595885     
F09       0.02779619     0.04188914     -0.1273558     -0.02301616     0.1065325     -0.001734865     0.02424257     -0.00703862     0     -0.03401703     0     0.007405877     -0.005586082     -0.01133397     -0.0006631361     0.004319083     -0.001142907     0.002862003     
F10       -0.001322211     0.3543453     -0.04516795     -0.1075946     -0.04544178     0.02016324     -0.1286534     0.03703509     0     0.1145265     0     -0.06148231     0.03070922     -0.2952949     0.03619454     0.06001758     -0.0330648     0.001050644     
F11       -0.1487068     0.09134369     0.05445682     -0.06307151     0.07295901     0.01198166     0.09614903     -0.02763044     0     -0.08732766     0     0.02471958     0.1599998     -0.2125193     0.01827716     0.02586972     -0.00124681     0.006975386     
F12       0.003944739     0.01532393     -0.006425697     -0.01181491     -0.0177305     0.05553905     0.009959769     -0.08985355     0     0.04522578     0     -0.04166608     -0.002952708     0.03750486     -0.02301797     -0.3162524     0.4423236     -0.1030898     
F13       -0.003678502     -0.02938356     -0.0002693333     0.03884501     -0.001570398     -5.005938E-05     0.01628025     -0.01541993     0     -0.03838032     0     0.02372696     -0.006384128     0.1602537     -0.3498682     0.2520583     -0.02184216     -0.02979541     
F14       -0.02521194     -0.1033286     0.05702286     0.04173417     0.2458295     0.01517025     -0.5507578     0.05153906     0     0.3274437     0     -0.0922849     0.004925497     0.03409755     0.009205077     -0.01838415     0.0007044552     -0.006267502     
F15       -0.00652277     0.1402386     0.001923816     -0.3896233     0.006505491     0.5686029     -0.008092873     -0.3425587     0     -0.006886768     0     0.04141751     -0.008747498     0.01340326     -0.01195467     0.006556942     -0.04951337     0.05669149     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
Pz       0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     
