         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       46.35501     5.579409     -2.20377     -4.06845     3.176527     -3.487723     2.570495     0.5759593     0.9484212     -1.537954     -0.1513793     -1.403215     -0.5845438     1.428807     -0.4765195     0.3639808     -0.8271129     0     
Fz       17.4755     7.470135     -5.646721     -2.196259     2.624667     0.9770855     1.272259     -0.03710155     0.1443176     1.040307     -0.03824686     -2.12977     -0.317968     0.9824901     0.09762054     0.205973     -0.3878139     0     
F3       19.81987     7.201199     -1.284409     -2.495045     2.149268     4.846316     1.459566     0.2426476     0.3691114     1.749817     -0.07496192     -1.22586     0.005636459     0.9876167     -0.1474321     0.3181663     -0.4048947     0     
FCz       11.64364     8.195707     -5.326727     -1.428874     2.609384     0.6626248     0.6112127     0.171824     0.6256458     0.7223845     -4.074843     -0.2512678     -0.4325501     0.8662292     0.1644879     0.1709113     -0.3546937     0     
FC3       12.11693     7.596536     -1.474024     -1.576884     1.158395     1.5476     0.5322437     0.2026175     0.08935155     2.769303     0.05887319     -0.428138     0.06515358     0.8644244     0.1161146     0.2195312     0.403378     0     
Cz       8.594031     8.250067     -4.879038     -0.4052191     2.029922     0.3898518     0.1531786     0.4404634     0.100151     0.4504916     0.3265701     0.7194466     -0.5810586     0.7382416     0.3643356     0.1325175     -0.2521048     0     
C3       8.414523     7.798989     -2.120292     -0.6248451     -0.0509102     0.6012022     0.0367026     0.2817357     0.1675014     1.131933     0.2199871     0.3534535     -0.1799588     0.8040519     0.2951758     0.2066647     1.460465     0     
CPz       6.958285     8.065611     -4.522918     1.065531     1.100765     0.2514965     -0.1446365     1.013623     4.492771     0.4378829     0.4791797     0.9750957     -0.7242937     0.4862337     0.474063     0.09713528     -0.03439617     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.645001     7.726714     -2.643961     0.4422528     -1.314236     0.32326     -0.1695019     0.3448423     0.1588985     0.5190576     0.2645103     0.7350328     -0.2384335     0.6550637     0.3559504     0.2208256     0.6374825     0     
Pz       5.411897     7.378842     -4.124769     3.461389     0.3623681     0.2465464     -0.2534913     0.9567793     0.2758949     0.2377158     0.2611226     1.04169     -0.9471837     0.5189754     0.4947158     0.09812217     0.08337445     0     
P3       5.381004     7.383281     -2.918796     1.877561     -1.809626     0.2046079     -0.2407758     0.4436555     0.03320534     0.2157875     0.2268254     0.8543001     -0.3277837     -1.114086     0.3941178     0.151468     0.4545418     0     
Fp2       48.19694     3.760671     -10.20163     -4.605702     2.791235     0.3137175     -1.569032     0.1858815     0.773858     0.7949669     -0.07086443     -1.166183     -0.2840765     1.425934     -0.2780303     0.4853902     0.2467711     0     
F4       18.82565     6.078809     -8.17079     -2.111463     2.395326     0.8605887     3.66265     0.8890302     0.2167756     1.454905     -0.03415544     -0.6288952     -0.3823513     1.081885     -0.02099873     0.1837569     0.01785374     0     
FC4       12.10354     6.501758     -7.244411     -1.095929     2.235324     0.5194259     1.957463     2.186751     -0.003165374     0.9877311     0.1204645     -0.1465672     -0.6748463     0.8508371     -2.376675     -0.003933696     -0.0355732     0     
C4       8.537194     6.610678     -6.047295     -0.08170398     1.86018     0.3088031     0.6961338     3.068761     -0.07840598     0.4633012     0.2171687     0.2926202     -0.7666821     0.7739587     0.260752     -0.1617298     -0.1600545     0     
CP4       6.697964     6.545833     -5.316511     0.9909927     1.151543     0.2747846     0.1848815     2.718179     -0.01716265     0.4465013     0.2411857     0.5651683     -2.748587     0.5359596     0.5294162     -0.3175863     -0.230636     0     
P4       5.293469     6.194888     -4.646374     2.556749     0.5479629     0.2447382     -0.1261251     2.317237     0.08058371     0.1879971     0.2514156     0.7523574     -1.741233     0.2579961     0.6232615     -2.318335     -0.2777543     0     
