         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0     0.02453716     0.03994417     -0.04410961     -0.00287418     -0.01153227     0.007655833     0     0     0.01781926     -0.003297592     -0.02129286     0     0.05378432     -0.03225918     -0.008050132     0.03136037     0.0005814816     
F01       0     0.006336027     -0.02018243     -0.02088575     -0.04179554     0.004707474     -0.0102993     0     0     0.1663486     -0.007021842     0.02254613     0     0.01218075     -0.01610263     -0.006423472     -0.02797465     -0.004772019     
F02       0     -0.00600538     -0.0137959     -0.01164753     -0.0313441     0.03058226     -0.01502206     0     0     0.08647886     0.0143457     0.02085455     0     0.06489539     0.01219662     -0.01461264     -0.132682     -0.05573668     
F03       0     0.02808426     -0.007835914     -0.2677053     0.09813715     0.04137364     0.03067823     0     0     -0.007061723     -0.02012064     -0.007502984     0     0.0002287971     0.07095783     0.01611121     0.02616007     0.001400923     
F04       0     0.01938006     0.001120993     -0.01511231     -0.03829915     0.01114689     -0.0223023     0     0     0.1309451     0.004009965     -0.08263502     0     0.0009311067     -0.01623093     -0.0078044     0.04950397     -0.0355828     
F05       0     0.01253392     0.01801801     0.08871663     -0.07004707     -0.04660266     0.01635274     0     0     -0.0238896     0.004774625     0.0100057     0     0.1428217     -0.3272061     -0.02439682     0.1682776     -0.004242803     
F06       0     -0.01037308     0.04497386     0.03367495     0.1137461     -0.04941276     0.04453482     0     0     -0.0372666     -0.007855204     -0.0257985     0     -0.0677564     -0.04600043     -0.02674938     0.02069711     0.01537274     
F07       0     -0.01285341     -0.01575043     0.178181     0.0142902     -0.2417022     -0.04333725     0     0     0.06207533     0.007302612     0.01058976     0     -0.03131836     0.05584489     -2.251744E-06     0.01516986     0.008850656     
F08       0     -0.01823051     0.05225103     0.02786411     -0.08136979     -0.02311745     -0.02653965     0     0     0.1238667     -0.0299724     -0.06573999     0     -0.008481346     0.0300847     0.043613     -0.1722654     0.1446312     
F09       0     -0.009334004     -0.03833724     -0.004778708     0.02652826     0.08345522     0.02379869     0     0     -0.04544578     -0.1927769     0.09523207     0     0.01560242     -0.01082721     -0.03773197     0.0627723     0.04015621     
F10       0     -0.07432927     0.06505293     0.04803609     -0.147652     -0.02788749     0.1285826     0     0     -0.01478605     0.005801395     -0.0187261     0     -0.003826867     0.08296704     -0.08227473     0.03603436     0.001655376     
F11       0     0.03812143     -0.1890585     0.0796982     0.1716378     -0.1503102     0.1130053     0     0     -0.08139968     0.008347872     -0.01267259     0     0.0364884     0.01494807     -0.05848419     -0.005699607     0.05502479     
F12       0     0.2194082     -0.00413754     -0.06242266     -0.1251604     -0.05077419     -0.009529591     0     0     0.07979914     -0.009013609     0.005207199     0     -0.09607219     0.04179238     -0.008172254     0.01821665     -0.01996093     
F13       0     0.04119059     -0.01668096     -0.08169916     0.07837441     0.1021403     -0.1007783     0     0     -0.02108299     0.01362464     0.00803166     0     -0.01141336     0.1042252     -0.2038459     0.00264467     0.07192633     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
CPz       0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     
