         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       38.92218     5.336751     1.485251     -2.138486     -3.704276     0.8766461     1.099292     0.2838782     1.029528     1.869385     0.9142103     2.796623     0.7628374     0.4136502     0.6870342     1.271771     -1.03634     0     
Fz       14.42666     7.890658     3.67612     -1.677384     -0.1755111     1.462924     1.995758     1.101877     1.002147     2.100612     1.692337     1.100656     -0.02676511     0.2220995     -0.6291471     1.247091     -0.8005853     0     
F3       15.03763     5.986556     3.068709     -1.378546     -3.772716     0.8587787     4.068088     1.150332     1.005236     1.445394     1.832745     1.392335     0.6569234     0.1295459     -3.784394     1.139085     -0.517794     0     
FCz       9.384676     7.273591     5.86014     -0.2911383     -0.1582731     1.602628     1.83106     1.386986     1.112138     1.877751     1.411528     1.101034     -0.236565     0.3132159     -0.4789904     1.084135     -0.3548445     0     
FC3       9.096556     5.82864     3.866793     -0.05070874     -3.109442     0.8990676     5.986418     2.9577     0.9650261     0.8186914     2.143284     0.874798     0.9196944     0.1215205     -1.082235     1.00757     -0.4162928     0     
Cz       6.017546     7.076516     6.249845     2.381999     -0.226619     1.60024     1.458302     1.575439     1.179661     1.619224     1.798895     0.9017875     -0.5879564     0.3993143     -0.2002465     -0.7381917     -0.510757     0     
C3       5.774923     5.575358     3.954999     1.670722     -2.563181     0.8479685     3.329622     6.283173     0.9881047     -0.2493414     2.164234     0.8208374     1.295246     0.184583     -0.8429516     0.422587     -0.369586     0     
CPz       4.296423     6.947771     5.131626     4.815991     -0.2979111     1.3472     1.082171     1.558347     1.432678     0.6351009     1.462093     0.6835575     -0.9168647     0.3695033     -0.1380399     0.2816453     -0.8287635     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.965937     5.869355     3.938457     3.560633     -1.666529     0.8991717     1.686855     3.279613     1.3278     -1.906376     3.049299     0.5700494     1.634305     0.1618833     -0.383529     0.4283732     -0.2154983     0     
Pz       3.170215     7.013637     3.732226     5.649462     -0.3291548     1.158385     0.8021494     1.402413     1.732019     -1.081805     1.013996     0.502232     -1.444173     0.2992614     0.007303551     0.1087639     1.381442     0     
P3       2.929439     6.534745     3.499121     4.735676     -1.142446     0.9680757     1.09074     1.918005     1.336358     -3.596204     1.141622     0.4353261     1.656905     0.2375812     -0.2193702     -0.2692763     -0.3272629     0     
Fp2       46.23022     5.581265     1.753678     -1.922633     3.867129     0.8520002     1.361353     0.5949849     1.141174     1.825618     0.9344198     -0.3979563     0.3862852     0.2339533     -0.1182402     1.471773     -1.047018     0     
F4       16.83597     6.737514     2.660549     -1.206424     4.209442     2.138632     1.566008     0.8630425     1.474364     1.853728     1.352056     3.606362     -0.2839242     0.1184969     -0.8049648     1.147106     -0.7719676     0     
FC4       10.1874     6.441885     3.426404     -0.03218696     3.187985     6.81616     1.397094     1.095208     2.204736     1.455941     1.359225     2.482805     -0.864794     0.2899641     -0.5993726     1.139648     -0.6180581     0     
C4       6.38977     6.271013     3.883912     1.975367     2.084108     3.78742     1.024491     1.138129     3.092311     0.744015     1.330007     1.459386     -1.494888     4.205108     -0.3307725     0.487565     -0.5584019     0     
CP4       4.38814     6.111267     3.668691     3.320331     1.230984     2.07216     0.7772345     1.136475     4.371075     -0.8645255     1.160831     0.8906555     -2.587694     2.685801     -0.0377503     -0.0490515     -0.7440701     0     
P4       3.170809     5.995495     3.255099     4.357554     0.6019463     1.37189     0.596633     1.077403     2.977146     -3.142189     0.9509828     0.6485968     -3.950821     1.788424     0.103461     -0.1601215     -0.4952515     0     
