         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.003093961     -0.01487049     4.863063E-05     0.008186599     -0.00297314     0.000204683     0.003289158     -0.004861967     0     -0.003126937     -0.004230265     0.009178009     0.02612439     -0.00216844     -0.000191641     -0.01327241     0.009490901     0.001633565     
F01       0.001433363     -0.2822747     0.04409507     0.03713631     0.01076687     0.09926185     0.04001809     -0.04973439     0     -0.06142333     0.06685342     -0.01244949     0.03979598     0.009593119     0.01130245     0.1062684     -0.082373     -0.02106161     
F02       0.001223147     -0.02488996     0.002109334     0.02218625     0.003661712     0.0160832     -0.02334488     0.03841345     0     0.04252372     -0.2737738     0.0799214     -0.0004384719     0.005590424     0.0133763     -0.03801446     0.03335455     0.08745962     
F03       0.0001669812     0.02144504     -0.00262957     0.08192991     -0.003479042     -0.06407739     0.001441555     -0.3350404     0     0.09576023     0.3180634     -0.1124088     -0.006890602     0.007260251     -0.01803941     0.06366562     0.03182263     -0.1006528     
F04       -0.003059546     0.03820765     0.01425714     0.01700066     0.01328521     0.04621553     -0.02305458     -0.009073581     0     0.01006083     0.02077037     -0.03830149     0.010709     -0.01735364     0.01791556     -0.3746549     0.2842401     -0.05554661     
F05       -0.00562362     -0.1675978     0.1876192     0.02260809     0.009257073     0.007765615     -0.0190488     -0.007062179     0     -0.03491727     -0.01509703     0.03101985     -0.007573284     0.002261778     0.009521645     0.04314582     -0.03602048     0.02915168     
F06       -0.001866945     0.2848895     -0.01365456     -0.3813013     -0.01835073     0.0370104     0.1128871     0.1879608     0     -0.1726912     -0.07032874     0.05923671     -0.02779173     0.006093375     -0.009330858     0.06429246     -0.09635703     0.01859134     
F07       -0.0009568046     -0.03171149     0.02063522     0.08150017     0.1081935     -0.09453724     -0.277736     0.1527189     0     0.05072882     -0.05814986     0.03985514     -0.0005540869     -0.001172927     -0.007820806     0.02051636     -0.01656078     -0.01395844     
F08       0.001675805     0.02654782     -0.0004259146     -0.04537619     0.01065243     0.04256807     -0.05473044     -0.02376174     0     0.2074299     0.1301105     -0.2937056     -0.005151416     0.0001658117     -0.006682996     0.01118573     -0.02124769     -0.003265216     
F09       5.48465E-05     -0.01650588     0.003470259     0.001818861     -0.01954983     0.02275164     0.04618159     0.05355501     0     -0.02298249     0.004233596     -0.01538007     -0.002187823     0.01203891     -0.002428912     0.1625093     -0.3727025     0.1337055     
F10       -0.001782694     0.0419797     -0.002350348     -0.06819428     0.01026252     0.06093493     -0.02689811     -0.06060066     0     -0.005684589     0.1053286     0.05526048     0.0001480389     -0.008289057     -0.007184315     -0.0393305     0.2324446     -0.3055553     
F11       0.121547     -0.007732768     -0.04996531     0.008172945     0.002152924     -0.01228433     0.01635591     0.00531888     0     -0.02261389     0.007978693     0.001209136     -0.1125224     0.009396074     0.04018421     -0.0106791     0.00224825     -0.004317515     
F12       -0.002198744     0.03716905     0.005410385     -0.0819897     -0.07041378     0.2009688     0.3687469     -0.1831883     0     -0.5925213     0.03658509     0.2680344     -0.003108672     -0.003838363     0.008355749     -0.0576983     0.091257     -0.02584055     
F13       -0.0008011778     0.1545108     -0.0176814     -0.04839243     0.003022114     0.02236055     -0.003784666     -0.01902789     0     -0.01183968     -0.00588466     0.01040351     0.01483099     -0.07059874     -0.2461962     0.3684335     -0.2117199     0.05489624     
F14       0.000528135     -0.009181979     -0.2269013     0.001042951     0.4213289     -0.05256625     -0.1624293     0.03964373     0     -0.04784508     -0.0006124023     0.02929634     0.01766158     0.007950371     0.004256991     -0.01187572     0.007348007     -0.003641214     
F15       -0.001683627     -0.1448661     0.02572352     0.2996068     -0.06764698     -0.3793351     0.1940858     0.3053714     0     -0.2298839     -0.05862873     0.06223613     0.01336282     -0.005339111     -0.001920422     0.01968552     -0.01802018     -0.03134612     
F16       -0.004178827     0.1188396     -0.00610081     -0.02430601     -0.0109418     -0.04504415     0.01555397     0.04009267     0     -0.01881081     -0.004815588     0.0004268607     0.03698508     -0.2454363     0.1375895     0.05719164     -0.07038955     0.0155993     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
