         Fp1        Fp2        F3        Fz        F4        FC3        FCz        FC4        C3        Cz        C4        CP3        CPz        CP4        RightEar        P3        Pz        P4        
F00       0     0     0.04757861     0.02685034     0.01401992     -0.003871433     -0.0275711     -0.008981749     -0.02092074     0     -0.002363726     -0.008292286     0.0005712208     -0.009350185     0     0.006636137     -0.0006451422     0.01660116     
F01       0     0     -0.0182584     0.01683188     0.0008814263     0.004754102     0.01993696     -0.001111207     0.03905768     0     0.003670836     -0.006923629     -0.1205972     0.005473832     0     0.03368505     -0.05376007     0.03461485     
F02       0     0     0.04135801     0.04396865     -0.006311317     -0.0001495811     -0.01184016     -0.006557378     -0.2442458     0     -0.001267409     0.06370665     0.09213756     -0.005580307     0     0.002908754     0.009202659     -0.04562966     
F03       0     0     -0.1009667     0.1370746     -0.03007001     -0.01225878     0.03561965     0.01303147     0.01024218     0     0.002460687     -0.03900897     -0.03470882     -0.001568183     0     0.01143642     0.01506571     0.004138592     
F04       0     0     -0.04940903     0.152189     -0.01217255     -0.06180646     -0.1306905     -0.01471374     0.09055591     0     -0.01112231     -0.004492518     0.06900664     0.00111044     0     -0.01021426     -0.04716688     0.01885827     
F05       0     0     -0.01771199     0.01676036     0.001251293     -0.01191     -0.01054306     0.001004727     0.02945465     0     0.00619829     0.03839495     0.07695671     0.009720604     0     -0.008454297     0.02136778     -0.1809191     
F06       0     0     -0.07316945     -0.07956885     0.1200171     0.007468151     0.03336517     -0.02000132     0.01639781     0     -0.002113488     0.01565673     0.009231403     -0.01558924     0     0.004341106     -0.0135526     -0.005130337     
F07       0     0     0.004439375     -0.01709178     0.001268195     0.00753815     -0.01680222     0.003920481     0.03900812     0     0.0007403289     0.03532622     0.03721988     -0.008134877     0     -0.1842524     0.0232997     0.04750566     
F08       0     0     0.00257175     -0.01298852     0.001679307     0.01635893     -0.01977958     0.0006561992     0.1533459     0     0.001185923     -0.314508     0.07239457     0.00427097     0     0.09493767     0.01503624     -0.03513922     
F09       0     0     0.004663598     -0.03218065     0.0145502     0.003288032     0.0417424     0.04451856     0.006609912     0     -0.1590617     -0.005165663     -0.00510199     0.05870532     0     -0.01111498     -0.0005603477     0.03031221     
F10       0     0     -0.0184754     0.02802785     0.004932915     0.004801619     -0.006595672     0.01847624     0.03400452     0     0.006566421     -0.00841855     0.0354211     -0.2501727     0     -0.02427876     -0.02153289     0.178122     
F11       0     0     0.002035911     -0.01786774     0.06263223     0.01153342     0.08875039     -0.196026     -0.007192963     0     0.009669798     -0.01028415     -0.01267215     0.03908634     0     -0.007824378     0.001756895     0.01893423     
F12       0     0     0.02674514     -0.0532893     0.003451476     0.01257829     0.01032921     0.0002256723     -0.05816263     0     -0.008111562     -0.019451     0.2390511     -0.03323413     0     0.08452235     -0.3113961     0.1171435     
F13       0     0     -0.1214405     0.08667081     0.001079425     0.2445779     -0.1053988     -0.0100278     -0.116713     0     -0.01098101     0.009787762     0.02935495     0.00563811     0     -0.003720845     -0.007320235     0.007819976     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Fp2       0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
