         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.02275974     -0.01621035     -0.005721972     0.01024652     -0.007179773     0.003692076     0.002755036     -0.004041435     0     6.427864E-05     -0.00342099     0.003638984     0.01219391     -0.007131389     0.0002872292     -0.002601532     -0.002343744     0.008680522     
F01       -0.002408962     -0.007895552     -0.01904877     0.04456864     0.03625562     0.01233367     0.0261621     -0.2700526     0     0.01100077     0.1762163     -0.03690304     0.0005030069     -0.0008178276     -0.002029222     0.03741629     0.01871678     -0.02050772     
F02       0.03805414     0.001241851     -0.02771092     0.04440768     -0.006608832     0.01587887     0.03271133     -0.01388664     0     -0.01588061     0.01988709     -0.02183451     0.02025745     -0.1823471     0.01015936     0.06817471     -0.0203343     -0.01177025     
F03       -0.001021782     0.0008846419     0.01365243     -0.01876414     -0.0224897     0.01049598     0.007218208     0.1339586     0     0.006150609     -0.2057035     0.02558174     -0.001333725     0.002197743     -0.001139314     -0.009226802     0.007134133     0.02599356     
F04       0.0134383     -0.05291787     -0.02364632     0.2422748     -0.03339391     -0.005283342     0.0003229742     -0.1044787     0     -0.005135347     0.02550003     0.01033355     -0.001634065     -0.04708226     0.002468953     -0.01997942     -0.008668897     0.03044415     
F05       -0.01176329     0.00257912     -0.03305483     0.002382837     0.04907013     0.004744506     -0.02205154     0.09620402     0     -0.001621496     -0.01335514     -0.02798908     -0.002434523     0.1260597     -0.001388028     -0.261457     -0.01975836     0.06712746     
F06       -0.004688928     0.01419373     -0.1717555     0.0277618     0.02413764     0.003210781     -0.01598755     0.02403862     0     -0.0009853004     -0.01186628     0.01132771     0.02937764     0.06557413     -0.004743014     -0.01022265     0.004858646     -0.01276593     
F07       0.002483258     -0.002148709     -0.002265839     -0.01468994     -0.01926484     0.001996139     0.01686199     -0.01855483     0     0.007116235     0.09799986     -0.0114237     0.002536878     -0.01681568     -0.003466998     0.08626289     0.007811039     -0.1513726     
F08       -0.0008954001     -0.009197944     0.005594641     -0.0401514     0.02690583     -0.01085544     0.0280635     0.05212243     0     0.007776765     0.04625037     -0.1324675     0.0001325493     -0.002939402     -5.516601E-05     -0.003888322     0.002165532     0.0393454     
F09       -0.007049666     -0.01951066     0.3565641     0.06587661     -0.5466722     0.01444453     0.07217166     0.0324253     0     0.01456576     -0.0161016     0.02825319     -0.0192888     -0.03060438     0.005085354     0.02490956     0.01714407     -0.02866354     
F10       0.006372166     -0.3893252     0.09866676     0.2129906     0.02174462     -0.002185785     -0.01589068     -0.03034043     0     -0.008403599     0.007178735     0.004387744     -0.001366122     0.1341559     -0.003479458     -0.02762421     0.003538508     -0.001152707     
F11       0.002326382     0.007560017     -0.02786066     0.151752     0.03685781     -0.3062829     -0.0192838     0.224076     0     0.008001994     -0.05886737     -0.005132471     0.001984577     -0.02860354     0.002866058     0.01273181     0.0003805192     -0.01568306     
F12       0.1441103     -0.0009451946     -0.08447593     -0.006421205     0.01771799     0.0009493253     -0.0301663     0.01078878     0     0.004394665     -0.002626645     0.007478699     -0.1426623     0.09218908     -0.02252926     0.01287534     0.01093377     -0.0141858     
F13       -0.005199905     -0.01316787     -0.057841     -0.03597401     0.3881531     0.01028681     -0.4335189     0.0494701     0     0.0638478     -0.0304313     0.04694784     0.0104433     -0.03923822     -0.008032721     0.0526003     0.03157769     -0.03657403     
F14       -0.004183684     -0.006170635     -0.01895958     -0.04660731     0.1373237     -0.009764757     0.0609265     0.07654127     0     -0.318262     -0.02639418     0.1471253     0.0002194254     -0.004183519     -0.01184373     0.03038492     0.03004653     -0.03452284     
F15       0.0002947685     0.01516556     -0.01406841     0.02572146     -0.03117204     0.0006276397     0.04629049     -0.04435765     0     0.005331811     0.003319168     -0.007057976     0.006817208     -0.007649021     0.01021277     -0.2275977     0.3178792     -0.1032339     
F16       -0.01366246     0.009141153     0.0002535818     0.02708017     -0.006504155     8.150236E-05     -0.0006873897     -0.02026176     0     0.01012127     0.003003223     -0.003578191     0.006350307     0.09782329     -0.2683495     0.1662263     0.005476452     -0.01803558     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
