         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       38.8065     -0.6869699     -5.47316     1.443476     3.22427     -0.3259391     -4.433792     4.448605     2.507762     -0.7394075     -2.29523     0.01741965     1.78295     0.228964     0.4961972     -0.1076094     -0.2814791     0     
Fz       13.54253     -3.770575     -8.982706     -0.07141334     7.785878     -1.796991     -4.144109     4.361048     3.066805     -1.390813     -4.353904     -0.7963944     -0.7629869     -0.1417573     0.3748434     -0.08367222     -0.1293987     0     
F3       14.68293     -3.404926     -7.589991     -0.1675907     5.066661     -1.456607     -7.849496     3.858186     2.245685     -1.212075     -1.58038     -0.6658237     -1.244422     -0.01190089     0.3008743     -0.01583997     -0.02123193     0     
FCz       8.654242     -6.368218     -7.53799     -1.671457     9.919589     -2.62182     -3.459592     4.058107     2.989516     -1.845009     -1.746948     -1.018405     -0.8138936     -0.4238523     -0.004462954     0.2258409     -0.04131321     0     
FC3       9.235732     -5.425997     -6.368683     -1.816291     5.141982     -2.360711     -6.525604     3.15806     1.268002     -3.685193     -1.090626     -0.9031489     -0.9574385     -0.660814     -0.1543857     0.352974     0.006382335     0     
Cz       6.116016     -10.25325     -6.156465     -4.259773     7.827996     -3.364564     -3.093163     3.412089     2.908443     -2.327521     -1.283112     -4.478883     -0.7053807     -0.5893672     -0.3840628     0.5626962     0.008425494     0     
C3       6.450347     -7.740627     -5.29457     -3.99412     4.047397     -3.611577     -5.651507     2.138889     -0.3002447     -4.045335     -0.5740091     -1.075571     -0.9592762     -3.317303     -0.9239297     0.8486166     0.1823897     0     
CPz       4.582937     -13.07098     -5.379743     -8.737579     5.033469     -4.050472     -2.755475     1.433963     2.212715     -2.344636     -0.6606429     -1.417987     -0.593763     -1.062279     -0.6457471     0.8530064     0.125756     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.656578     -10.13427     -4.854638     -7.399351     2.733405     -4.400095     -4.871243     0.4032682     -2.945167     -3.758994     -0.1844995     -1.025498     -0.7853857     -1.798494     -3.996814     1.156193     0.3190252     0     
Pz       3.241399     -11.15969     -4.167707     -13.49617     3.204975     -3.876376     -2.356183     -0.6905098     0.4627363     -1.958976     -0.3424483     -1.352114     -0.4780851     -1.13575     -0.7944207     0.9258218     0.1846896     0     
P3       3.274772     -11.78614     -3.936614     -11.72752     1.654383     -4.791751     -3.66997     -2.667603     -7.413653     -3.028111     0.1263261     -1.104427     -0.6368659     -1.848999     -1.19071     1.125669     0.2676376     0     
Fp2       39.43186     -0.2946584     -7.260974     1.542846     2.789386     -0.7604175     -0.3947946     4.574194     3.039225     -0.4844492     -2.148721     -0.02575774     -4.581879     0.5226021     0.6017762     -0.1920117     0.09341129     0     
F4       15.20375     -2.26319     -10.67997     0.3343565     4.787489     -2.260127     -1.078226     3.67146     3.483335     -0.9582977     -1.415578     -0.741865     -0.3285666     -0.3523841     0.4494809     -0.4744855     -0.3532091     0     
FC4       9.295853     -3.91896     -8.481938     -1.095629     5.056205     -4.77416     -0.9295534     2.492596     3.482274     -1.187371     -1.23528     -0.8657321     -0.5830734     -0.3117195     0.1117626     -0.2614906     -3.920971     0     
C4       6.428765     -5.695888     -6.709091     -3.151153     4.226528     -6.591575     -0.8352708     0.6240723     3.412418     -1.377205     -0.857523     -0.9815016     -0.3476686     -0.3953596     -0.01144033     -0.1568792     -0.1015916     0     
CP4       4.679569     -7.266347     -5.715533     -5.938492     3.253093     -6.395635     -0.9236363     -2.388378     2.94499     -1.352474     -0.4646927     -1.080255     -0.2295774     -0.2991314     -0.1604188     3.250137     0.106233     0     
P4       3.181062     -8.089957     -3.806745     -9.298222     2.2407     -5.446868     -0.929414     -7.723802     1.647617     -1.465646     -0.2467737     -1.123227     -0.319118     -0.9819092     -0.679988     0.6327914     0.1983121     0     
