         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       40.12035     -4.626216     -1.025889     -1.540396     -1.980312     3.590722     -0.8544031     -0.05764     3.284609     1.038216     1.776922     7.357698     0.8249998     0.715434     0.325393     -0.2516552     -0.3799172     0     
Fz       12.54731     -9.033653     -2.785321     -3.380597     -4.126075     2.89874     -3.315864     -0.709221     3.644549     1.348689     2.162452     -0.2083817     2.195227     -0.6138824     0.6107166     -0.581278     -0.2255891     0     
F3       11.99289     -6.847185     -1.852828     -2.286709     -2.098875     7.703773     -1.980391     -1.410468     2.868719     1.386526     2.259942     0.05749473     1.063748     -0.2287245     0.5162135     -0.1437593     -0.2416344     0     
FCz       7.676748     -8.164963     -3.816473     -5.149502     -4.283482     2.556621     -6.260125     -1.195202     3.433528     1.491736     2.237007     -0.1411911     2.367247     -0.441384     0.654667     -0.1903757     -0.3396741     0     
FC3       6.973503     -6.139103     -2.462406     -3.22194     -2.18468     5.974179     -2.704898     -4.000582     1.835524     1.175907     2.232615     0.06134361     0.3451167     -0.03244615     3.394626     -0.2076767     -0.1871911     0     
Cz       5.329359     -6.05603     -5.705318     -7.225315     -3.991009     2.31593     -5.508347     -2.289221     2.678964     0.5538133     2.096973     -0.1102826     1.885696     -0.2682328     0.4968379     -2.010407     -0.3883367     0     
C3       4.784546     -5.202497     -3.607323     -4.078177     -2.306327     4.089004     -2.864179     -7.196802     0.01925944     0.6041402     1.924061     0.01336598     -0.7284005     -0.01025041     1.761589     0.2404849     -0.2530338     0     
CPz       4.201638     -4.949543     -7.969039     -7.122362     -3.496647     2.20429     -3.500799     -2.770579     0.3722621     -1.403943     0.5682341     -0.04714066     -0.2530179     -0.3233677     0.5539548     -0.5927258     -0.3907074     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.586067     -4.537158     -5.076042     -4.176706     -2.191257     3.065655     -3.101852     -6.043108     -2.613731     -0.1031763     1.328545     -0.01166616     -2.605227     -0.078928     0.9533395     -1.269596     -0.2433337     0     
Pz       3.179508     -3.825288     -10.37205     -4.63256     -2.670933     2.032055     -3.033923     -3.043238     -2.426805     -2.265384     -1.34845     -0.005574898     -0.8102983     -0.3583122     0.4556683     -1.579644     -0.3066639     0     
P3       2.828328     -3.833611     -7.022339     -4.013368     -2.042701     2.406022     -2.742542     -4.276321     -6.194623     -0.6819333     0.3056345     0.0500356     -1.991417     -0.09629534     0.621031     -1.827127     -0.2618845     0     
Fp2       41.74817     -4.031757     -1.174636     -1.502871     -3.484085     1.225416     -0.8210912     0.4990637     3.638205     0.5323133     1.296841     -1.063774     1.335739     -0.7413976     0.4249492     -0.119314     -0.2100008     0     
F4       15.62079     -6.81607     -2.340474     -2.644835     -6.154596     1.928551     -2.071755     0.02897364     3.618998     0.4024769     1.292817     -0.5283137     1.978235     -2.655295     0.4228685     -0.4444056     -3.494473     0     
FC4       9.430013     -6.120225     -2.963668     -3.440803     -7.196257     2.047588     -2.96865     -0.396861     3.305974     -0.7914429     0.977182     -0.2698166     2.00794     -4.057751     0.4570169     -1.041467     1.057394     0     
C4       6.079039     -4.730373     -4.236295     -4.259807     -7.194387     2.052897     -3.152622     -1.208722     2.546847     -3.773683     0.1145649     -0.2192224     1.37283     -0.4702721     0.3824251     -0.7969519     -0.05811259     0     
CP4       4.472843     -4.183686     -5.746188     -4.755891     -5.0768     1.92111     -3.006314     -2.058263     1.088413     -6.285081     -1.550308     -0.1509047     0.7600791     -0.3508009     0.3418387     -1.020706     -0.301426     0     
P4       3.262438     -3.487922     -7.277436     -4.228868     -3.406855     1.788733     -2.520799     -2.338779     -1.368659     -4.979024     -4.977344     -0.1113215     -0.02750576     -0.1565049     0.3205462     -1.835068     -0.2356118     0     
