         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       33.98071     -5.618329     -6.97185     -1.097409     2.10817     3.62926     -3.601586     -0.3165101     -1.387421     -1.365237     0.7673765     -1.368161     -0.6233643     -0.07285713     -0.06582048     -1.046805     0.09490252     0     
Fz       10.98401     -9.270792     -11.25863     -4.645654     1.679803     4.469371     -6.965112     -0.02307566     -1.857461     -1.239868     1.413843     -1.403311     -0.2796372     -0.1164303     -0.2426629     0.1650122     -0.1515432     0     
F3       10.88349     -8.040303     -13.53635     -1.335305     1.22271     2.260891     -3.186907     -0.6776839     -1.111677     -1.370748     0.4534614     -0.2779066     -6.862478     0.1358577     0.5126646     0.2138037     -0.01536891     0     
FCz       7.022006     -11.4582     -10.64093     -3.614223     1.04627     3.767826     -5.587383     -0.1183298     -2.025978     -1.241669     1.125939     -1.793759     -0.6832662     0.140301     -0.3864703     -3.901065     -0.2468929     0     
FC3       7.176942     -8.814288     -13.04017     -0.5656174     0.1372437     1.499098     -1.21688     -1.278265     -0.9371899     -1.419607     -0.6784864     -0.7155403     0.1699964     -0.2401569     -0.2218423     0.1461645     -0.03706904     0     
Cz       4.999331     -13.90882     -7.806938     -2.895822     -0.9318743     2.834957     -2.923132     -0.4321201     -1.637334     -1.533931     0.01004881     -1.383402     0.09529011     5.608017     -0.2804472     -0.7244062     -0.2051574     0     
C3       5.065693     -10.33647     -9.642097     -0.6256186     -2.299771     1.303623     -0.8648703     -2.804288     -1.258338     -1.616283     -3.493013     -0.5407048     -0.4635357     -0.08804847     -4.939014     0.142589     -0.03226038     0     
CPz       4.05147     -15.06417     -5.332652     -2.548179     -4.174954     2.195937     -1.337299     -0.8373271     -1.046693     -3.074839     -0.7921367     -0.9441013     0.06693173     -0.1061722     -0.2315141     -0.03799754     -0.2412601     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.94383     -11.06695     -7.292258     -0.9515302     -5.839089     1.257563     -0.9012473     -4.760201     -0.8595679     -2.384485     -6.241087     -0.4803149     0.2199926     -0.1124684     -0.2919094     0.01189202     -0.1228449     0     
Pz       3.295854     -13.91645     -3.89604     -2.29334     -8.40306     1.748544     -0.560796     -1.294423     -0.6605081     -6.434049     -1.030637     -0.6301665     0.1218305     0.01015919     -0.25249     0.2152436     -0.2512397     0     
P3       3.169233     -10.65795     -5.227277     -1.211315     -10.69328     1.098337     -0.2363769     -7.647824     -0.6930584     -2.881049     -3.461662     -0.3333241     0.2736838     -0.1331685     -0.476492     0.2485012     -0.2064172     0     
Fp2       32.42373     -5.553873     -6.30427     -13.83666     2.155699     3.477737     -3.900312     0.3065402     -1.778253     -1.284049     1.147939     -1.715154     -0.3314603     -0.06797936     0.1070212     -0.8051673     0.1284342     0     
F4       12.03859     -7.883329     -8.665942     -8.509839     1.498904     8.397797     -4.102944     0.6893468     -2.655942     -1.006861     1.232993     -2.158898     -0.3213339     -0.1074368     0.06940722     -0.6198589     -0.1230407     0     
FC4       7.071043     -9.383924     -7.889275     -6.22816     0.1817802     7.128712     -3.313825     1.203258     -4.257053     -0.9676155     0.8619218     -5.638706     -0.7153621     -0.100453     0.1082451     -0.4787987     -0.3728784     0     
C4       4.993437     -10.74129     -5.597898     -4.87668     -2.54294     4.886761     -1.863943     2.29704     -6.64696     -0.9761889     0.2618586     -1.63703     0.02955098     0.03547155     0.2164345     -0.2491115     -0.2844496     0     
CP4       3.891911     -11.35708     -4.046493     -3.791429     -6.249638     3.507904     -1.01073     3.47473     -4.355631     -1.560497     -0.1303041     -1.363053     -0.2508087     -0.02906219     0.1098533     0.04119509     -3.615988     0     
P4       3.174367     -10.68066     -2.879337     -2.953226     -10.59039     2.379729     -0.7032302     4.262001     -1.917118     -2.401927     -0.2292468     -0.9030632     0.09490743     -0.004075958     -0.0407269     0.09212635     -0.5965334     0     
