         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       37.01732     28.60342     4.815307     2.403651     0.9796604     4.508506     -1.699643     -1.462296     -2.6788     -0.3259081     0.01161856     0.2023675     -0.3291968     -1.725838     1.731696     0.2006296     0.2873576     0     
Fz       13.74693     8.408284     9.513018     4.296743     0.1262669     4.691511     0.05239441     -1.132214     -5.128523     -0.3516988     -0.06318398     0.5831777     -0.06878688     -0.7741801     1.116788     0.4992641     -0.3094949     0     
F3       14.55198     12.70455     7.190924     6.80997     0.3830073     2.376435     0.1634677     -0.648791     -3.755286     -0.9056863     -0.4818788     -0.64979     -5.468627     -1.245572     0.2728976     1.302225     -0.1122441     0     
FCz       8.597769     5.071314     11.7072     4.280078     -0.81643     3.979378     0.9352698     -1.855547     -3.247486     -0.5861292     -0.1725935     0.6678851     -0.05668845     -0.6883585     -1.914719     0.450635     -0.231321     0     
FC3       8.006477     7.717933     7.524882     10.4559     -0.7169525     1.452098     1.052368     -2.061968     -2.837339     -1.657759     -0.3996977     -1.140586     -0.7659744     -1.129152     0.06834657     2.319414     0.254412     0     
Cz       5.778756     3.418653     11.37648     4.211476     -3.935069     3.365921     1.715104     -0.5996647     -0.7860898     -1.137338     -0.2865104     0.6381291     -0.5000821     -0.6189214     1.310288     0.2210383     0.3619699     0     
C3       5.23868     5.45431     7.233657     9.903492     -2.338536     1.279144     2.030291     -2.871029     -1.654842     -3.312582     -0.4528145     -1.19598     -1.062917     -0.9931376     0.2919713     -2.330941     0.4600318     0     
CPz       4.433265     2.495897     8.937237     3.872448     -7.041032     3.148159     3.583698     -0.6474465     -1.688995     -1.978314     -0.6239668     0.6948242     -0.4776584     -2.150463     0.1391098     -0.01078817     0.8110548     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.81383     3.538488     6.214038     6.412221     -4.764707     1.795723     -0.3998924     -0.9630836     -1.794014     -6.684953     -0.01135416     -0.6534058     -0.3832183     -0.1002177     -0.6952439     -0.2167864     -0.9996486     0     
Pz       3.410868     1.88504     6.505242     3.487694     -9.484802     2.81645     0.8561913     -4.293401     -2.31401     -2.057914     -0.9031239     0.2866875     -0.7254753     -0.6078379     -0.5883442     0.02414544     -1.154369     0     
P3       2.849679     2.345524     5.290209     4.283811     -6.585644     2.100998     1.176761     -8.011665     -1.780216     -6.192625     -0.4168817     -0.1225348     -1.415139     -1.077369     0.188222     0.1711668     0.3845115     0     
Fp2       44.71611     23.56305     4.794019     2.061707     0.6298965     4.450724     -1.863339     -1.317981     -2.830452     0.1032687     0.5964191     0.749971     -0.3374625     -1.624434     1.976744     0.278253     0.129464     0     
F4       16.16797     6.692886     6.742605     4.387475     -0.318055     8.045197     -0.5072777     0.1395116     -2.226262     0.1618352     0.1969109     1.900844     -0.5918484     -0.7713611     0.4183833     0.5201753     -0.4216591     0     
FC4       10.71684     3.748427     7.163659     5.597414     -1.676745     6.758446     0.3345546     0.1701891     -1.679418     -0.02853589     1.129049     4.790854     -0.5119714     -0.6805958     0.5500497     0.4649991     -0.6903992     0     
C4       6.884302     2.337181     7.367763     4.376375     -4.091289     5.308423     9.066067     -0.9348328     -1.044318     -0.349797     3.367472     3.459018     -0.9235682     0.1322752     2.520881     0.1664969     -1.961162     0     
CP4       4.887277     1.645742     6.696691     3.562121     -6.589365     4.195061     2.301301     -1.806183     -1.44574     -0.4208646     4.647506     1.635757     -0.6646114     -1.795035     -0.01985648     0.1852469     -0.6500511     0     
P4       3.56103     1.36034     5.1162     3.038676     -8.768636     3.423463     -0.03171888     -3.354403     -2.60685     -0.1311484     4.330472     0.7312989     -0.4666425     2.034032     -1.174942     0.3297566     1.847255     0     
