         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       32.15724     -4.888003     -0.7825654     2.772715     1.632766     3.036681     0.5471225     0.9213859     1.607765     1.147509     -0.09128495     -0.3886951     1.053535     -0.1056665     0.087804     -0.3954911     -0.03472997     0     
Fz       13.17186     -7.437446     -0.4612367     -1.991199     2.288608     4.057362     1.708658     0.5715838     4.129514     1.042763     0.132477     -0.320614     1.197094     -0.0526038     0.203236     -0.5488039     -0.6224504     0     
F3       13.42594     -6.743085     13.67943     1.611263     1.814081     3.462535     4.356297     -0.9520643     3.152964     0.5233915     0.1741674     -5.473632     0.9177852     -0.2050945     0.4343623     -0.7521567     -0.1771101     0     
FCz       9.310862     -8.055253     -0.4943509     -1.625865     2.319013     4.621465     1.677254     0.6283584     2.055923     0.7997606     0.1553773     -0.3863876     1.276353     -0.1065511     0.2160061     -0.3674668     0.03790565     0     
FC3       9.072229     -7.031145     -0.1337321     1.744634     1.617214     2.893866     5.68728     0.3423724     1.873878     0.2933744     -0.03322708     -0.03656786     1.294532     -0.6568397     0.2475515     -0.181798     -0.2415047     0     
Cz       7.153478     -8.765367     -0.3611069     -1.44946     2.129257     3.59767     1.47373     0.5761245     0.7074377     0.6464242     0.08626036     -0.4287402     1.383447     -0.2228447     0.1250637     -0.781905     -1.932294     0     
C3       6.876251     -7.498863     0.5293732     1.019221     1.424155     2.307549     3.488098     0.46826     1.060604     0.2061487     0.02634523     0.1337547     1.322104     -2.910162     0.196938     -0.3397118     -0.3610041     0     
CPz       5.882668     -9.134679     -0.6743596     -1.348953     1.674885     1.742096     1.16457     0.7154031     0.196232     0.5478042     0.117773     -0.5976725     1.565105     -0.2056347     0.1549992     0.4893874     -0.4462147     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.486972     -8.171799     3.34838     0.502642     1.11861     1.41132     2.165896     0.6140224     0.5622743     0.1860842     -6.952363     1.227751     1.545154     -1.756546     0.2412262     0.3130028     -0.1864091     0     
Pz       4.894154     -9.240566     -0.227552     -1.190545     1.297156     0.2226427     0.9497942     0.34336     -0.2394795     0.5549141     0.04188024     -0.09426929     1.067834     -0.1292033     0.01583712     -1.716527     -0.06656837     0     
P3       4.720781     -8.474527     5.254554     -0.2410853     1.030279     0.2409613     1.543529     -0.7068199     -0.2538375     0.3339775     0.6496395     3.016679     0.9701459     -0.851169     0.5721017     0.4600346     -0.1752678     0     
Fp2       31.2309     -4.603998     -0.9959721     -7.676278     1.476922     3.059104     1.695108     0.6946208     1.803804     -1.911381     -0.005467639     -0.6313637     1.052629     -0.2630618     0.04557825     -0.3530069     -0.1977813     0     
F4       14.17196     -5.887367     -0.5017883     -5.701405     2.992501     3.532691     1.697897     0.8770099     2.240178     5.061182     0.1029958     -0.6224972     0.9580522     -0.2031861     0.293754     -0.3321669     -0.1115724     0     
FC4       9.65979     -6.566943     0.4059612     -4.397369     9.824629     2.391711     1.296755     1.267906     1.632634     2.175512     0.1199626     -0.5394901     0.6911316     -0.08643319     0.3510284     -0.5579778     -0.464281     0     
C4       6.970409     -7.343312     3.936234     -3.390466     2.718541     2.326994     0.9991592     5.859297     0.7457583     1.241501     0.2045996     -0.2792203     -0.8383155     0.3033862     0.5393886     -0.1711177     -0.4682536     0     
CP4       5.61421     -7.931488     -0.4980633     -2.681986     1.93735     1.227878     0.6782901     2.43116     0.1490109     0.8356819     0.129322     -0.7207466     -1.608075     0.1938289     3.006194     -0.5804101     -0.5353103     0     
P4       4.559104     -8.381032     -0.4490235     -2.029283     1.228383     -0.05464425     0.5134047     1.100895     -0.3383702     0.6276374     0.006284701     -0.4918216     -3.396422     0.1272351     -0.08073907     0.07381611     -0.1886503     0     
