         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       33.75509     1.074412     -1.747392     -2.259934     -2.496846     -1.45853     -0.3761577     0.3500759     -6.278297     1.366281     0.6161556     0.9828794     0.6120421     -0.03049498     -0.7143264     -0.3285315     0.6513127     0     
Fz       11.05015     5.114528     -4.566237     0.2696255     -7.692248     -0.01112951     -0.1610225     -0.5168107     1.707099     1.008978     0.9893343     1.11799     -0.1266553     -0.1103516     0.2540588     -1.018666     2.308878     0     
F3       13.18757     3.439925     -4.201441     5.143369     -4.433415     -0.167592     -0.197203     0.1194006     2.427545     0.3922308     0.3441325     1.094486     0.09373751     -0.05657472     -0.03933057     0.4109307     0.3918703     0     
FCz       7.763043     7.873357     -4.253048     0.5343866     -7.010073     0.6640829     -0.1037556     -0.5771279     1.276373     0.733529     0.9551117     1.50927     -1.566048     -0.2956607     0.2444028     0.7117285     -0.9018593     0     
FC3       9.051606     4.773696     -3.85883     4.486228     -4.105978     0.3085384     -0.1516247     -0.1305455     1.983239     -0.0317542     -1.109442     1.433562     -1.967014     -0.05365599     3.521592     0.3536766     -0.001327457     0     
Cz       5.946029     10.51818     -3.635001     0.5987306     -2.70042     1.757156     -0.09034361     -0.6880863     1.008473     0.1824215     0.2798635     1.804476     -1.572056     -0.1964814     0.2382746     1.247899     0.7855803     0     
C3       6.356705     5.79141     -3.067734     3.041859     -2.093601     1.090138     -0.1263427     -0.6930447     1.228777     -1.222807     -4.26212     1.842548     -4.214641     -0.02796006     0.7209142     -0.3443497     0.2347878     0     
CPz       5.13431     9.329272     -3.534629     0.6991985     -0.4344626     3.973423     -0.07045893     -1.851677     1.019688     -0.9289877     -1.067064     2.221398     -1.576337     -0.1450177     0.1765531     -1.83033     -0.3905455     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.229319     6.272524     -3.015513     1.948407     -1.101185     2.26619     -0.07705223     -1.2929     0.9292469     -2.951716     -5.651274     1.985108     -1.341942     0.01748213     0.4048068     -0.8508099     -0.1476545     0     
Pz       4.192626     6.934342     -3.182116     0.4279432     0.090734     7.408152     -0.04052534     -2.491593     0.8749519     -2.621394     -1.874026     2.274286     -0.9256976     -0.04875619     0.0760508     -1.29573     0.03206038     0     
P3       3.85028     5.44343     -2.820756     0.8455998     -0.2640301     4.231388     -0.05616887     -1.742057     0.6733143     -6.428125     -3.679296     1.753212     -0.7320389     0.01472848     0.2665903     -1.01947     0.0002219134     0     
Fp2       30.72104     1.181173     -1.837121     -10.31097     -2.075687     -1.453462     -0.2116073     0.04071085     3.823172     1.738144     0.6787469     0.7078969     0.671163     -0.09611776     0.01836479     0.2263811     0.1295776     0     
F4       10.3824     3.255499     -7.378034     -4.08744     -4.267261     -0.02198377     -9.569918     -0.6642657     1.554867     1.488822     0.986329     0.8466337     0.2354255     -0.114253     -0.02033837     0.04195106     0.8425991     0     
FC4       6.364212     4.695244     -8.106859     -2.867952     -2.989702     0.6595326     -9.764943E-05     -1.654483     0.8777162     1.241202     0.7053275     0.9402992     -0.5610283     -0.2468237     -0.003261535     0.4182452     0.2267625     0     
C4       5.045685     6.130042     -5.825414     -1.518625     -1.025537     1.894616     0.06535029     -4.895801     0.8195683     0.6521478     -0.07250188     0.4119581     -0.7802861     -4.314857     -0.07566148     0.1394456     0.3467127     0     
CP4       4.092811     5.967578     -4.621893     -0.9367504     0.0471147     4.136113     -0.003343402     -6.559309     0.7627174     -0.4404422     -0.6096514     -0.7663132     -0.6445824     -0.08128616     0.03416297     -0.3926874     0.1889575     0     
P4       3.138496     5.643962     -3.663776     -0.479582     0.4484226     7.540493     0.03911458     -4.599304     0.6768597     -2.049454     -0.8767664     -3.220831     -0.9212151     -0.03208563     0.04953605     -0.9008381     0.001592445     0     
