         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.0168773     0.008827629     0.0124106     -0.02997173     0.005540926     0     0.002134271     0.03416659     0     -0.02027483     -0.0003223666     0.005379376     -0.004134258     -0.0115614     0     0.00314885     -0.009717092     -0.003421707     
F01       -0.02673613     0.02225171     -0.02074055     -0.01147254     -0.09863546     0     0.08358516     0.002059025     0     -0.04746234     -0.0009232516     0.01690762     0.02408278     0.05701286     0     0.04587603     -0.07107838     0.03885662     
F02       -0.01645125     0.1121377     -0.0178523     -0.01075167     0.05579438     0     -0.2445835     0.01970479     0     0.4034837     -0.04791931     -0.1736448     -0.009262881     -0.03873066     0     -0.01351464     -0.01120802     0.05137182     
F03       0.01147     -0.2550904     0.003056296     0.3744409     -0.003602594     0     0.1097333     -0.1123431     0     -0.2589556     -0.022702     0.1355006     0.0072426     0.01121158     0     -0.008782099     -0.04239719     0.06276164     
F04       -0.004452318     0.00397453     0.006474379     -0.01763754     0.01391905     0     0.103894     -0.02752166     0     -0.3719282     -0.01408512     0.3251663     0.002911022     -0.004487415     0     0.009050429     -0.08241834     0.09320921     
F05       -0.005603276     -0.01451227     -0.007133099     0.05635238     -0.03679885     0     -0.06857798     0.09699509     0     0.2281263     -0.102899     -0.1208943     0.006166463     0.05205802     0     0.01065431     -0.3821268     0.2568268     
F06       -0.01273653     -0.1892903     0.02577718     -0.03904356     0.2146908     0     -0.1240463     0.03654001     0     -0.03793153     -0.007249555     0.03440213     -0.0009941598     0.155397     0     -0.01750248     -0.02652114     0.003917333     
F07       0.05667398     0.01117275     -0.03545095     -0.0006080702     -0.08469829     0     0.07651722     -0.006113862     0     -0.06249216     0.007035223     0.03119217     -0.07340652     0.09529272     0     0.000892873     -0.02090525     0.007878526     
F08       0.02957258     -0.2849998     -0.06416435     0.1532235     0.169019     0     -0.2506323     0.06262214     0     0.2915882     0.02113856     -0.1665467     0.01264852     0.07326859     0     0.0008607216     -0.05502141     0.02343459     
F09       0.004896896     -0.04654581     -0.002298224     0.09942193     0.2690157     0     -0.6310197     0.02102072     0     0.3148854     0.03543694     -0.05218433     -0.0005532883     -0.02282359     0     0.002984578     0.04503835     -0.06330505     
F10       0.009591702     -0.09848594     0.01532356     0.1163192     0.01234805     0     -0.09255493     -0.05050985     0     0.1435093     -0.3103807     0.04187098     0.001684457     0.006918221     0     -0.005177749     -0.03996641     0.2624559     
F11       0.005448545     -0.06804951     -0.03996096     0.1893063     0.02309271     0     -0.02777343     -0.5917661     0     0.1629091     0.3903995     -0.1095068     0.005370912     -0.00310829     0     0.008378614     0.07035188     -0.005043338     
F12       -8.987005E-06     -0.05973577     -0.01780223     0.1103949     -0.01664834     0     0.02777123     -0.0215847     0     -0.01959342     0.00653438     0.009503148     0.005685613     0.06380901     0     -0.3257689     0.3509309     -0.11657     
F13       -0.007048724     0.09493674     -0.008077687     -0.1040016     0.01917705     0     0.05509188     0.05190985     0     0.07335009     0.0936258     -0.3335134     -0.003430465     -0.0225454     0     -0.01578463     -0.1290589     0.2310519     
F14       0.004185064     -0.2292713     0.3006489     0.1286962     -0.3700487     0     0.1243846     -0.0716222     0     0.07870065     0.07182969     -0.07961928     -0.00565555     0.05375435     0     -0.009501883     0.004880737     -0.002132052     
Cz       0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
FC4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
