         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       44.07998     4.515304     4.139876     3.982523     1.291957     1.748676     -1.323903     1.876205     1.682231     -0.3362303     2.315366     -2.84353     -0.95547     -1.576415     -0.03709437     -0.1879473     -0.7354085     0     
Fz       13.99041     8.274077     7.357264     4.40764     0.9706621     3.014657     0.5025584     2.490008     2.067227     -1.077831     0.2948621     2.020276     -2.643728     -3.858667     -0.06915285     0.2673416     -0.4673072     0     
F3       16.63082     7.238116     3.493674     5.333307     0.8739413     2.077902     0.9642606     2.250054     2.055678     -0.9408602     1.3283     5.397956     -1.728629     -1.60446     0.09415736     0.1109892     -0.433391     0     
FCz       8.815952     10.02188     7.559633     4.514327     0.5900619     3.224893     0.6784043     2.735567     1.850456     -0.8311518     -0.5434698     1.383245     -2.974105     0.03609696     -0.09982979     0.1929192     -0.4311243     0     
FC3       9.608329     7.932026     3.232566     6.68212     0.4047364     1.093962     0.6182418     1.345688     1.939595     -1.283063     2.065157     2.902969     -1.294486     -1.103851     0.1854989     0.04236956     0.1221371     0     
Cz       6.471966     10.57343     6.968544     4.306968     -0.9815024     2.326136     0.379364     2.473605     1.299765     -1.086746     -0.6649405     0.9131594     1.713062     0.4410522     -0.03964097     -0.4427277     -0.3884247     0     
C3       6.739162     7.592298     3.78018     6.618244     -0.3671427     -1.364515     0.4936903     1.839839     1.264099     -1.041397     1.897846     1.448453     -0.2241733     -0.3311626     -3.953402     -0.1209038     0.01012805     0     
CPz       5.15987     9.340796     6.372764     3.938735     -4.812028     -0.0977225     0.3987263     2.743511     0.1463836     -1.722387     -0.1913299     0.6941217     1.83467     0.9037648     -0.03284637     -3.720557     -0.2088133     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.213632     7.747726     4.291147     5.570442     -1.842458     -4.752742     0.4115299     2.341909     0.4320415     -1.33357     0.3410795     0.9376223     0.4508166     0.1488393     -0.1687527     -0.4725337     -0.1350082     0     
Pz       4.186923     8.405549     5.248478     2.877099     -8.845948     -2.673985     0.5170658     2.24231     -1.270624     -2.041572     0.6377162     0.5189514     1.428162     0.8639248     0.09346772     -0.7134057     0.03017076     0     
P3       4.273535     8.45117     3.617856     2.641315     -3.487365     -6.78153     0.387453     1.521334     -0.4652533     -2.045648     1.61325     0.653393     0.4090576     0.2188986     -0.1236715     -0.4872487     0.170474     0     
Fp2       42.22861     3.736583     7.736774     3.050057     1.080546     2.076436     -10.27648     1.598372     1.579969     -0.8244805     4.578883     0.8426743     -1.064269     -1.584044     -0.5849771     0.1040442     -0.581846     0     
F4       14.82086     5.109213     9.601705     3.379267     0.6354258     2.357849     1.431988     -1.410547     1.742182     -1.519185     1.679085     2.94825     -1.175966     -1.351321     0.2570592     0.2569876     -0.1960139     0     
FC4       9.160429     5.330042     8.67817     3.118908     -0.1762409     1.886053     0.7796546     1.463726     1.16533     -2.649232     3.105264     1.600861     -0.2436389     -0.3310614     0.06684629     0.1154051     -2.439453     0     
C4       6.637462     5.355408     8.158132     2.73712     -1.572464     1.035934     0.842337     4.823975     0.6495353     -3.735374     3.151462     0.9460834     0.9850463     0.6124081     0.1349392     -0.1911453     0.5209459     0     
CP4       5.037499     5.47741     6.608653     2.516744     -3.652704     -0.1423618     0.6504571     3.678789     -3.22009     -5.499123     1.519248     0.6616058     1.172566     0.7487921     0.08330806     -0.5192171     0.01977694     0     
P4       3.945934     5.653837     5.715548     1.726259     -5.877863     -1.388216     0.719756     4.234088     -7.617413     -3.004015     3.726676     0.432077     1.325457     0.7947689     0.2781169     -0.3715345     0.4796899     0     
