         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       53.11572     0.4071921     -0.1206597     2.23593     -5.784519     -2.410072     0.05977941     1.499354     2.770692     -2.436849     2.223331     -1.687967     -0.6495745     1.613879     -1.786172     1.877746     1.361418     0     
Fz       16.43217     4.732763     9.057898     3.870402     1.353664     -2.057163     -0.8895475     0.1880562     1.179789     0.5695958     0.8056022     0.3508887     0.04093974     0.6808172     -0.7406628     1.497259     -0.05131878     0     
F3       16.63997     3.819969     7.679115     1.451729     1.589526     -5.189111     0.5336692     0.2392165     1.519169     -7.306508     0.8618738     0.785142     1.199459     -0.0724392     -0.9889536     1.060838     0.1555732     0     
FCz       10.53798     7.662164     6.574288     2.284051     1.062242     -1.996406     -0.7749437     0.1007307     1.028726     0.104667     0.2789582     0.5007446     -0.2380205     0.4349751     -0.6279178     4.026306     -0.2027005     0     
FC3       11.29734     4.841812     5.721447     -1.263158     0.9955087     -8.990462     0.3108346     0.1859179     1.056041     -0.489873     0.8692586     0.317596     0.1266867     -0.9242686     -1.471911     1.155065     0.09772322     0     
Cz       7.834406     9.182899     4.721886     0.1177592     0.7108767     -1.590944     -0.8813795     0.05550678     0.6385186     0.07131875     0.1195421     0.2919829     -0.1448267     0.9573238     -0.3800795     0.5766442     -0.1970523     0     
C3       7.940458     5.885391     5.165032     -4.205034     0.6157646     -3.152141     -0.07316136     -0.1660254     0.6433403     -0.5431176     0.8281374     0.4372139     0.2134137     0.1453536     -4.369097     0.5617613     -0.1468402     0     
CPz       6.096593     9.491591     3.741471     -1.345373     0.5150928     -0.9127035     -1.257044     -0.08518329     0.4423271     -0.007456983     -0.434362     0.1843802     0.04700732     -3.973339     -0.7088906     -0.6598033     -0.3882663     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.476244     6.382217     5.035443     -5.886654     0.3847229     -1.578256     -0.3616501     -0.04779488     0.4205086     -0.1993219     0.4125394     0.2807057     -0.1196966     -1.232413     -0.05718248     0.2643208     -0.3075881     0     
Pz       4.684627     8.331361     3.411771     -3.820638     0.09119982     0.03874448     -1.376608     -0.1204256     -6.9487     -0.8536808     -2.124751     -1.267815     -0.460847     -2.483269     0.119973     -0.8619587     0.07763305     0     
P3       4.868062     6.31667     4.114606     -6.88492     0.08740347     -0.2295162     -0.8074564     -0.175198     0.03307945     -0.1757223     -6.198665     -0.2425522     0.6170791     -1.23568     0.1130286     -0.6020029     -0.5603631     0     
Fp2       49.31697     0.9379324     1.215127     3.889749     10.51911     -0.9676098     -1.900928     1.020442     2.422004     -0.5096562     1.629941     -0.9664248     -1.025143     1.239216     -1.080047     1.268885     0.791043     0     
F4       21.12882     3.932804     6.609975     4.060601     2.902274     -1.313569     -3.450512     9.033573     1.569745     -0.02526225     0.2976887     0.3670848     -1.821844     0.8516173     -0.9096624     1.083859     0.05361143     0     
FC4       12.96869     5.481461     5.95735     3.164584     1.748859     -1.54086     -5.018531     0.1748526     1.640242     -0.7424355     -0.1509202     0.3172233     -6.191373     0.8621406     -0.9327065     0.7934539     -0.6180684     0     
C4       9.064832     6.722939     3.961129     1.332314     0.9462764     -1.450433     -6.734773     0.09392679     0.7132622     -0.1240846     0.6989002     0.2043196     0.23511     1.152326     -0.2076427     0.4072295     -0.1276644     0     
CP4       6.423852     7.073931     3.2436     -0.3786367     0.9633835     -0.5486286     -5.050537     0.0334766     0.4242183     -0.2731842     -0.3636528     -1.138736     -0.5122482     -0.3829388     -0.2505101     -0.3124161     4.572992     0     
P4       4.770194     6.954541     3.081863     -1.932659     0.7140353     -0.2281427     -3.754797     0.3362557     0.09485941     -0.7227914     -1.18527     -6.61628     0.1162497     -1.055285     0.02822421     -0.787523     0.7387127     0     
