         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.02393988     -0.02949633     0.02476472     0.006785965     -0.02338095     -0.003274892     0.01039907     0.005651845     0     -0.008323476     -0.006760899     0.007693446     0.004173439     0.002045141     -0.01107741     0.002592843     0.005207373     0.0002599332     
F01       -0.004178116     0.1020546     -0.009611505     0.006521401     -0.01363776     -0.011344     0.007537454     -0.0442463     0     0.009115337     0.001962555     0.0196873     -0.02441951     -0.02021875     0.0139982     -0.014121     0.0476183     -0.004464712     
F02       0.04663934     -0.009708324     0.05580923     -0.0056666     -0.03624751     0.001095351     0.01026285     -0.004737116     0     0.005682277     0.002552082     -0.005275489     -0.0533023     -0.03504279     0.03689418     0.005036388     -0.02204571     0.009828839     
F03       0.001212964     -0.01467786     -0.00618175     0.01103147     0.03159746     -0.0744224     -0.04220789     0.08502229     0     -0.02603568     0.0629279     0.01471949     0.005379258     0.01229102     -0.01937234     -0.02668441     -0.01719444     0.0145755     
F04       -0.01294024     0.125934     -0.0210128     0.02940593     -0.001768331     -0.3180762     0.04943045     0.1835082     0     0.003153485     -0.008890966     -0.02569719     -0.005402977     -0.01478818     0.01767703     -0.009922964     0.004250059     -0.00467804     
F05       0.001597796     -0.01592625     0.00562015     0.01539091     0.0060568     -0.07396164     -0.02879592     0.1175544     0     0.007217037     0.04721812     -0.004030664     -0.001784229     -0.004769764     0.02573827     0.03462146     -0.03437394     -0.1067461     
F06       0.0129347     0.0009008849     0.005746811     0.0362706     0.07538758     0.02957381     -0.1820275     -0.03132836     0     -0.02753956     0.03626848     0.0427993     -0.01494962     -0.01876275     0.02926385     0.02875007     -0.04115219     0.001596944     
F07       -0.01631299     0.03197156     -0.03768774     0.008077869     0.04457198     0.07190292     -0.00524872     -0.02993379     0     -0.00933008     -0.00335362     0.0004971743     0.01636947     0.02580943     -0.04220961     -0.04339923     -0.1157768     0.08421875     
F08       0.000788965     -0.008485937     0.003211224     -0.001451116     -0.001171447     -0.05325249     0.0288665     0.09975304     0     0.04324991     0.03880695     -0.1692553     -0.003395791     0.002695703     0.02279215     -0.01486775     -0.05852848     0.06212204     
F09       -0.005511601     0.0462561     -0.0300325     0.001898373     0.02385142     -0.01212222     0.01506837     0.02891623     0     -0.06719681     -0.01590907     0.0305328     0.005317831     0.03413334     -0.1307544     -0.01218134     0.1386801     -0.06519786     
F10       0.02291335     0.09761133     0.1177688     -0.01326291     -0.3323193     0.02099351     0.1069611     0.002678064     0     0.04784705     -0.01205327     -0.02640525     -0.03309125     -0.02426829     0.0004527718     -0.01678663     0.001281813     0.003854085     
F11       -0.06611378     -0.03442911     0.164802     -0.01839466     -0.1029597     0.02384765     0.03301447     -0.002176921     0     -0.02222612     -0.00757683     0.01090931     0.04031716     0.002581463     -0.04208077     0.01578769     0.02050244     -0.009322024     
F12       0.03077619     -0.09877418     0.02141275     -0.01065452     -0.01665157     0.02752908     0.005318491     -0.003349924     0     0.0003079748     -0.00450391     0.003842964     -0.04843098     0.1785509     -0.08130968     0.004653866     -0.002173518     0.004727749     
F13       -0.002668617     0.02513293     0.002172753     -0.04831079     -0.0344789     0.1978875     0.0658263     -0.3842417     0     0.006314483     0.2172528     -0.04469944     0.001835795     0.007882293     -0.04176403     -0.03411678     0.1519958     -0.08823454     
F14       0.009433059     0.01345446     0.04289256     -0.05731713     -0.1296792     0.01933303     0.2567863     0.02237993     0     -0.2948058     -0.005334039     0.118655     -0.01411028     -0.02352937     0.07871582     0.01659655     -0.0840943     0.02796174     
F15       -0.01277714     0.2229851     -0.03768545     -0.3863236     0.06231983     0.3342602     -0.06405284     -0.150384     0     0.04733337     0.02629899     -0.01648667     -0.008515454     -0.03217771     0.03556482     0.02825786     -0.08722549     0.04021956     
F16       0.004571447     -0.0110024     0.003958899     -0.01541785     0.001830802     0.02925642     0.007392369     -0.03208836     0     -0.02863563     0.008071643     0.01559375     -0.003827912     -0.02596443     0.1697724     -0.3570803     0.3464532     -0.1124212     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
