         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       -0.05875687     -0.01958051     -0.0008709932     0.01178164     0.002773011     -0.006439765     0.002211396     0.006689406     0     0.004062245     -4.828151E-05     -0.002112753     0.0745558     0.006431642     -0.009459632     0.005056374     -0.01144984     0.001328494     
F01       0.110447     -0.00910895     0.002288259     0.003900749     -0.001520028     -0.001112996     -0.005397234     -0.004572031     0     0.004614694     0.008136733     -0.01122678     -0.08334854     -0.0285962     0.01518108     0.005985561     -0.00254122     0.006066337     
F02       -0.00968807     0.001489571     0.005820001     0.05880355     -0.02337115     0.1173725     -0.009492088     -0.04464044     0     0.002778474     -0.01199893     -0.002499956     0.008307765     -0.0485485     -0.001451487     -0.01218532     0.01990348     -0.01195628     
F03       -0.01921908     -0.02814052     -0.01536997     -0.0367731     0.07839295     -0.0218905     0.06259271     -0.01935588     0     -0.0076127     0.02422726     -0.03497726     0.008936706     0.006382417     0.04600875     -0.006640397     -0.006382298     0.006170618     
F04       -0.006241629     0.01556791     0.002513022     0.05743606     -0.005656508     -0.00579114     0.01167648     -0.04371694     0     -0.0107869     -0.08582129     0.04424194     -0.006336982     0.01587223     -0.005349551     0.01013361     0.002493708     -0.02584863     
F05       0.05528066     -0.02046576     -0.01900337     -0.0272428     -0.01761377     -0.02165369     -0.004043008     0.008512615     0     -0.007343769     -0.01716376     0.02992891     -0.094118     0.2563275     -0.0996576     0.01298851     0.001759198     0.008682313     
F06       0.001768561     -0.0380635     -0.004942084     0.05822112     0.0143907     -0.09526185     0.002091841     0.1015741     0     -0.01534061     -0.0353201     0.004854528     0.002350925     0.02023045     -0.06433955     0.1028016     -0.06338197     0.007763695     
F07       -0.007086949     0.01344047     0.02562671     -0.04659647     -0.01539535     -0.01525292     -0.02507017     0.103952     0     0.09735238     -0.03454684     -0.1051668     -0.0004996625     0.005592953     0.001433598     -0.002689977     -0.01485426     0.01153687     
F08       0.03988611     -0.261024     -0.02438901     0.04551659     0.02996823     0.1890841     0.006019415     -0.1027159     0     -0.01538028     -0.003312246     0.01747347     -4.605753E-05     0.0864754     -0.02222862     -0.0005771651     0.03232497     -0.0351318     
F09       0.003206771     -0.009782331     -0.0003733399     -0.0001669575     0.03775714     0.02653858     0.04897749     -0.0501885     0     -0.1390298     0.1177967     -0.07609515     -0.005665132     0.007548823     -0.003155446     -0.0139453     0.02407087     0.006078407     
F10       0.0009681189     0.02132372     0.0007181214     0.0006840004     -0.008982834     0.01322533     -0.002697847     -0.07711272     0     0.03866052     -0.1050564     0.005150154     0.004176791     -0.03432298     -0.03185114     -0.002165149     0.1691497     0.02811806     
F11       0.02361279     0.005211241     0.009917882     0.02990968     -0.0386068     -0.05553867     -0.02226991     0.04562849     0     -0.01653594     -0.01878703     0.03324896     0.004121108     -0.2448968     0.3141581     -0.007581815     -0.06716286     0.005191574     
F12       0.05464895     0.0669958     -0.1893965     0.01469227     0.0964541     -0.03272784     -0.002625839     0.02276785     0     0.02123266     0.005936129     -0.03140262     -0.01438182     -0.01877026     -0.001365396     -0.0009040974     -0.001110605     -0.006559794     
F13       -0.001304127     -0.03780479     0.007491927     0.03050283     -0.01951699     0.08514868     -0.008467922     -0.1402156     0     0.0682762     0.04016509     -0.04365777     0.003373291     0.006824529     -0.01569905     0.1026803     -0.2184745     0.1465381     
F14       -0.01206831     0.1981918     -0.01611241     -0.2655426     0.004969656     0.194486     0.00231707     -0.07597395     0     -0.03352097     -0.001306181     0.03763789     -0.003658551     -0.02776636     0.001271749     0.002112165     0.02213278     -0.02752833     
F15       -0.009590736     -0.05492246     0.0003774706     -0.00996844     0.203031     0.03736246     -0.2343926     0.01486906     0     0.0208363     -0.0278     0.05136815     0.003707877     0.02367173     -0.02194344     0.01924121     -0.0155202     0.002743935     
F16       -0.0003614059     -0.004490175     -0.003707985     -0.03466002     0.003719911     -0.01781705     0.01955769     0.2365244     0     -0.07799461     -0.2326177     0.08938565     0.001196441     0.0092655     0.0365628     -0.05768072     -0.105654     0.141443     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
