         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       49.69376     16.63231     2.531534     -2.621642     1.260711     0.8127627     1.954605     1.339173     -0.7343034     0.3009363     1.105334     1.412707     -1.13705     -0.2361032     -0.5336768     -0.3158987     0.1635026     0     
Fz       17.59752     13.11967     3.620458     0.6540734     0.85299     -1.340982     2.584342     1.886534     -0.9975505     1.759571     1.913152     2.136307     -0.8303815     -0.6002924     -0.3528024     -0.3510482     0.3421076     0     
F3       19.41687     9.57429     3.857072     -7.481235     1.106539     -0.7969729     2.326317     2.25881     -1.086831     5.021432     1.036029     2.282603     -0.7632233     -0.8229435     -0.7305146     -0.6601639     0.4714106     0     
FCz       11.95551     10.24901     4.819955     0.4437452     0.0775596     -1.120018     3.634332     1.92612     -0.8797869     1.43831     2.604141     3.195652     -1.203502     0.01197532     -0.1619019     -0.5055124     0.6549761     0     
FC3       11.85767     6.781604     4.753639     -0.3871395     0.4743865     -0.6072906     2.209167     4.461065     -6.970699     2.083923     0.5106666     2.265643     -0.9137734     -0.5231462     -0.201395     -0.8459564     0.4167266     0     
Cz       8.479693     8.540904     6.123135     0.5260398     -1.486469     -0.8438578     4.554465     1.797934     -0.8808531     1.163951     2.891552     1.037976     -1.474222     0.4542479     0.07846458     -0.6411071     1.126819     0     
C3       8.430566     5.765206     5.651623     -0.1400654     -0.4190933     -0.7916218     2.381689     5.625472     -0.9674647     1.493444     -0.3741501     1.665172     -1.344892     -0.2226518     -0.1261154     -1.013867     0.7144711     0     
CPz       6.436609     7.66764     7.091515     0.2001218     -3.741028     -0.9235851     1.422513     1.515767     -0.6247436     1.039769     2.584321     1.231184     -1.778628     0.5550094     -0.1524078     -0.53176     1.877716     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       6.223124     5.681715     6.800423     0.2060713     -1.840154     -0.7083306     2.138314     2.280314     -0.6828465     1.123265     -1.290505     1.329168     -1.682743     0.09756925     -0.1700541     -2.404675     0.6287632     0     
Pz       5.148469     6.742076     7.138471     0.3507408     -5.520556     -0.6787456     1.896636     1.22875     -0.5208732     0.9320599     1.062273     0.9964843     -1.367191     0.4395906     -0.03277005     -0.1742806     -0.9642072     0     
P3       4.987954     5.460487     7.19985     0.181748     -3.182558     -0.551473     2.130162     1.351051     -0.5959178     0.8663505     -2.220881     1.196017     -1.638924     0.2170681     -0.1024572     0.02343664     0.7560365     0     
Fp2       43.88922     24.1748     1.642739     -3.570964     1.170468     9.208419     1.684729     1.148946     -0.276401     -0.7508435     1.671327     1.176581     -1.212113     0.181261     -0.2904364     0.1870624     0.02826161     0     
F4       18.90199     15.44839     2.136415     -8.419674     0.5226401     -0.8960038     2.07496     1.394804     -0.9166463     -2.216756     1.990848     1.944464     -1.06803     0.758296     -0.05853438     -0.09547623     -0.1015251     0     
FC4       11.9976     12.39556     2.314447     0.1073577     -0.8661507     -1.263073     1.929357     1.353981     -0.5974936     0.9873252     2.091607     1.971923     -1.495562     2.767618     4.086268     -0.1180648     0.1771042     0     
C4       8.154856     9.751576     2.72152     0.2635018     -3.029649     -1.043695     2.443424     1.22551     -0.5903575     1.013028     2.213109     1.569122     -2.068969     3.586455     -0.2998761     -0.3849026     0.451832     0     
CP4       6.193852     8.146347     2.800177     0.3654876     -5.236321     -0.8167391     2.433031     1.04765     -0.5697905     0.9615583     1.883899     1.220988     -3.813566     1.635538     -0.2040058     -0.3077505     0.2569082     0     
P4       4.911543     7.150881     3.033613     0.2051316     -7.526346     -0.6667553     2.521061     0.9510366     -0.4391275     0.7175342     0.9652918     1.393049     -1.229034     0.7252708     -0.1735223     -0.5496319     0.8223922     0     
