         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       33.10449     -7.281355     7.015066     3.952248     1.904507     -0.6614981     1.398443     -5.405219     0.6859758     -0.2067669     1.174754     -0.4300965     -0.8477191     0.02684284     -0.005042676     -0.4681455     -0.008525479     0     
Fz       11.80288     -9.445666     5.833941     1.374941     0.8529643     0.1003528     2.368568     0.5932215     0.6132923     1.355822     1.472744     0.7795165     -0.6571814     -0.2791267     -0.2443903     -0.8999159     -0.7765167     0     
F3       13.93202     -8.122285     5.141225     1.599582     4.041354     -0.1934707     1.506214     2.209002     1.346842     1.577672     1.494201     -1.945688     -0.6477332     0.0905062     -0.07859875     -0.4943798     -0.3575881     0     
FCz       7.131118     -9.719072     5.326538     0.4307624     1.130149     -0.5282285     2.634927     -0.152285     0.379563     -0.4852358     1.400007     0.3161752     0.09668121     -0.3301866     -0.2751154     -1.192113     -0.8453799     0     
FC3       8.72409     -7.876143     4.033954     0.7354171     3.369061     -0.5562311     0.9629456     0.6721035     3.624855     0.400266     1.521455     -1.274886     -0.1915221     0.09635528     0.4072014     -0.3785717     -0.5843379     0     
Cz       5.14348     -9.530818     4.207489     -0.6794477     1.085715     -2.426975     2.112436     -0.3009946     0.2861487     -0.9398962     0.7359054     0.4564347     1.818186     -0.3148231     -0.07794093     -0.9291331     -0.7668382     0     
C3       5.839559     -8.240031     3.167017     -0.3265642     2.560137     -1.414622     0.2978304     -0.07956006     2.235851     -0.4547055     1.181345     -0.5801017     0.4395901     0.0007063493     2.291954     -0.3490624     -0.5629902     0     
CPz       4.323201     -9.377843     2.447387     -2.120383     1.016495     -3.877986     1.374963     -0.4015586     0.2623191     -0.9148821     0.234214     0.5296017     1.223444     -0.2483944     0.08054073     -0.664995     -0.5625232     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.35946     -8.687927     1.693978     -1.554517     1.913073     -2.034815     -0.7281936     -0.2775503     1.067228     -0.8536056     0.7066917     -0.2773243     0.7459574     -0.1080048     1.581284     1.160214     -0.5056036     0     
Pz       3.698116     -8.946899     -0.24703     -4.262198     0.8592959     -3.118824     0.7024114     -0.3620707     0.2410769     -0.8431346     -0.4311262     0.3882567     1.211134     -0.1915821     0.1591494     -0.5215992     -0.4173234     0     
P3       3.626073     -8.879275     -0.2607013     -2.703341     1.389433     -2.110379     -1.92018     -0.3398012     0.4741381     -1.014209     0.1431581     0.02259727     1.039636     -0.2493023     0.591453     -0.3696485     -0.5324044     0     
Fp2       30.82154     -7.54085     7.370448     3.696732     -3.123136     -0.6115852     1.573755     2.502642     0.9022626     -2.354109     0.7171732     -1.711624     -0.7334909     -0.3630823     0.2012793     -0.6109132     0.0609434     0     
F4       11.23487     -8.923312     5.417127     1.322781     -1.819967     -0.4107801     2.206528     -0.1354406     0.3988333     2.497211     1.07877     -2.60897     -0.5703146     1.230028     -0.124362     -0.7676526     -0.08616499     0     
FC4       7.525433     -8.841637     4.300373     0.6506118     -1.242781     -1.134858     2.167002     -0.4769002     0.3275982     0.9457667     0.3294667     -0.7242712     0.02070889     2.665073     -0.1365164     -0.7584016     0.2689086     0     
C4       5.354082     -8.898465     3.10244     -0.1956678     -0.6154029     -2.136883     1.928891     -0.3982812     0.2162941     -0.05511618     -0.8444027     0.190746     0.75509     1.303144     -0.1717783     -0.6988515     1.685835     0     
CP4       4.29302     -8.985742     1.375502     -1.058232     -0.157864     -2.818695     1.754856     -0.2369326     0.1647019     -0.3907376     -2.056597     0.2342194     0.9053161     0.4257903     -0.1040616     -0.5602798     0.8832843     0     
P4       3.457542     -8.8459     -2.276958     -2.215677     0.07738892     -2.815551     1.629487     -0.2809936     0.1558937     -0.5265849     -1.381647     -0.0671965     0.9800485     0.08066515     -0.02142839     -0.5643588     0.4513207     0     
