         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.03736557     -0.01701845     -0.01363077     0.005639085     0.005239884     0.001293783     -0.01033523     -0.01073334     0     0.001212195     0.0167197     -0.0005680327     0.003372854     -0.01406024     0.002243637     0.009097962     -0.009991038     0.002124057     
F01       -0.0006627357     -0.1181925     0.01612516     -0.03066882     0.09604247     0.3166854     -0.0377221     -0.2407275     0     0.00383445     0.03979571     0.0352053     -0.006573364     0.01160392     -0.0034212     -0.03482531     0.02029418     0.01830458     
F02       -0.07338938     -9.44346E-05     -0.03722793     -0.01063825     -0.05327867     0.05618012     0.00387576     -0.04945835     0     -0.003313689     -0.002419991     0.04519583     0.07690129     0.1052507     -0.01064134     -0.05206899     0.03819494     -0.007102856     
F03       0.01913387     0.3982375     -0.01761102     -0.009114115     -0.1566136     -0.1374024     0.01788948     0.07028495     0     -0.0009583147     -0.03867089     0.03626033     -0.05300634     -0.1349884     -0.003653912     -0.002102224     0.01444892     0.005839748     
F04       -0.003821239     -0.02005676     -0.006653112     -0.006402113     0.02141176     0.2945869     0.0347473     -0.5783126     0     -0.000792252     0.2736373     -0.03143577     0.0038057     -0.006265285     -0.0006830076     -0.001620124     0.09401956     -0.07072158     
F05       0.06286073     0.03523974     -0.0341175     -0.0105161     -0.2073252     0.3086151     0.02495654     -0.1356064     0     0.003627055     -0.02777951     0.01734702     -0.02631484     -0.05126765     -0.0005347672     -0.03477699     0.01713932     0.005922193     
F06       -0.01239574     -0.009020728     0.01221394     0.003046639     0.05303723     -0.06933173     0.03429788     0.09088849     0     0.03273767     0.1390556     -0.2820543     0.002572694     0.001993329     -0.001834998     -0.002100601     0.01024217     -0.02642266     
F07       -0.01390068     -0.0265755     0.01609959     -0.005712252     0.01789113     -0.01191528     -0.01121342     0.2194242     0     0.02421422     -0.4130098     0.08917442     0.005219062     0.02675226     -0.006582164     -0.05306026     0.07237763     0.06849084     
F08       -0.02348569     0.003809491     -0.01056718     0.003165913     0.01475084     0.08848308     0.0005435769     -0.003888952     0     0.01826331     -0.006414891     -0.03759238     0.02131119     0.08112213     0.007962573     -0.4400152     0.287016     -0.03186024     
F09       -0.01436506     -0.01797345     -0.002046512     -0.01239052     0.02094246     -0.0001131122     -0.02774886     0.1218427     0     0.01222227     -0.03392617     -0.004201958     0.01075969     0.02972597     0.003581047     0.2185296     -0.57015     0.2428965     
F10       0.0008513401     0.002873989     -0.004954919     0.01128096     -0.008784342     -0.006493486     -0.01849482     -0.05313209     0     0.003457732     0.1920186     0.02340904     0.0003422649     0.00101204     -0.001875125     -0.01740939     0.1880312     -0.3291853     
F11       -0.0006915226     0.1335624     -0.03113447     -0.2541299     0.0724702     0.1693098     -0.05567412     -0.03411439     0     -0.03276321     0.01520626     0.02103306     -0.01075232     0.01151578     -0.01672332     0.01647161     0.008182737     -0.01970199     
F12       -0.1072304     0.1210353     0.001232971     -0.007144909     0.07364743     -0.01211343     -0.04168605     -0.006467626     0     0.007921215     0.001472967     -0.000461844     0.1705228     -0.2813031     0.006457887     0.09655594     -0.0421482     0.007893879     
F13       -0.001330162     -0.08114825     -0.007432566     0.01423416     0.383179     0.07765362     -0.6756889     0.05944747     0     0.1811781     -0.08087601     0.1072453     -0.0002897595     0.009910027     -0.003866013     -0.002937449     0.01769811     -0.01615347     
F14       -0.01275584     0.02376345     0.0005740564     0.02834312     -0.0004758916     0.006065883     -0.008666858     -0.03872675     0     0.01376048     0.02532353     -0.007360119     -0.004007122     0.1479148     -0.3788837     0.303689     -0.1121718     0.009076229     
F15       0.06856696     0.2307587     -0.509191     0.004472041     0.3706591     -0.1054214     -0.01153814     0.03726353     0     -0.02134426     0.009761437     -0.02459051     -0.01063258     -0.0407568     -0.003002553     0.007782869     -0.006518654     0.002327334     
F16       -0.005656689     -0.04557542     0.002728546     0.02962632     0.06599531     -0.02745868     0.1676791     0.1458402     0     -0.5799173     -0.06034885     0.3190884     0.005471569     0.003102856     -0.005131703     -0.01127933     0.02686893     -0.03577584     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
