         Fp1        Fp2        F3        Fz        F4        FC3        FCz        FC4        C3        Cz        C4        CP3        CPz        CP4        RightEar        P3        Pz        P4        
F00       0     0     0.07346961     0.01236889     0.05417868     -0.02090741     -0.01614477     -0.1154132     -0.002147647     0     0.03061197     0.008867769     0.006138112     0.004817603     0     -0.00664981     -0.0008102477     0.005371436     
F01       0     0     -0.0957717     -0.0565041     -0.01834276     0.1149519     0.09162332     0.05783254     0.05983195     0     -0.03715725     -0.0631347     0.01210421     0.003616481     0     0.02811518     -0.07524163     0.03762997     
F02       0     0     0.007305079     -0.005486866     -0.03406975     0.0004617903     -0.03708587     0.07620815     -0.004980317     0     -0.04133544     -0.04605801     0.04496235     -0.02668997     0     -0.01897793     0.1437792     -0.03121337     
F03       0     0     -0.06569833     -0.0002438227     0.1138184     -0.05118855     -0.0003531386     -0.01311112     0.02375826     0     0.0105162     -0.001466492     -0.01289463     -0.01202167     0     0.0170387     -0.0002255731     -0.0005715381     
F04       0     0     0.135556     -0.01531414     -0.1860838     -0.1725571     0.01275724     0.2833175     0.003012332     0     -0.02507961     0.04465158     -0.0660579     -0.02200961     0     0.0244656     0.002762939     0.001356222     
F05       0     0     0.005122532     -0.01259585     0.008470859     0.01070196     -0.01142595     0.002554035     -0.01353152     0     -0.01836456     -0.02351181     0.01367777     0.1321903     0     0.04868791     0.0325136     -0.1872061     
F06       0     0     -0.01175664     0.02786496     -0.04433638     -0.009590626     0.003909672     0.115477     -0.007935022     0     0.04174867     0.03772308     0.03374403     -0.3187469     0     -0.02378141     0.02858077     0.1152204     
F07       0     0     0.02306167     -0.02286013     -0.01891909     0.03966757     0.06593561     -0.009560558     -0.008491439     0     0.0005189958     -0.2415757     0.04177968     0.03506326     0     0.1029042     -0.006449259     -0.02405063     
F08       0     0     0.03621681     0.001572063     -0.04469338     -0.05264686     0.005488031     0.05582252     -0.02438618     0     0.01521574     0.1718545     -0.01742743     -0.02814486     0     -0.2305958     0.08136264     0.01540551     
F09       0     0     0.05360242     0.007600962     0.006290713     -0.2007015     0.008963414     -0.01963447     0.2907983     0     -0.04516174     -0.187471     0.02231785     0.03362126     0     0.02601069     -0.004680009     -0.005434542     
F10       0     0     0.02209838     -0.02813805     0.05568167     -0.07313769     0.1475123     -0.2473256     -0.03919096     0     0.2164961     0.07777049     -0.06471829     -0.09648214     0     -0.0165721     0.0255061     0.01231226     
F11       0     0     0.1138133     -0.3583212     0.1772258     -0.009795101     0.1460768     -0.05918599     0.0009531898     0     0.009405061     0.007244508     -0.002551654     -0.01857341     0     -0.01001825     0.001337331     0.007506507     
F12       0     0     0.06521617     0.01968822     -0.04237638     -0.08758997     -0.04081892     0.02821678     -0.106055     0     0.03302804     0.1040238     0.2215602     -0.08350559     0     -0.0110716     -0.1533231     0.04590252     
F13       0     0     0.03287699     -0.03902528     0.01797734     -0.08641224     0.1573466     0.05323889     -0.09103335     0     -0.3097804     0.1426097     -0.04042479     0.2272289     0     -0.03899844     -0.001600774     -0.04320916     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Fp2       0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
