         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.02162001     -0.007503106     0.005032525     -0.005623795     -0.0004737079     0.008651109     0.009948445     -0.01362473     0     -0.01558756     0.01567813     0.004967159     -0.00321135     -0.00311797     -0.00429463     0.001350215     0.005116994     -0.003926169     
F01       0.004850354     -0.02490984     0.002399433     -0.002786266     0.004473239     0.2027886     -0.01887588     -0.1649778     0     0.000961878     0.0254013     0.02258699     -0.003703312     -0.01745877     -0.006896554     -0.02007797     0.02348844     0.01670745     
F02       -0.01474986     -0.005758901     -0.04307507     0.003328985     -0.03788804     -3.15163E-05     -0.007363598     0.02313668     0     0.03519787     -0.02175609     -0.002244733     0.01001575     0.09024642     0.01811625     0.003334993     -0.06550492     0.03151284     
F03       0.0153301     -0.1731696     0.001500535     0.04134553     0.008584843     0.03877962     0.0167555     -0.01523668     0     -0.009180543     0.01456613     -0.008675068     0.002905546     0.05114448     0.02646933     -0.01849041     0.006199832     -0.01471838     
F04       0.001687686     -0.01773861     -0.003275864     -0.0003168326     -0.01639475     0.1475716     0.03667538     -0.337545     0     0.02117234     0.1384484     -0.01761162     -0.001136587     0.01261725     -0.006642914     0.03454177     -0.002671078     0.004024998     
F05       0.002136539     -0.008828179     -0.0002598495     -0.005926149     0.005686191     0.04621552     -0.03624189     0.09533308     0     -0.01784035     -0.2022409     0.09445392     0.0007942457     0.004724575     0.0006991681     -0.05783273     0.08072702     -0.02376504     
F06       0.003842986     -0.002236556     0.02467458     0.01057468     0.06584699     0.02986563     -0.1753653     0.03411051     0     -0.06291586     0.002431502     0.06096061     -0.002103851     -0.02342964     -0.003986382     0.02112388     0.0157412     -0.03449368     
F07       0.03511624     0.1293113     -0.1072384     0.007386614     -0.08896403     -0.003722082     0.1060986     -0.01772131     0     -0.03049175     0.02513618     -0.00414445     -0.008256911     -0.07700362     -0.005715959     0.001166408     0.03741641     -0.03168061     
F08       0.06573612     -0.0177815     -0.014364     -0.008353887     -0.02641353     0.004364293     0.01038321     0.008623042     0     -0.002543772     -0.004813947     0.0002619062     -0.07800426     0.06957611     0.01774604     -0.0131732     -0.008495637     0.005089648     
F09       -0.001100083     0.01554931     0.001171741     -0.003487313     0.007573766     -0.004271432     -0.03513192     0.0233062     0     0.1267142     0.03199078     -0.1831397     0.0001478883     -0.006838425     -0.01016865     0.002287523     -0.01676505     0.02654522     
F10       -0.000644634     -0.01336706     -0.01514004     0.01624233     -0.006315298     0.05623524     0.00993135     -0.02034757     0     0.01569487     0.0266836     -0.02783306     0.0007386851     0.04599878     0.07096383     -0.3122391     0.1493597     -0.01898703     
F11       -0.002609871     -0.007992055     0.003519301     -0.002072412     0.0006413659     0.0003812527     0.009861929     -0.04688423     0     -0.01788789     0.140898     -0.0035083     -0.0007071632     0.0138964     -0.006700254     -0.002741667     0.1129439     -0.1982531     
F12       -0.001090077     0.01063033     -0.001111427     -0.02842336     0.008566835     0.03504115     -0.03854214     0.05750452     0     0.0345943     -0.03900075     -0.008168252     0.0008630188     -0.009671377     -0.01337838     0.222562     -0.4016896     0.1595482     
F13       -0.00839759     0.1295733     -0.008921851     -0.2728015     0.007185584     0.2343539     0.004673143     -0.09148018     0     -0.0220945     0.02984071     0.003133648     0.0003205106     -0.01883251     0.01607808     -0.006429678     0.01305636     -0.01177133     
F14       -0.01108581     0.002678994     -0.01309106     -0.01153266     -0.0635581     -0.03248152     0.3760686     0.09650303     0     -0.4610829     -0.03090313     0.1572383     0.004237305     0.0240525     -0.005052492     -0.01978651     0.02425795     -0.01095011     
F15       0.01152227     0.01077021     0.003110626     -0.02053449     -0.002589975     -0.02433398     0.009772118     0.02634437     0     -0.009626881     -0.005383313     0.004004483     0.00338069     -0.2099001     0.4054328     -0.2058225     0.01811322     0.001023044     
F16       0.01668164     0.04922571     -0.2087137     -0.007270147     0.2632761     -0.009759334     -0.129155     0.007320578     0     0.03578903     -0.008024896     -0.001749978     -0.003096385     0.01129167     -0.02579389     0.02156664     -0.009790836     0.004928487     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
