         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        Cz        RightEar        
Fp1       22.179     6.831664     4.863928     -1.187466     1.687662     -1.123212     -0.5926692     -0.101845     1.27507     -0.507908     1.358817     -1.310261     -0.4800711     -1.50738     -0.2142108     -0.0001687745     0     0     
Fz       7.678756     12.21362     5.355288     -0.4361859     2.477356     -1.510895     -1.480359     0.3531284     -1.989434     -1.015926     1.454846     -0.5423297     -0.4032535     0.04650025     -0.4109636     0.191942     0     0     
F3       8.286947     10.46382     5.095498     -0.4024292     1.595479     -1.744642     -2.850004     -0.9755431     0.5311556     -0.5092502     0.1922141     -0.6701773     -0.3279194     -3.970726     -0.0264375     -0.2463618     0     0     
FCz       5.55246     11.06204     4.92401     0.9316791     2.587771     -2.888168     -2.165167     -0.1070571     -1.676906     -1.070752     1.398409     2.902951     -0.4039149     -0.1366656     -0.2493201     0.5803681     0     0     
FC3       5.769553     8.412904     3.634324     0.8140652     1.769098     -2.394047     -5.472546     -2.702861     0.7548892     0.09880257     0.5352814     1.022685     -0.3962245     -1.882646     0.1276026     -1.581291     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
C3       4.403825     6.988798     1.687889     2.330054     1.884073     -3.177233     -6.530534     -5.100602     0.3562175     0.9465869     0.659904     1.298928     -0.3664762     -0.5138313     0.1773407     0.59714     0     0     
CPz       3.230593     6.729043     0.4707951     6.182031     2.286082     -6.571939     -3.061482     -2.291924     -1.238728     -0.3776325     1.142192     1.564629     -0.4093443     0.3513506     -0.05694017     0.6745791     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       3.248335     6.332572     -2.12171     4.333298     1.79645     -3.827376     -4.867194     -7.219118     -0.2300421     2.863606     0.923299     1.23476     -0.5000981     -0.2083082     0.3418926     0.317369     0     0     
Pz       2.353483     5.685272     -3.184122     9.702819     1.837992     -4.33863     -2.861974     -2.112728     -1.33176     0.8960203     1.017859     0.8963595     -0.5371528     0.1353066     0.2683303     0.6260374     0     0     
P3       2.538455     5.703234     -7.185691     5.311255     1.619179     -4.04546     -4.592914     -6.136473     -0.507515     5.798258     1.085798     1.101597     -0.5705514     -0.3139406     0.5587221     0.5290443     0     0     
Fp2       25.21298     5.747167     4.673492     -1.252242     2.129106     -1.071107     -0.4852026     0.5032426     -6.968528     -0.9572427     2.185024     -1.557086     -0.5155033     -0.6132771     -0.456138     -0.09417434     0     0     
F4       7.554503     8.51669     4.199724     0.04456209     5.194005     -1.551879     -1.361165     0.4563974     -4.316449     -1.429645     4.734883     -1.057052     -0.921155     -0.5086545     -0.3865107     0.1256667     0     0     
FC4       5.348281     7.34633     2.803106     1.505052     7.799433     -2.728352     -1.684189     0.02681524     -3.381566     -1.791021     1.539466     0.5698882     -1.126509     0.1137472     -0.5747134     -0.01530303     0     0     
C4       4.014851     6.177634     0.6288278     3.687023     6.311143     -4.128036     -1.845334     -0.7733651     -2.646427     -2.33687     1.570796     0.9087017     3.577211     0.2039425     -0.6620303     0.2241215     0     0     
CP4       3.238938     5.509274     -2.739946     5.656026     4.23633     -4.669796     -1.95442     -1.19814     -2.041516     -3.237937     1.479235     0.8880999     2.060751     0.01093677     -3.841079     0.2704333     0     0     
P4       2.442159     5.006205     -7.495426     7.767067     2.656515     -4.319581     -2.012583     -1.001236     -1.684462     -4.625751     1.243176     0.67983     1.121685     0.09067529     -0.4973544     0.41877     0     0     
